:ID,:LABEL,name,rank,station_id
OFF-0000033,Officer,Basavaraj Tantri,Inspector,STN-KA-BLR-0003
OFF-0000034,Officer,Vikram Vokkaliga,Head Constable,STN-KA-BLR-0003
OFF-0000035,Officer,Kavitha Nayak,Head Constable,STN-KA-BLR-0004
OFF-0000036,Officer,Deepak Shastri,Constable,STN-KA-BLR-0004
OFF-0000037,Officer,Raghavendra Bhat,ASI,STN-KA-BLR-0004
OFF-0000038,Officer,Nagaraj Sharma,Head Constable,STN-KA-BLR-0004
OFF-0000039,Officer,Manjunath Kumar,Inspector,STN-KA-BLR-0004
OFF-0000040,Officer,Lakshmi Udupi,Constable,STN-KA-BLR-0004
OFF-0000041,Officer,Rohit Kumar,Constable,STN-KA-BLR-0004
OFF-0000042,Officer,Sandeep Gowda,Constable,STN-KA-BLR-0004
OFF-0000043,Officer,Saritha Nayak,ASI,STN-KA-BLR-0004
OFF-0000044,Officer,Basavaraj Naik,Head Constable,STN-KA-BLR-0004
OFF-0000045,Officer,Vidya Udupi,Constable,STN-KA-BLR-0004
OFF-0000046,Officer,Lakshmi Pillai,ASI,STN-KA-BLR-0004
OFF-0000047,Officer,Basavaraj Thakur,Inspector,STN-KA-BLR-0004
OFF-0000048,Officer,Akash Singh,Constable,STN-KA-BLR-0004
OFF-0000049,Officer,Tejas Kumar,Constable,STN-KA-BLR-0004
OFF-0000050,Officer,Saritha Patil,Head Constable,STN-KA-BLR-0004
OFF-0000051,Officer,Arjun Lingayat,Constable,STN-KA-BLR-0005
OFF-0000052,Officer,Geetha Aras,Sub-Inspector,STN-KA-BLR-0005
OFF-0000053,Officer,Satish Hegde,Head Constable,STN-KA-BLR-0005
OFF-0000054,Officer,Srikanth Nambiar,Constable,STN-KA-BLR-0005
OFF-0000055,Officer,Rajesh Tantri,DIG,STN-KA-BLR-0005
OFF-0000056,Officer,Prashanth Gowda,Constable,STN-KA-BLR-0005
OFF-0000057,Officer,Arjun Murthy,Inspector,STN-KA-BLR-0005
OFF-0000058,Officer,Ramesh Shastri,DSP,STN-KA-BLR-0005
OFF-0000059,Officer,Basavaraj Bhat,Constable,STN-KA-BLR-0005
OFF-0000060,Officer,Anil Swamy,Constable,STN-KA-BLR-0005
OFF-0000061,Officer,Vikram Adiga,Constable,STN-KA-BLR-0005
OFF-0000062,Officer,Geetha Udupi,Sub-Inspector,STN-KA-BLR-0005
OFF-0000063,Officer,Ramesh Joshi,Constable,STN-KA-BLR-0005
OFF-0000064,Officer,Abhishek Adiga,Inspector,STN-KA-BLR-0005
OFF-0000065,Officer,Mohan Gowda,Constable,STN-KA-BLR-0006
OFF-0000066,Officer,Abhishek Hegde,Sub-Inspector,STN-KA-BLR-0006
OFF-0000067,Officer,Kiran Murthy,Constable,STN-KA-BLR-0006
OFF-0000068,Officer,Shivakumar Rao,Head Constable,STN-KA-BLR-0006
OFF-0000069,Officer,Madhu Shastri,Sub-Inspector,STN-KA-BLR-0007
OFF-0000070,Officer,Vidya Swamy,Sub-Inspector,STN-KA-BLR-0007
OFF-0000071,Officer,Ravi Thakur,ASP,STN-KA-BLR-0007
OFF-0000072,Officer,Kavitha Pillai,Head Constable,STN-KA-BLR-0007
OFF-0000073,Officer,Deepak Nambiar,Sub-Inspector,STN-KA-BLR-0007
OFF-0000074,Officer,Ajay Swamy,Constable,STN-KA-BLR-0007
OFF-0000075,Officer,Shivakumar Shetty,Head Constable,STN-KA-BLR-0007
OFF-0000076,Officer,Umesh Vokkaliga,Constable,STN-KA-BLR-0007
OFF-0000077,Officer,Anil Pillai,ASI,STN-KA-BLR-0007
OFF-0000078,Officer,Vinay Singh,Inspector,STN-KA-BLR-0007
OFF-0000079,Officer,Ramesh Shetty,Constable,STN-KA-BLR-0007
OFF-0000080,Officer,Tejas Desai,Head Constable,STN-KA-BLR-0007
OFF-0000081,Officer,Arjun Pillai,Constable,STN-KA-BLR-0007
OFF-0000082,Officer,Rajesh Kamath,ASI,STN-KA-BLR-0007
OFF-0000083,Officer,Basavaraj Aras,Constable,STN-KA-BLR-0007
OFF-0000084,Officer,Vidya Desai,Head Constable,STN-KA-BLR-0007
OFF-0000085,Officer,Naveen Hegde,Head Constable,STN-KA-BLR-0007
OFF-0000086,Officer,Harsh Thakur,ASI,STN-KA-BLR-0008
OFF-0000087,Officer,Deepak Nayak,Constable,STN-KA-BLR-0008
OFF-0000088,Officer,Rajesh Vokkaliga,Head Constable,STN-KA-BLR-0008
OFF-0000089,Officer,Tejas Pillai,Constable,STN-KA-BLR-0008
OFF-0000090,Officer,Geetha Krishnamurthy,Head Constable,STN-KA-BLR-0008
OFF-0000091,Officer,Vikram Nayak,Sub-Inspector,STN-KA-BLR-0008
OFF-0000092,Officer,Ajay Shastri,ASI,STN-KA-BLR-0008
OFF-0000093,Officer,Akash Joshi,Constable,STN-KA-BLR-0009
OFF-0000094,Officer,Suresh Swamy,Inspector,STN-KA-BLR-0009
OFF-0000095,Officer,Umesh Lingayat,IGP,STN-KA-BLR-0009
OFF-0000096,Officer,Shruthi Tantri,Constable,STN-KA-BLR-0009
OFF-0000097,Officer,Suresh Ayyar,Head Constable,STN-KA-BLR-0009
OFF-0000098,Officer,Shivakumar Aras,ASI,STN-KA-BLR-0009
OFF-0000099,Officer,Suresh Raju,SP,STN-KA-BLR-0009
OFF-0000100,Officer,Shivakumar Nayak,Head Constable,STN-KA-BLR-0009
OFF-0000101,Officer,Harsh Raju,Sub-Inspector,STN-KA-BLR-0009
OFF-0000102,Officer,Mahesh Lingayat,Constable,STN-KA-BLR-0009
OFF-0000103,Officer,Prashanth Nayak,Inspector,STN-KA-BLR-0009
OFF-0000104,Officer,Akash Hegde,Head Constable,STN-KA-BLR-0009
OFF-0000105,Officer,Mohan Desai,Sub-Inspector,STN-KA-BLR-0009
OFF-0000106,Officer,Ramesh Kumar,Head Constable,STN-KA-BLR-0009
OFF-0000107,Officer,Anita Kamath,Constable,STN-KA-BLR-0009
OFF-0000108,Officer,Suresh Kamath,Constable,STN-KA-BLR-0009
OFF-0000109,Officer,Ganesh Raju,Head Constable,STN-KA-BLR-0010
OFF-0000110,Officer,Suma Thakur,Constable,STN-KA-BLR-0010
OFF-0000111,Officer,Gaurav Aras,Constable,STN-KA-BLR-0010
OFF-0000112,Officer,Nagaraj Adiga,Constable,STN-KA-BLR-0010
OFF-0000113,Officer,Jyothi Udupi,Constable,STN-KA-BLR-0010
OFF-0000114,Officer,Tejas Kumar,Head Constable,STN-KA-BLR-0010
OFF-0000115,Officer,Pooja Raju,Constable,STN-KA-BLR-0010
OFF-0000116,Officer,Abhishek Desai,Head Constable,STN-KA-BLR-0010
OFF-0000117,Officer,Arjun Murthy,SP,STN-KA-BLR-0010
OFF-0000118,Officer,Sandeep Lingayat,Constable,STN-KA-BLR-0010
OFF-0000119,Officer,Amala Vokkaliga,Head Constable,STN-KA-BLR-0011
OFF-0000120,Officer,Umesh Nambiar,Constable,STN-KA-BLR-0011
OFF-0000121,Officer,Anita Patil,Constable,STN-KA-BLR-0011
OFF-0000122,Officer,Satish Kumar,Constable,STN-KA-BLR-0011
OFF-0000123,Officer,Kiran Murthy,Constable,STN-KA-BLR-0012
OFF-0000124,Officer,Arjun Nambiar,Inspector,STN-KA-BLR-0012
OFF-0000125,Officer,Gaurav Reddy,Constable,STN-KA-BLR-0012
OFF-0000126,Officer,Manjunath Shetty,Head Constable,STN-KA-BLR-0012
OFF-0000127,Officer,Madhu Pillai,ASI,STN-KA-BLR-0012
OFF-0000128,Officer,Abhishek Rao,Head Constable,STN-KA-BLR-0012
OFF-0000129,Officer,Harsh Hegde,ASI,STN-KA-BLR-0012
OFF-0000130,Officer,Pooja Patil,IGP,STN-KA-BLR-0012
OFF-0000131,Officer,Amala Vokkaliga,ASI,STN-KA-BLR-0012
OFF-0000132,Officer,Ramesh Ayyar,Sub-Inspector,STN-KA-BLR-0012
OFF-0000133,Officer,Rekha Verma,Sub-Inspector,STN-KA-BLR-0012
OFF-0000134,Officer,Priya Bhat,ASI,STN-KA-BLR-0013
OFF-0000135,Officer,Sandeep Thakur,Constable,STN-KA-BLR-0013
OFF-0000136,Officer,Anil Vokkaliga,Constable,STN-KA-BLR-0013
OFF-0000137,Officer,Seeta Vokkaliga,Head Constable,STN-KA-BLR-0013
OFF-0000138,Officer,Manjunath Swamy,ASI,STN-KA-BLR-0013
OFF-0000139,Officer,Kavitha Singh,ASI,STN-KA-BLR-0013
OFF-0000140,Officer,Lakshmi Nambiar,Constable,STN-KA-BLR-0013
OFF-0000141,Officer,Prashanth Aras,Head Constable,STN-KA-BLR-0013
OFF-0000142,Officer,Shruthi Krishnamurthy,Sub-Inspector,STN-KA-BLR-0013
OFF-0000143,Officer,Mohan Tantri,Constable,STN-KA-BLR-0013
OFF-0000144,Officer,Suma Rao,Constable,STN-KA-BLR-0013
OFF-0000145,Officer,Kiran Reddy,Constable,STN-KA-BLR-0013
OFF-0000146,Officer,Swathi Prabhu,Head Constable,STN-KA-BLR-0013
OFF-0000147,Officer,Mohan Kumar,Constable,STN-KA-BLR-0013
OFF-0000148,Officer,Ganesh Nambiar,Head Constable,STN-KA-BLR-0014
OFF-0000149,Officer,Basavaraj Rao,Constable,STN-KA-BLR-0014
OFF-0000150,Officer,Ajay Lingayat,Constable,STN-KA-BLR-0014
OFF-0000151,Officer,Raghavendra Krishnamurthy,Sub-Inspector,STN-KA-BLR-0014
OFF-0000152,Officer,Prakash Ayyar,Constable,STN-KA-BLR-0015
OFF-0000153,Officer,Suresh Singh,Head Constable,STN-KA-BLR-0015
OFF-0000154,Officer,Srikanth Reddy,Head Constable,STN-KA-BLR-0015
OFF-0000155,Officer,Umesh Singh,Head Constable,STN-KA-BLR-0015
OFF-0000156,Officer,Vikram Aras,SP,STN-KA-BLR-0015
OFF-0000157,Officer,Satish Gowda,Sub-Inspector,STN-KA-BLR-0015
OFF-0000158,Officer,Prashanth Krishnamurthy,Constable,STN-KA-BLR-0016
OFF-0000159,Officer,Manjunath Desai,ASI,STN-KA-BLR-0016
OFF-0000160,Officer,Srikanth Lingayat,Constable,STN-KA-BLR-0016
OFF-0000161,Officer,Nagaraj Lingayat,Constable,STN-KA-BLR-0016
OFF-0000162,Officer,Naveen Adiga,DSP,STN-KA-BLR-0016
OFF-0000163,Officer,Anjali Pillai,Inspector,STN-KA-BLR-0016
OFF-0000164,Officer,Nagaraj Nambiar,Constable,STN-KA-BLR-0016
OFF-0000165,Officer,Sujatha Thakur,ASI,STN-KA-BLR-0016
OFF-0000166,Officer,Gaurav Sharma,Constable,STN-KA-BLR-0016
OFF-0000167,Officer,Satish Hegde,Constable,STN-KA-BLR-0016
OFF-0000168,Officer,Vikram Naik,Head Constable,STN-KA-BLR-0016
OFF-0000169,Officer,Arjun Patil,Constable,STN-KA-BLR-0016
OFF-0000170,Officer,Mohan Rao,DIG,STN-KA-BLR-0016
OFF-0000171,Officer,Deepa Nayak,ASI,STN-KA-BLR-0016
OFF-0000172,Officer,Raghavendra Krishnamurthy,Constable,STN-KA-BLR-0016
OFF-0000173,Officer,Abhishek Patil,Head Constable,STN-KA-BLR-0017
OFF-0000174,Officer,Satish Aras,Head Constable,STN-KA-BLR-0017
OFF-0000175,Officer,Deepak Singh,ASP,STN-KA-BLR-0017
OFF-0000176,Officer,Gaurav Tantri,Constable,STN-KA-BLR-0017
OFF-0000177,Officer,Suresh Murthy,Constable,STN-KA-BLR-0018
OFF-0000178,Officer,Rekha Hegde,Sub-Inspector,STN-KA-BLR-0018
OFF-0000179,Officer,Yogesh Pillai,Head Constable,STN-KA-BLR-0018
OFF-0000180,Officer,Satish Nayak,Constable,STN-KA-BLR-0018
OFF-0000181,Officer,Kiran Thakur,Constable,STN-KA-BLR-0018
OFF-0000182,Officer,Vinay Shetty,ASI,STN-KA-BLR-0018
OFF-0000183,Officer,Yogesh Patil,Head Constable,STN-KA-BLR-0019
OFF-0000184,Officer,Mahesh Singh,DSP,STN-KA-BLR-0019
OFF-0000185,Officer,Prakash Thakur,Constable,STN-KA-BLR-0019
OFF-0000186,Officer,Prakash Verma,Constable,STN-KA-BLR-0019
OFF-0000187,Officer,Arjun Desai,Constable,STN-KA-BLR-0019
OFF-0000188,Officer,Lakshmi Hegde,Constable,STN-KA-BLR-0019
OFF-0000189,Officer,Tejas Nayak,Head Constable,STN-KA-BLR-0019
OFF-0000190,Officer,Nagaraj Prabhu,Inspector,STN-KA-BLR-0019
OFF-0000191,Officer,Gaurav Lingayat,Sub-Inspector,STN-KA-BLR-0019
OFF-0000192,Officer,Suresh Shastri,Head Constable,STN-KA-BLR-0019
OFF-0000193,Officer,Yogesh Joshi,Head Constable,STN-KA-BLR-0020
OFF-0000194,Officer,Rohit Adiga,Sub-Inspector,STN-KA-BLR-0020
OFF-0000195,Officer,Jyothi Aras,Constable,STN-KA-BLR-0020
OFF-0000196,Officer,Yogesh Tantri,Head Constable,STN-KA-BLR-0020
OFF-0000197,Officer,Raghavendra Hegde,Constable,STN-KA-BLR-0020
OFF-0000198,Officer,Prakash Sharma,Constable,STN-KA-BLR-0020
OFF-0000199,Officer,Prashanth Rao,Constable,STN-KA-BLR-0020
OFF-0000200,Officer,Shivakumar Thakur,Sub-Inspector,STN-KA-BLR-0020
OFF-0000201,Officer,Umesh Thakur,Head Constable,STN-KA-BLR-0020
OFF-0000202,Officer,Ravi Patil,Constable,STN-KA-BLR-0020
OFF-0000203,Officer,Raghavendra Swamy,ASI,STN-KA-BLR-0020
OFF-0000204,Officer,Abhishek Joshi,Constable,STN-KA-BLR-0020
OFF-0000205,Officer,Nagaraj Krishnamurthy,Constable,STN-KA-BLR-0020
OFF-0000206,Officer,Manjunath Verma,ASI,STN-KA-BLR-0020
OFF-0000207,Officer,Satish Desai,Sub-Inspector,STN-KA-BLR-0020
OFF-0000208,Officer,Sandeep Rao,Constable,STN-KA-BLR-0020
OFF-0000209,Officer,Kiran Kumar,ADGP,STN-KA-BLR-0020
OFF-0000210,Officer,Rohit Udupi,Constable,STN-KA-BLR-0021
OFF-0000211,Officer,Raghavendra Pillai,Constable,STN-KA-BLR-0021
OFF-0000212,Officer,Mahesh Singh,Constable,STN-KA-BLR-0021
OFF-0000213,Officer,Ganesh Murthy,Head Constable,STN-KA-BLR-0021
OFF-0000214,Officer,Ganesh Joshi,Constable,STN-KA-BLR-0021
OFF-0000215,Officer,Harsh Lingayat,Sub-Inspector,STN-KA-BLR-0021
OFF-0000216,Officer,Jyothi Adiga,ASI,STN-KA-BLR-0021
OFF-0000217,Officer,Prashanth Shastri,Head Constable,STN-KA-BLR-0021
OFF-0000218,Officer,Raghavendra Hegde,Head Constable,STN-KA-BLR-0021
OFF-0000219,Officer,Ramesh Thakur,Constable,STN-KA-BLR-0021
OFF-0000220,Officer,Shantha Udupi,Constable,STN-KA-BLR-0021
OFF-0000221,Officer,Nagaraj Lingayat,Head Constable,STN-KA-BLR-0021
OFF-0000222,Officer,Bharathi Lingayat,SP,STN-KA-BLR-0021
OFF-0000223,Officer,Abhishek Lingayat,Head Constable,STN-KA-BLR-0021
OFF-0000224,Officer,Prashanth Desai,DIG,STN-KA-BLR-0021
OFF-0000225,Officer,Yogesh Aras,DSP,STN-KA-BLR-0021
OFF-0000226,Officer,Tejas Thakur,Inspector,STN-KA-BLR-0021
OFF-0000227,Officer,Umesh Patil,Constable,STN-KA-BLR-0022
OFF-0000228,Officer,Vikram Vokkaliga,ASP,STN-KA-BLR-0022
OFF-0000229,Officer,Kiran Rao,Head Constable,STN-KA-BLR-0022
OFF-0000230,Officer,Srikanth Aras,Head Constable,STN-KA-BLR-0022
OFF-0000231,Officer,Manjunath Hegde,ASI,STN-KA-BLR-0023
OFF-0000232,Officer,Abhishek Naik,ASI,STN-KA-BLR-0023
OFF-0000233,Officer,Akash Singh,ASI,STN-KA-BLR-0023
OFF-0000234,Officer,Swathi Nambiar,Constable,STN-KA-BLR-0023
OFF-0000235,Officer,Sneha Krishnamurthy,Head Constable,STN-KA-BLR-0024
OFF-0000236,Officer,Ajay Patil,Constable,STN-KA-BLR-0024
OFF-0000237,Officer,Yogesh Lingayat,Constable,STN-KA-BLR-0024
OFF-0000238,Officer,Mohan Adiga,Sub-Inspector,STN-KA-BLR-0024
OFF-0000239,Officer,Manjunath Verma,Head Constable,STN-KA-BLR-0025
OFF-0000240,Officer,Abhishek Tantri,Constable,STN-KA-BLR-0025
OFF-0000241,Officer,Kiran Patil,ASI,STN-KA-BLR-0025
OFF-0000242,Officer,Mohan Sharma,Constable,STN-KA-BLR-0025
OFF-0000243,Officer,Shantha Kumar,Constable,STN-KA-BLR-0025
OFF-0000244,Officer,Raghavendra Kumar,ASI,STN-KA-BLR-0026
OFF-0000245,Officer,Deepa Nayak,DIG,STN-KA-BLR-0026
OFF-0000246,Officer,Abhishek Nambiar,Constable,STN-KA-BLR-0026
OFF-0000247,Officer,Raghavendra Singh,Constable,STN-KA-BLR-0026
OFF-0000248,Officer,Suresh Verma,Head Constable,STN-KA-BLR-0026
OFF-0000249,Officer,Deepa Pillai,Constable,STN-KA-BLR-0026
OFF-0000250,Officer,Harsh Tantri,Constable,STN-KA-BLR-0026
OFF-0000251,Officer,Srikanth Naik,Constable,STN-KA-BLR-0027
OFF-0000252,Officer,Satish Desai,Sub-Inspector,STN-KA-BLR-0027
OFF-0000253,Officer,Satish Thakur,Constable,STN-KA-BLR-0027
OFF-0000254,Officer,Akash Krishnamurthy,Constable,STN-KA-BLR-0027
OFF-0000255,Officer,Pooja Pillai,Sub-Inspector,STN-KA-BLR-0028
OFF-0000256,Officer,Shantha Rao,Inspector,STN-KA-BLR-0028
OFF-0000257,Officer,Vikram Singh,Head Constable,STN-KA-BLR-0028
OFF-0000258,Officer,Ganesh Kamath,Sub-Inspector,STN-KA-BLR-0028
OFF-0000259,Officer,Amala Reddy,Constable,STN-KA-BLR-0028
OFF-0000260,Officer,Deepak Tantri,Constable,STN-KA-BLR-0028
OFF-0000261,Officer,Shivakumar Swamy,Head Constable,STN-KA-BLR-0028
OFF-0000262,Officer,Srikanth Murthy,Constable,STN-KA-BLR-0028
OFF-0000263,Officer,Ajay Pillai,ASI,STN-KA-BLR-0028
OFF-0000264,Officer,Vinay Naik,Constable,STN-KA-BLR-0029
OFF-0000265,Officer,Abhishek Nambiar,Constable,STN-KA-BLR-0029
OFF-0000266,Officer,Ganesh Ayyar,Constable,STN-KA-BLR-0029
OFF-0000267,Officer,Vinay Sharma,Constable,STN-KA-BLR-0029
OFF-0000268,Officer,Srikanth Hegde,Sub-Inspector,STN-KA-BLR-0029
OFF-0000269,Officer,Gaurav Hegde,Constable,STN-KA-BLR-0029
OFF-0000270,Officer,Pooja Tantri,ASI,STN-KA-BLR-0030
OFF-0000271,Officer,Anita Tantri,ASI,STN-KA-BLR-0030
OFF-0000272,Officer,Vinay Gowda,Head Constable,STN-KA-BLR-0030
OFF-0000273,Officer,Kiran Thakur,Head Constable,STN-KA-BLR-0030
OFF-0000274,Officer,Sandeep Shastri,Head Constable,STN-KA-BLR-0030
OFF-0000275,Officer,Raghavendra Nambiar,Head Constable,STN-KA-BLR-0030
OFF-0000276,Officer,Mahesh Shastri,Head Constable,STN-KA-BLR-0030
OFF-0000277,Officer,Satish Lingayat,Head Constable,STN-KA-BLR-0030
OFF-0000278,Officer,Amala Singh,Head Constable,STN-KA-BLR-0030
OFF-0000279,Officer,Akash Vokkaliga,Constable,STN-KA-BLR-0030
OFF-0000280,Officer,Akash Tantri,Head Constable,STN-KA-BLR-0030
OFF-0000281,Officer,Ganesh Nayak,Head Constable,STN-KA-BLR-0030
OFF-0000282,Officer,Bharathi Shetty,ASI,STN-KA-BLR-0030
OFF-0000283,Officer,Rajesh Reddy,Sub-Inspector,STN-KA-BLR-0030
OFF-0000284,Officer,Rohit Ayyar,Sub-Inspector,STN-KA-BLR-0030
OFF-0000285,Officer,Abhishek Nambiar,ASI,STN-KA-BLR-0031
OFF-0000286,Officer,Nirmala Pillai,Constable,STN-KA-BLR-0031
OFF-0000287,Officer,Deepak Shetty,Sub-Inspector,STN-KA-BLR-0031
OFF-0000288,Officer,Kiran Gowda,Head Constable,STN-KA-BLR-0031
OFF-0000289,Officer,Gaurav Gowda,ASI,STN-KA-BLR-0031
OFF-0000290,Officer,Shivakumar Desai,Constable,STN-KA-BLR-0032
OFF-0000291,Officer,Ravi Nayak,Head Constable,STN-KA-BLR-0032
OFF-0000292,Officer,Lakshmi Singh,ASI,STN-KA-BLR-0032
OFF-0000293,Officer,Prashanth Gowda,ASI,STN-KA-BLR-0032
OFF-0000294,Officer,Nirmala Pillai,Constable,STN-KA-BLR-0032
OFF-0000295,Officer,Yogesh Rao,Head Constable,STN-KA-BLR-0032
OFF-0000296,Officer,Gaurav Joshi,Head Constable,STN-KA-BLR-0032
OFF-0000297,Officer,Prakash Prabhu,Head Constable,STN-KA-BLR-0032
OFF-0000298,Officer,Tejas Naik,Constable,STN-KA-BLR-0032
OFF-0000299,Officer,Basavaraj Prabhu,Sub-Inspector,STN-KA-BLR-0032
OFF-0000300,Officer,Saritha Thakur,Inspector,STN-KA-BLR-0032
OFF-0000301,Officer,Mohan Sharma,Head Constable,STN-KA-BLR-0033
OFF-0000302,Officer,Deepak Udupi,Constable,STN-KA-BLR-0033
OFF-0000303,Officer,Mahesh Lingayat,Sub-Inspector,STN-KA-BLR-0033
OFF-0000304,Officer,Anil Lingayat,Inspector,STN-KA-BLR-0033
OFF-0000305,Officer,Naveen Sharma,Head Constable,STN-KA-BLR-0033
OFF-0000306,Officer,Harsh Kamath,Head Constable,STN-KA-BLR-0033
OFF-0000307,Officer,Vidya Shastri,Constable,STN-KA-BLR-0033
OFF-0000308,Officer,Priya Desai,Constable,STN-KA-BLR-0033
OFF-0000309,Officer,Rajesh Lingayat,Inspector,STN-KA-BLR-0034
OFF-0000310,Officer,Meera Lingayat,Head Constable,STN-KA-BLR-0034
OFF-0000311,Officer,Umesh Singh,Head Constable,STN-KA-BLR-0034
OFF-0000312,Officer,Mohan Thakur,Constable,STN-KA-BLR-0034
OFF-0000313,Officer,Ravi Joshi,Head Constable,STN-KA-BLR-0034
OFF-0000314,Officer,Sujatha Bhat,Head Constable,STN-KA-BLR-0034
OFF-0000315,Officer,Shantha Shastri,Constable,STN-KA-BLR-0034
OFF-0000316,Officer,Deepak Shetty,Sub-Inspector,STN-KA-BLR-0034
OFF-0000317,Officer,Raghavendra Naik,Head Constable,STN-KA-BLR-0034
OFF-0000318,Officer,Basavaraj Singh,Constable,STN-KA-BLR-0034
OFF-0000319,Officer,Vinay Desai,Constable,STN-KA-BLR-0034
OFF-0000320,Officer,Satish Naik,ASI,STN-KA-BLR-0034
OFF-0000321,Officer,Saritha Adiga,Head Constable,STN-KA-BLR-0034
OFF-0000322,Officer,Deepak Raju,Head Constable,STN-KA-BLR-0034
OFF-0000323,Officer,Ganesh Sharma,Constable,STN-KA-BLR-0034
OFF-0000324,Officer,Rekha Pillai,Constable,STN-KA-BLR-0035
OFF-0000325,Officer,Amala Tantri,Constable,STN-KA-BLR-0035
OFF-0000326,Officer,Vinay Tantri,Constable,STN-KA-BLR-0035
OFF-0000327,Officer,Tejas Reddy,ASI,STN-KA-BLR-0035
OFF-0000328,Officer,Mahesh Aras,Constable,STN-KA-BLR-0035
OFF-0000329,Officer,Abhishek Prabhu,Constable,STN-KA-BLR-0035
OFF-0000330,Officer,Shivakumar Kumar,Constable,STN-KA-BLR-0035
OFF-0000331,Officer,Pooja Ayyar,Sub-Inspector,STN-KA-BLR-0035
OFF-0000332,Officer,Nitya Verma,Head Constable,STN-KA-BLR-0035
OFF-0000333,Officer,Sandeep Swamy,Constable,STN-KA-BLR-0035
OFF-0000334,Officer,Nagaraj Kamath,Head Constable,STN-KA-BLR-0035
OFF-0000335,Officer,Srikanth Udupi,Constable,STN-KA-BLR-0035
OFF-0000336,Officer,Abhishek Joshi,Constable,STN-KA-BLR-0035
OFF-0000337,Officer,Rohit Thakur,Head Constable,STN-KA-BLR-0035
OFF-0000338,Officer,Jyothi Gowda,Constable,STN-KA-BLR-0035
OFF-0000339,Officer,Amala Vokkaliga,Head Constable,STN-KA-BLR-0035
OFF-0000340,Officer,Ganesh Verma,Head Constable,STN-KA-BLR-0035
OFF-0000341,Officer,Kiran Rao,Constable,STN-KA-BLR-0035
OFF-0000342,Officer,Ganesh Nayak,Constable,STN-KA-BLR-0036
OFF-0000343,Officer,Anita Ayyar,ASI,STN-KA-BLR-0036
OFF-0000344,Officer,Rekha Gowda,Constable,STN-KA-BLR-0036
OFF-0000345,Officer,Sandeep Lingayat,Constable,STN-KA-BLR-0036
OFF-0000346,Officer,Vidya Shastri,Constable,STN-KA-BLR-0036
OFF-0000347,Officer,Ajay Shetty,ASP,STN-KA-BLR-0036
OFF-0000348,Officer,Suresh Pillai,ADGP,STN-KA-BLR-0037
OFF-0000349,Officer,Rekha Singh,Constable,STN-KA-BLR-0037
OFF-0000350,Officer,Ganesh Vokkaliga,Constable,STN-KA-BLR-0037
OFF-0000351,Officer,Basavaraj Udupi,Head Constable,STN-KA-BLR-0037
OFF-0000352,Officer,Vikram Krishnamurthy,Constable,STN-KA-BLR-0037
