:ID,:LABEL,age,career_stage,district_id,expertise,gender,name,name_kn,risk_level,role
CRM-0000071,Person,38,experienced,KA-CHB,narcotics,F,Sangeetha Nambiar,ಮೀರಾ ವೊಕ್ಕಲಿಗ,high,
CRM-0000072,Person,49,active,KA-MYS,property,M,Prakash Prabhu,ಅರ್ಜುನ್ ಹೆಗಡೆ,low,
CRM-0000073,Person,39,active,KA-RBG,fraud,M,Umesh Adiga,ಶ್ರೀಕಾಂತ್ ಕುಮಾರ್,medium,
CRM-0000074,Person,50,emerging,KA-KLP,opportunistic,M,Manjunath Shastri,ಸಂದೀಪ್ ನಾಯ್ಕ್,medium,
CRM-0000075,Person,39,arrested,KA-CHT,narcotics,M,Suresh Pillai,ರಾಮೇಶ್ ವೊಕ್ಕಲಿಗ,low,
CRM-0000076,Person,17,experienced,KA-MGL,property,F,Shruthi Ayyar,ರಾಧಾ ಕಾಮತ್,medium,
CRM-0000077,Person,35,active,KA-KLP,narcotics,F,Nitya Singh,ಸ್ನೇಹಾ ಉಡುಪ,low,
CRM-0000078,Person,34,experienced,KA-HBL,property,F,Kavitha Verma,ಪೂಜಾ ಸ್ವಾಮಿ,low,
CRM-0000079,Person,65,arrested,KA-BLR,property,F,Kavitha Murthy,ಅಮಲಾ ಲಿಂಗಾಯತ್,low,
CRM-0000080,Person,67,retired,KA-BSD,opportunistic,M,Mahesh Swamy,ಕಿರಣ್ ಕೃಷ್ಣಮೂರ್ತಿ,medium,
CRM-0000081,Person,33,active,KA-BLR,violent,F,Sujatha Bhat,ರೇಖಾ ವೊಕ್ಕಲಿಗ,high,
CRM-0000082,Person,37,active,KA-KLP,fraud,F,Swathi Pillai,ರಾಧಾ ಕುಮಾರ್,low,
CRM-0000083,Person,26,arrested,KA-MGL,property,M,Prakash Adiga,ಸಂದೀಪ್ ತಂತ್ರಿ,low,
CRM-0000084,Person,42,emerging,KA-RMN,property,M,Umesh Adiga,ಅಜಯ್ ಜೋಶಿ,low,
CRM-0000085,Person,72,emerging,KA-TKR,violent,M,Srikanth Vokkaliga,ಅನಿಲ್ ಮೂರ್ತಿ,high,
CRM-0000086,Person,16,active,KA-HBL,narcotics,F,Pooja Tantri,ಶೃತಿ ಅರಸ್,high,
CRM-0000087,Person,51,active,KA-BLR2,property,F,Sujatha Hegde,ಅಮಲಾ ರೆಡ್ಡಿ,low,
CRM-0000088,Person,66,experienced,KA-KLR,violent,M,Deepak Verma,ನವೀನ್ ವೊಕ್ಕಲಿಗ,low,
CRM-0000089,Person,31,experienced,KA-BLR2,property,F,Rekha Adiga,ಮಧು ಅರಸ್,low,
CRM-0000090,Person,20,notorious,KA-DVG,property,F,Geetha Aras,ಸಂಗೀತಾ ನಂಬಿಯಾರ್,medium,
CRM-0000091,Person,18,juvenile,KA-SHV,property,M,Manjunath Thakur,ವಿನಯ್ ಶಾಸ್ತ್ರಿ,low,
CRM-0000092,Person,51,active,KA-KLP,property,M,Sandeep Adiga,ರಾಘವೇಂದ್ರ ಪಾಟೀಲ್,low,
CRM-0000093,Person,66,active,KA-BLR2,violent,M,Prashanth Aras,ವಿಕ್ರಮ್ ಲಿಂಗಾಯತ್,very_high,
CRM-0000094,Person,57,active,KA-BLG,property,F,Priya Gowda,ಸೀತಾ ಅರಸ್,low,
CRM-0000095,Person,40,active,KA-RMN,property,F,Anita Bhat,ಅಮಲಾ ತಂತ್ರಿ,very_high,
CRM-0000096,Person,33,arrested,KA-BLR,violent,M,Prakash Krishnamurthy,ನಾಗರಾಜ್ ಅಡಿಗ,high,
CRM-0000097,Person,33,active,KA-DVG,property,M,Satish Gowda,ಮೋಹನ್ ವೊಕ್ಕಲಿಗ,medium,
CRM-0000098,Person,62,juvenile,KA-KLP,violent,M,Umesh Pillai,ಸುರೇಶ್ ಕುಮಾರ್,medium,
CRM-0000099,Person,26,experienced,KA-VKT,property,F,Suma Naik,ಅನಿತಾ ಅರಸ್,very_high,
CRM-0000100,Person,63,retired,KA-HBL,property,F,Pooja Verma,ಜ್ಯೋತಿ ಭಟ್,low,
CRM-0000101,Person,19,active,KA-MYS,property,F,Jyothi Reddy,ಮೀರಾ ಅಯ್ಯರ್,medium,
CRM-0000102,Person,73,active,KA-BLR2,property,F,Kavitha Sharma,ಸರಿತಾ ಉಡುಪ,very_high,
CRM-0000103,Person,22,active,KA-BLR,violent,M,Harsh Naik,ದೀಪಕ್ ವೊಕ್ಕಲಿಗ,low,
CRM-0000104,Person,38,notorious,KA-HBL,violent,F,Meera Swamy,ಜ್ಯೋತಿ ನಾಯ್ಕ್,low,
CRM-0000105,Person,30,notorious,KA-UDR,property,M,Deepak Adiga,ಪ್ರಕಾಶ್ ನಾಯ್ಕ್,medium,
CRM-0000106,Person,72,juvenile,KA-UDR,property,M,Raghavendra Rao,ಅರ್ಜುನ್ ನಂಬಿಯಾರ್,low,
CRM-0000107,Person,46,experienced,KA-KLP,fraud,M,Ajay Hegde,ರಾಜೇಶ್ ಭಟ್,medium,
CRM-0000108,Person,62,active,KA-BLR,fraud,F,Pooja Krishnamurthy,ಅಂಜಲಿ ಪಾಟೀಲ್,very_high,
CRM-0000109,Person,26,emerging,KA-VKT,violent,F,Nirmala Lingayat,ಸುಜಾತಾ ನಂಬಿಯಾರ್,low,
CRM-0000110,Person,62,emerging,KA-BLR2,violent,F,Bharathi Desai,ಲಕ್ಷ್ಮಿ ಗೌಡ,low,
CRM-0000111,Person,21,active,KA-KLP,violent,M,Rajesh Verma,ಮಹೇಶ್ ಪಾಟೀಲ್,low,
CRM-0000112,Person,62,retired,KA-KLP,fraud,F,Sujatha Joshi,ಸುಜಾತಾ ಗೌಡ,high,
CRM-0000113,Person,19,juvenile,KA-BLR2,fraud,M,Umesh Swamy,ವಿಕ್ರಮ್ ಹೆಗಡೆ,high,
CRM-0000114,Person,43,active,KA-BLR2,opportunistic,M,Prashanth Bhat,ಸಂದೀಪ್ ಗೌಡ,medium,
CRM-0000115,Person,21,emerging,KA-CHB,violent,M,Srikanth Nambiar,ಗೌರವ್ ಸ್ವಾಮಿ,medium,
CRM-0000116,Person,48,emerging,KA-MGL,opportunistic,F,Anita Hegde,ನಿರ್ಮಲಾ ತಂತ್ರಿ,low,
CRM-0000117,Person,26,active,KA-KLP,property,M,Mahesh Rao,ರೋಹಿತ್ ಅಡಿಗ,very_high,
CRM-0000118,Person,53,experienced,KA-RBG,violent,M,Akash Lingayat,ಅಭಿಷೇಕ್ ನಾಯ್ಕ್,medium,
CRM-0000119,Person,20,active,KA-BLR,fraud,F,Sujatha Raju,ಭಾರತಿ ಕುಮಾರ್,low,
CRM-0000120,Person,74,retired,KA-DVG,violent,M,Kiran Nayak,ಗೌರವ್ ಜೋಶಿ,medium,
CRM-0000121,Person,19,experienced,KA-BLG,fraud,F,Lakshmi Hegde,ಗೀತಾ ಮೂರ್ತಿ,very_high,
CRM-0000122,Person,16,experienced,KA-BLG,property,M,Rajesh Joshi,ಹರ್ಷ ಜೋಶಿ,medium,
CRM-0000123,Person,47,emerging,KA-HBL,violent,M,Yogesh Sharma,ಪ್ರಕಾಶ್ ಗೌಡ,high,
CRM-0000124,Person,40,experienced,KA-KLP,violent,F,Priya Hegde,ರಾಧಾ ಹೆಗಡೆ,medium,
CRM-0000125,Person,25,juvenile,KA-BLR2,fraud,M,Raghavendra Vokkaliga,ನವೀನ್ ಅಡಿಗ,low,
CRM-0000126,Person,72,emerging,KA-MGL,fraud,F,Saritha Desai,ಸಂಗೀತಾ ಗೌಡ,low,
CRM-0000127,Person,53,emerging,KA-CHB,fraud,M,Umesh Patil,ಕಿರಣ್ ಉಡುಪ,medium,
CRM-0000128,Person,17,active,KA-MGL,opportunistic,M,Ravi Swamy,ಆಕಾಶ್ ಅರಸ್,high,
CRM-0000129,Person,66,experienced,KA-CHB,fraud,M,Srikanth Kumar,ಪ್ರಕಾಶ್ ಮೂರ್ತಿ,low,
CRM-0000130,Person,44,juvenile,KA-UDR,violent,M,Yogesh Patil,ಯೋಗೇಶ್ ನಂಬಿಯಾರ್,high,
CRM-0000131,Person,66,active,KA-KLP,fraud,F,Pooja Kamath,ಲಕ್ಷ್ಮಿ ಕಾಮತ್,low,
CRM-0000132,Person,43,emerging,KA-RBG,violent,F,Sujatha Bhat,ಮೀರಾ ಉಡುಪ,low,
CRM-0000133,Person,49,experienced,KA-BLR2,property,M,Tejas Vokkaliga,ರಾಜೇಶ್ ಜೋಶಿ,medium,
CRM-0000134,Person,60,retired,KA-KLP,property,F,Bharathi Reddy,ಪೂಜಾ ಪಾಟೀಲ್,low,
CRM-0000135,Person,51,emerging,KA-KLP,opportunistic,F,Sangeetha Kumar,ದೀಪಾ ಉಡುಪ,high,
CRM-0000136,Person,30,emerging,KA-HBL,narcotics,M,Ravi Kamath,ಮಹೇಶ್ ಮೂರ್ತಿ,medium,
CRM-0000137,Person,52,emerging,KA-RCR,property,F,Amala Rao,ಅಂಜಲಿ ಅಯ್ಯರ್,low,
CRM-0000138,Person,60,retired,KA-KLP,fraud,F,Swathi Hegde,ನಿರ್ಮಲಾ ಕೃಷ್ಣಮೂರ್ತಿ,low,
CRM-0000139,Person,20,active,KA-DVG,violent,M,Satish Bhat,ನಾಗರಾಜ್ ಮೂರ್ತಿ,low,
CRM-0000140,Person,66,retired,KA-BLR,violent,M,Srikanth Shastri,ರಾಜೇಶ್ ಕೃಷ್ಣಮೂರ್ತಿ,high,
CRM-0000141,Person,44,emerging,KA-BLR,property,F,Suma Lingayat,ಭಾರತಿ ಲಿಂಗಾಯತ್,medium,
CRM-0000142,Person,55,active,KA-HSN,narcotics,F,Vidya Tantri,ಸರಿತಾ ಮೂರ್ತಿ,low,
CRM-0000143,Person,30,notorious,KA-BLR2,fraud,M,Deepak Reddy,ಪ್ರಕಾಶ್ ಕುಮಾರ್,medium,
CRM-0000144,Person,55,emerging,KA-RBG,fraud,F,Kavitha Nambiar,ರಾಧಾ ಭಟ್,medium,
CRM-0000145,Person,45,arrested,KA-RBG,violent,M,Abhishek Verma,ಶ್ರೀಕಾಂತ್ ಕುಮಾರ್,medium,
CRM-0000146,Person,54,notorious,KA-VKT,property,F,Lakshmi Kumar,ಸುಮ಼ಾ ನಂಬಿಯಾರ್,low,
CRM-0000147,Person,68,notorious,KA-MGL,property,F,Nitya Shetty,ಭಾರತಿ ತಂತ್ರಿ,medium,
CRM-0000148,Person,30,active,KA-BLR,property,F,Seeta Thakur,ಅಂಜಲಿ ಕೃಷ್ಣಮೂರ್ತಿ,medium,
CRM-0000149,Person,58,emerging,KA-MGL,property,M,Raghavendra Kamath,ರಾಮೇಶ್ ಸ್ವಾಮಿ,medium,
CRM-0000150,Person,36,active,KA-BLR2,violent,M,Naveen Kumar,ಆಕಾಶ್ ಹೆಗಡೆ,low,
CRM-0000151,Person,58,juvenile,KA-CHB,fraud,F,Vidya Ayyar,ಶಾಂತಾ ಭಟ್,medium,
CRM-0000152,Person,24,notorious,KA-MGL,violent,F,Anita Udupi,ಅಮಲಾ ಭಟ್,very_high,
CRM-0000153,Person,25,active,KA-BLR2,fraud,F,Swathi Raju,ಮಧು ಪಾಟೀಲ್,high,
CRM-0000154,Person,64,retired,KA-BLR,fraud,M,Srikanth Nayak,ಆಕಾಶ್ ಅಯ್ಯರ್,medium,
CRM-0000155,Person,71,active,KA-RBG,violent,M,Nagaraj Shetty,ಉಮೇಶ್ ಭಟ್,medium,
CRM-0000156,Person,47,active,KA-KPT,fraud,F,Madhu Rao,ವಿದ್ಯಾ ವೊಕ್ಕಲಿಗ,very_high,
CRM-0000157,Person,16,active,KA-BLR2,property,M,Kiran Naik,ತೇಜಸ್ ಹೆಗಡೆ,medium,
CRM-0000158,Person,71,active,KA-BLG,property,M,Prashanth Prabhu,ಹರ್ಷ ನಂಬಿಯಾರ್,low,
CRM-0000159,Person,16,active,KA-BLG,property,M,Mahesh Swamy,ಪ್ರಕಾಶ್ ಉಡುಪ,low,
CRM-0000160,Person,50,experienced,KA-KLP,property,F,Sneha Tantri,ಸುಜಾತಾ ನಂಬಿಯಾರ್,medium,
CRM-0000161,Person,65,experienced,KA-BLR,fraud,M,Vikram Sharma,ರಾಮೇಶ್ ಜೋಶಿ,high,
CRM-0000162,Person,65,juvenile,KA-BLR,violent,M,Nagaraj Prabhu,ದೀಪಕ್ ಉಡುಪ,very_high,
CRM-0000163,Person,28,active,KA-BLG,property,M,Yogesh Raju,ಉಮೇಶ್ ನಂಬಿಯಾರ್,low,
CRM-0000164,Person,38,retired,KA-BLR2,narcotics,F,Vidya Nayak,ಸೀತಾ ಶಾಸ್ತ್ರಿ,low,
CRM-0000165,Person,45,active,KA-BLR,violent,F,Lakshmi Joshi,ಅಂಜಲಿ ರಾವ್,high,
CRM-0000166,Person,69,retired,KA-CTV,property,F,Sangeetha Raju,ದೀಪಾ ಕಾಮತ್,high,
CRM-0000167,Person,30,active,KA-KLP,fraud,F,Lakshmi Aras,ಜ್ಯೋತಿ ಅಡಿಗ,low,
CRM-0000168,Person,34,juvenile,KA-TKR,property,M,Satish Reddy,ನವೀನ್ ಅರಸ್,low,
CRM-0000169,Person,65,juvenile,KA-RBG,fraud,F,Saritha Swamy,ವಿದ್ಯಾ ಜೋಶಿ,medium,
CRM-0000170,Person,69,notorious,KA-BLR,property,F,Jyothi Swamy,ಅನಿತಾ ಜೋಶಿ,low,
CRM-0000171,Person,20,notorious,KA-DVG,property,M,Kiran Nambiar,ಪ್ರಕಾಶ್ ರಾವ್,high,
CRM-0000172,Person,53,notorious,KA-TKR,violent,F,Deepa Kumar,ದೀಪಾ ಗೌಡ,low,
CRM-0000173,Person,28,notorious,KA-KLP,violent,M,Harsh Vokkaliga,ಮಹೇಶ್ ರೆಡ್ಡಿ,low,
CRM-0000174,Person,67,active,KA-BLR2,property,F,Anita Verma,ಪೂಜಾ ಕೃಷ್ಣಮೂರ್ತಿ,very_high,
CRM-0000175,Person,61,active,KA-HSN,property,M,Prashanth Naik,ಆಕಾಶ್ ಕಾಮತ್,low,
CRM-0000176,Person,66,experienced,KA-HBL,violent,M,Basavaraj Vokkaliga,ಆಕಾಶ್ ನಾಯ್ಕ್,low,
CRM-0000177,Person,58,experienced,KA-MYS,property,M,Vikram Lingayat,ರಮೇಶ್ ಮೂರ್ತಿ,low,
CRM-0000178,Person,27,experienced,KA-KLP,violent,F,Jyothi Desai,ನಿತ್ಯಾ ವೊಕ್ಕಲಿಗ,low,
CRM-0000179,Person,63,active,KA-CTV,violent,F,Priya Adiga,ಸುಜಾತಾ ಗೌಡ,high,
CRM-0000180,Person,27,experienced,KA-BLR2,violent,M,Kiran Prabhu,ಮಹೇಶ್ ವೊಕ್ಕಲಿಗ,low,
CRM-0000181,Person,57,retired,KA-BLG,property,F,Seeta Thakur,ಪ್ರಿಯಾ ತಂತ್ರಿ,medium,
CRM-0000182,Person,47,experienced,KA-KLP,violent,M,Naveen Swamy,ಮಂಜುನಾಥ್ ಭಟ್,high,
CRM-0000183,Person,68,active,KA-BLG,fraud,F,Shantha Joshi,ಶೃತಿ ತಂತ್ರಿ,medium,
CRM-0000184,Person,54,experienced,KA-MGL,fraud,M,Prashanth Verma,ನವೀನ್ ಪಾಟೀಲ್,low,
CRM-0000185,Person,18,arrested,KA-BLR2,property,M,Prashanth Aras,ನವೀನ್ ಭಟ್,low,
CRM-0000186,Person,45,experienced,KA-HBL,violent,F,Nirmala Tantri,ಸುಜಾತಾ ಸ್ವಾಮಿ,high,
CRM-0000187,Person,41,notorious,KA-BLR,opportunistic,M,Gaurav Rao,ಸುರೇಶ್ ತಂತ್ರಿ,medium,
CRM-0000188,Person,48,juvenile,KA-BLG,fraud,M,Anil Ayyar,ಪ್ರಕಾಶ್ ಜೋಶಿ,high,
CRM-0000189,Person,27,active,KA-MGL,property,F,Pooja Gowda,ರಾಧಾ ಅರಸ್,medium,
CRM-0000190,Person,59,active,KA-CHB,violent,F,Deepa Gowda,ಶಾಂತಾ ಕುಮಾರ್,high,
CRM-0000191,Person,73,emerging,KA-UDR,fraud,F,Swathi Sharma,ಪ್ರಿಯಾ ದೇಸಾಯಿ,low,
CRM-0000192,Person,27,notorious,KA-MGL,violent,M,Yogesh Patil,ಆಕಾಶ್ ಕುಮಾರ್,high,
CRM-0000193,Person,66,active,KA-RBG,opportunistic,F,Sujatha Shetty,ಗೀತಾ ಕೃಷ್ಣಮೂರ್ತಿ,very_high,
CRM-0000194,Person,58,retired,KA-UDR,violent,M,Yogesh Joshi,ಮಂಜುನಾಥ್ ಸ್ವಾಮಿ,high,
CRM-0000195,Person,41,emerging,KA-BLR,property,F,Meera Krishnamurthy,ಮಧು ಅಯ್ಯರ್,medium,
CRM-0000196,Person,57,active,KA-UDR,property,M,Ravi Lingayat,ಅಭಿಷೇಕ್ ರಾವ್,medium,
CRM-0000197,Person,63,experienced,KA-BLR-R,fraud,F,Vidya Lingayat,ರಾಧಾ ಅರಸ್,high,
CRM-0000198,Person,71,experienced,KA-BLR2,violent,F,Seeta Rao,ಅಂಜಲಿ ಗೌಡ,high,
CRM-0000199,Person,43,arrested,KA-KLP,property,M,Arjun Verma,ಗೌರವ್ ತಂತ್ರಿ,medium,
CRM-0000200,Person,72,experienced,KA-BLR,fraud,M,Srikanth Singh,ವಿನಯ್ ಅಡಿಗ,medium,
CRM-0000201,Person,69,experienced,KA-HBL,narcotics,M,Nagaraj Sharma,ಹರ್ಷ ಮೂರ್ತಿ,medium,
CRM-0000202,Person,36,experienced,KA-BLR2,violent,M,Ajay Bhat,ಹರ್ಷ ಕೃಷ್ಣಮೂರ್ತಿ,high,
CRM-0000203,Person,16,retired,KA-MGL,property,M,Prashanth Pillai,ಗಣೇಶ್ ಅಯ್ಯರ್,low,
CRM-0000204,Person,63,retired,KA-BLG,property,M,Srikanth Verma,ರಮೇಶ್ ರೆಡ್ಡಿ,medium,
CRM-0000205,Person,45,notorious,KA-MYS,violent,M,Mohan Krishnamurthy,ಬಸವರಾಜ್ ನಾಯ್ಕ್,medium,
CRM-0000206,Person,21,notorious,KA-MYS,property,M,Gaurav Joshi,ಬಸವರಾಜ್ ಮೂರ್ತಿ,very_high,
