officer_id,badge_number,name_en,gender,rank,rank_level,rank_abbr,station_id,district_id,district_name,phone,doj,tenure_years,shift,specialization,is_investigating_officer,is_station_house_officer
OFF-0000011,KSP/BLR/000011,Anil Prabhu,M,Head Constable,2,HC,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,8121119870,2004-06-19,22,morning_0600_1400,juvenile,false,false
OFF-0000012,KSP/BLR/000012,Suma Murthy,F,Inspector,4,PI,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,6268709797,2006-05-25,20,general_0900_1800,traffic,true,true
OFF-0000013,KSP/BLR/000013,Abhishek Joshi,M,Constable,1,PC,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,7290302684,2003-11-12,22,afternoon_1400_2200,crime_branch,false,false
OFF-0000014,KSP/BLR/000014,Anil Reddy,M,Inspector,4,PI,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,7964394380,2003-08-18,22,night_2200_0600,sb_intelligence,true,false
OFF-0000015,KSP/BLR/000015,Jyothi Prabhu,F,Head Constable,2,HC,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,6461924543,2008-10-03,17,afternoon_1400_2200,crime_branch,false,false
OFF-0000016,KSP/BLR/000016,Raghavendra Rao,M,ASI,2,APSI,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,7739178313,2002-01-26,24,general_0900_1800,traffic,true,false
OFF-0000017,KSP/BLR/000017,Mahesh Ayyar,M,Constable,1,PC,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,8012990862,2003-05-16,23,morning_0600_1400,cyber_crime,false,false
OFF-0000018,KSP/BLR/000018,Rajesh Krishnamurthy,M,ASI,2,APSI,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,8282001227,2015-06-27,11,morning_0600_1400,cyber_crime,true,false
OFF-0000019,KSP/BLR/000019,Vikram Sharma,M,Inspector,4,PI,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,9711732125,2012-02-09,14,afternoon_1400_2200,traffic,true,true
OFF-0000020,KSP/BLR/000020,Ramesh Bhat,M,Constable,1,PC,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,8307835033,2009-12-08,16,morning_0600_1400,traffic,false,false
OFF-0000021,KSP/BLR/000021,Vinay Krishnamurthy,M,Constable,1,PC,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,6272360253,2017-03-15,9,afternoon_1400_2200,juvenile,false,false
OFF-0000022,KSP/BLR/000022,Manjunath Udupi,M,Constable,1,PC,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,9169202566,2016-10-12,9,afternoon_1400_2200,cyber_crime,false,false
OFF-0000023,KSP/BLR/000023,Lakshmi Rao,F,Constable,1,PC,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,7181009170,2006-07-19,20,night_2200_0600,anti_corruption,false,false
OFF-0000024,KSP/BLR/000024,Ramesh Thakur,M,DSP,5,DSP,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,9833479852,2024-10-06,1,night_2200_0600,cyber_crime,false,false
OFF-0000025,KSP/BLR/000025,Shivakumar Vokkaliga,M,Head Constable,2,HC,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,7071883454,2018-12-28,7,general_0900_1800,juvenile,false,false
OFF-0000026,KSP/BLR/000026,Anil Swamy,M,Sub-Inspector,3,PSI,STN-KA-BLR-0001,KA-BLR,Bengaluru Urban,6055667326,2015-04-24,11,afternoon_1400_2200,cyber_crime,true,false
OFF-0000027,KSP/BLR/000027,Prashanth Kamath,M,Constable,1,PC,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,8204491691,2014-11-30,11,afternoon_1400_2200,women_cell,false,false
OFF-0000028,KSP/BLR/000028,Kiran Gowda,M,Head Constable,2,HC,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,7597374284,2013-01-31,13,afternoon_1400_2200,traffic,false,false
OFF-0000029,KSP/BLR/000029,Tejas Bhat,M,Constable,1,PC,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,7461447308,2018-09-19,7,general_0900_1800,women_cell,false,false
OFF-0000030,KSP/BLR/000030,Deepa Hegde,F,Constable,1,PC,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,9110355325,2011-03-01,15,morning_0600_1400,narcotics,false,false
OFF-0000031,KSP/BLR/000031,Kiran Gowda,M,Sub-Inspector,3,PSI,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,6997151557,2015-07-29,10,general_0900_1800,crime_branch,true,true
OFF-0000032,KSP/BLR/000032,Meera Vokkaliga,F,Constable,1,PC,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,6489694311,2008-12-07,17,morning_0600_1400,anti_corruption,false,false
OFF-0000033,KSP/BLR/000033,Gaurav Tantri,M,ASI,2,APSI,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,6346915179,2012-12-13,13,afternoon_1400_2200,juvenile,true,false
OFF-0000034,KSP/BLR/000034,Nagaraj Thakur,M,Head Constable,2,HC,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,6764607923,2013-03-12,13,morning_0600_1400,traffic,false,false
OFF-0000035,KSP/BLR/000035,Manjunath Bhat,M,ASI,2,APSI,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,7802339641,2012-11-12,13,night_2200_0600,juvenile,true,false
OFF-0000036,KSP/BLR/000036,Prashanth Joshi,M,Head Constable,2,HC,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,6210852674,2004-02-23,22,afternoon_1400_2200,general,false,false
OFF-0000037,KSP/BLR/000037,Bharathi Tantri,F,DSP,5,DSP,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,7798166235,1997-01-19,29,general_0900_1800,anti_corruption,false,false
OFF-0000038,KSP/BLR/000038,Pooja Nayak,F,Constable,1,PC,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,6969002845,2016-07-05,10,night_2200_0600,juvenile,false,false
OFF-0000039,KSP/BLR/000039,Amala Aras,F,Head Constable,2,HC,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,6014467188,2015-10-07,10,general_0900_1800,juvenile,false,false
OFF-0000040,KSP/BLR/000040,Mohan Murthy,M,Constable,1,PC,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,7978477133,2002-09-23,23,morning_0600_1400,crime_branch,false,false
OFF-0000041,KSP/BLR/000041,Radha Kamath,F,Sub-Inspector,3,PSI,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,9006663452,2016-05-28,10,afternoon_1400_2200,juvenile,true,false
OFF-0000042,KSP/BLR/000042,Arjun Nambiar,M,Constable,1,PC,STN-KA-BLR-0002,KA-BLR,Bengaluru Urban,7211763576,2014-07-31,11,morning_0600_1400,women_cell,false,false
OFF-0000043,KSP/BLR/000043,Prakash Gowda,M,Constable,1,PC,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,7754858111,2015-12-30,10,morning_0600_1400,anti_corruption,false,false
OFF-0000044,KSP/BLR/000044,Meera Vokkaliga,F,Constable,1,PC,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,6179135399,2014-06-14,12,night_2200_0600,crime_branch,false,false
OFF-0000045,KSP/BLR/000045,Naveen Lingayat,M,Head Constable,2,HC,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,9297732640,2013-07-30,12,morning_0600_1400,traffic,false,false
OFF-0000046,KSP/BLR/000046,Nagaraj Raju,M,Head Constable,2,HC,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,8315148325,2008-11-01,17,morning_0600_1400,anti_corruption,false,false
OFF-0000047,KSP/BLR/000047,Anjali Shetty,F,Sub-Inspector,3,PSI,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,9376743052,2021-08-26,4,morning_0600_1400,cyber_crime,true,true
OFF-0000048,KSP/BLR/000048,Rajesh Rao,M,Constable,1,PC,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,9536079640,2022-05-31,4,morning_0600_1400,narcotics,false,false
OFF-0000049,KSP/BLR/000049,Harsh Krishnamurthy,M,Sub-Inspector,3,PSI,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,6896915263,2023-12-23,2,morning_0600_1400,women_cell,true,false
OFF-0000050,KSP/BLR/000050,Arjun Lingayat,M,ASI,2,APSI,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,7149676841,2010-01-04,16,night_2200_0600,cyber_crime,true,false
OFF-0000051,KSP/BLR/000051,Manjunath Verma,M,Head Constable,2,HC,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,8584945272,2020-05-26,6,morning_0600_1400,cyber_crime,false,false
OFF-0000052,KSP/BLR/000052,Nirmala Nambiar,F,Constable,1,PC,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,9595081237,1999-04-05,27,afternoon_1400_2200,anti_corruption,false,false
OFF-0000053,KSP/BLR/000053,Harsh Verma,M,Sub-Inspector,3,PSI,STN-KA-BLR-0004,KA-BLR,Bengaluru Urban,6778741783,2021-09-16,4,morning_0600_1400,anti_corruption,true,true
OFF-0000054,KSP/BLR/000054,Ravi Singh,M,SP,6,SP,STN-KA-BLR-0004,KA-BLR,Bengaluru Urban,8974489144,2001-09-03,24,afternoon_1400_2200,cyber_crime,false,false
OFF-0000055,KSP/BLR/000055,Basavaraj Gowda,M,Constable,1,PC,STN-KA-BLR-0004,KA-BLR,Bengaluru Urban,7250150978,1999-08-01,26,general_0900_1800,juvenile,false,false
OFF-0000056,KSP/BLR/000056,Ajay Joshi,M,ASI,2,APSI,STN-KA-BLR-0004,KA-BLR,Bengaluru Urban,8729608521,2017-05-18,9,afternoon_1400_2200,sb_intelligence,true,false
OFF-0000057,KSP/BLR/000057,Umesh Kamath,M,ASI,2,APSI,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,8439435802,2013-06-25,13,night_2200_0600,anti_corruption,true,false
OFF-0000058,KSP/BLR/000058,Prashanth Kumar,M,Head Constable,2,HC,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,6340463284,2001-07-28,24,night_2200_0600,traffic,false,false
OFF-0000059,KSP/BLR/000059,Satish Thakur,M,Constable,1,PC,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,6618218290,2022-06-07,4,afternoon_1400_2200,juvenile,false,false
OFF-0000060,KSP/BLR/000060,Mahesh Prabhu,M,ASI,2,APSI,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,8541186328,2023-01-22,3,afternoon_1400_2200,sb_intelligence,true,false
OFF-0000061,KSP/BLR/000061,Nagaraj Lingayat,M,Constable,1,PC,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,8588299015,2014-03-01,12,night_2200_0600,traffic,false,false
OFF-0000062,KSP/BLR/000062,Swathi Gowda,F,Head Constable,2,HC,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,6701703417,2023-08-30,2,general_0900_1800,juvenile,false,false
OFF-0000063,KSP/BLR/000063,Rajesh Udupi,M,Constable,1,PC,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,7883594054,2022-09-22,3,general_0900_1800,anti_corruption,false,false
OFF-0000064,KSP/BLR/000064,Mahesh Prabhu,M,Constable,1,PC,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,7973015582,2007-09-28,18,general_0900_1800,general,false,false
OFF-0000065,KSP/BLR/000065,Srikanth Reddy,M,Constable,1,PC,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,7311332623,2012-05-10,14,afternoon_1400_2200,juvenile,false,false
OFF-0000066,KSP/BLR/000066,Mahesh Udupi,M,Head Constable,2,HC,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,8980864720,2005-06-13,21,night_2200_0600,anti_corruption,false,false
OFF-0000067,KSP/BLR/000067,Mahesh Verma,M,Constable,1,PC,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,9216076462,1999-08-31,26,morning_0600_1400,narcotics,false,false
OFF-0000068,KSP/BLR/000068,Srikanth Krishnamurthy,M,IGP,8,IGP,STN-KA-BLR-0005,KA-BLR,Bengaluru Urban,7339464595,2012-06-11,14,general_0900_1800,anti_corruption,false,false
OFF-0000069,KSP/BLR/000069,Basavaraj Thakur,M,ASI,2,APSI,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,6115389278,1999-12-04,26,night_2200_0600,narcotics,true,false
OFF-0000070,KSP/BLR/000070,Nagaraj Lingayat,M,Constable,1,PC,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,7997442193,2018-03-08,8,morning_0600_1400,crime_branch,false,false
OFF-0000071,KSP/BLR/000071,Anil Patil,M,Constable,1,PC,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,6897099103,1998-03-09,28,afternoon_1400_2200,crime_branch,false,false
OFF-0000072,KSP/BLR/000072,Mahesh Rao,M,Constable,1,PC,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,8812349045,2007-04-09,19,general_0900_1800,juvenile,false,false
OFF-0000073,KSP/BLR/000073,Arjun Hegde,M,ASI,2,APSI,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,7396048014,2017-03-19,9,general_0900_1800,anti_corruption,true,false
OFF-0000074,KSP/BLR/000074,Anjali Hegde,F,Constable,1,PC,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,6230519476,2025-01-03,1,night_2200_0600,anti_corruption,false,false
OFF-0000075,KSP/BLR/000075,Meera Udupi,F,DSP,5,DSP,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,6281074189,2003-07-19,23,night_2200_0600,general,false,false
OFF-0000076,KSP/BLR/000076,Srikanth Bhat,M,SP,6,SP,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,8703785972,2005-08-21,20,morning_0600_1400,traffic,false,false
OFF-0000077,KSP/BLR/000077,Harsh Prabhu,M,Head Constable,2,HC,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,9553202870,2018-01-08,8,morning_0600_1400,juvenile,false,false
OFF-0000078,KSP/BLR/000078,Sujatha Patil,F,Constable,1,PC,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,9553339959,1998-01-06,28,afternoon_1400_2200,traffic,false,false
OFF-0000079,KSP/BLR/000079,Mohan Murthy,M,Constable,1,PC,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,9265923278,2019-10-18,6,afternoon_1400_2200,traffic,false,false
OFF-0000080,KSP/BLR/000080,Ganesh Krishnamurthy,M,ASI,2,APSI,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,7642333430,2001-01-01,25,morning_0600_1400,crime_branch,true,false
OFF-0000081,KSP/BLR/000081,Suresh Swamy,M,Constable,1,PC,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,8461646687,2021-12-11,4,night_2200_0600,anti_corruption,false,false
OFF-0000082,KSP/BLR/000082,Shivakumar Aras,M,Sub-Inspector,3,PSI,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,9961372270,2015-11-28,10,night_2200_0600,sb_intelligence,true,true
OFF-0000083,KSP/BLR/000083,Ravi Desai,M,Constable,1,PC,STN-KA-BLR-0006,KA-BLR,Bengaluru Urban,9922799099,1998-06-05,28,morning_0600_1400,juvenile,false,false
OFF-0000084,KSP/BLR/000084,Ravi Joshi,M,Head Constable,2,HC,STN-KA-BLR-0007,KA-BLR,Bengaluru Urban,7064904860,2014-04-05,12,morning_0600_1400,sb_intelligence,false,false
OFF-0000085,KSP/BLR/000085,Priya Naik,F,Head Constable,2,HC,STN-KA-BLR-0007,KA-BLR,Bengaluru Urban,9198358827,2013-09-01,12,morning_0600_1400,narcotics,false,false
OFF-0000086,KSP/BLR/000086,Gaurav Murthy,M,Head Constable,2,HC,STN-KA-BLR-0007,KA-BLR,Bengaluru Urban,8973219369,2018-06-29,8,morning_0600_1400,juvenile,false,false
OFF-0000087,KSP/BLR/000087,Meera Raju,F,Constable,1,PC,STN-KA-BLR-0007,KA-BLR,Bengaluru Urban,7318343186,2002-03-04,24,night_2200_0600,narcotics,false,false
OFF-0000088,KSP/BLR/000088,Vikram Raju,M,ASI,2,APSI,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,9218909724,2022-05-30,4,general_0900_1800,general,true,false
OFF-0000089,KSP/BLR/000089,Nagaraj Bhat,M,Sub-Inspector,3,PSI,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,6233123282,2009-07-22,16,afternoon_1400_2200,crime_branch,true,true
OFF-0000090,KSP/BLR/000090,Priya Kumar,F,Sub-Inspector,3,PSI,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,8031935448,2016-10-14,9,night_2200_0600,anti_corruption,true,false
OFF-0000091,KSP/BLR/000091,Nirmala Kamath,F,Constable,1,PC,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,6356537211,2010-07-25,15,general_0900_1800,traffic,false,false
OFF-0000092,KSP/BLR/000092,Vinay Desai,M,Constable,1,PC,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,7787060986,2019-05-06,7,night_2200_0600,women_cell,false,false
OFF-0000093,KSP/BLR/000093,Satish Desai,M,Head Constable,2,HC,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,6314829397,2025-03-28,1,afternoon_1400_2200,crime_branch,false,false
OFF-0000094,KSP/BLR/000094,Akash Shetty,M,Constable,1,PC,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,7799613617,2015-06-16,11,afternoon_1400_2200,women_cell,false,false
OFF-0000095,KSP/BLR/000095,Ajay Aras,M,Head Constable,2,HC,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,8870413914,2002-09-01,23,night_2200_0600,juvenile,false,false
OFF-0000096,KSP/BLR/000096,Rajesh Vokkaliga,M,Sub-Inspector,3,PSI,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,9434441432,2009-09-09,16,night_2200_0600,crime_branch,true,false
OFF-0000097,KSP/BLR/000097,Basavaraj Bhat,M,Inspector,4,PI,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,9178655090,1998-12-19,27,night_2200_0600,crime_branch,true,false
OFF-0000098,KSP/BLR/000098,Sandeep Shetty,M,Sub-Inspector,3,PSI,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,9283373952,2002-06-27,24,night_2200_0600,sb_intelligence,true,false
OFF-0000099,KSP/BLR/000099,Ganesh Lingayat,M,Constable,1,PC,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,8753486712,2005-05-11,21,general_0900_1800,women_cell,false,false
OFF-0000100,KSP/BLR/000100,Prashanth Patil,M,Constable,1,PC,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,8721028859,2002-02-06,24,night_2200_0600,juvenile,false,false
OFF-0000101,KSP/BLR/000101,Gaurav Murthy,M,Sub-Inspector,3,PSI,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,7557501549,1996-08-23,29,night_2200_0600,narcotics,true,false
OFF-0000102,KSP/BLR/000102,Suresh Swamy,M,Head Constable,2,HC,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,7037113387,1998-06-30,28,afternoon_1400_2200,juvenile,false,false
OFF-0000103,KSP/BLR/000103,Seeta Kumar,F,Head Constable,2,HC,STN-KA-BLR-0008,KA-BLR,Bengaluru Urban,7344660156,2005-07-23,20,morning_0600_1400,traffic,false,false
OFF-0000104,KSP/BLR/000104,Suresh Rao,M,Sub-Inspector,3,PSI,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,8884758185,2016-04-18,10,night_2200_0600,juvenile,true,true
OFF-0000105,KSP/BLR/000105,Abhishek Pillai,M,Sub-Inspector,3,PSI,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,7104806639,2003-07-10,23,morning_0600_1400,cyber_crime,true,false
OFF-0000106,KSP/BLR/000106,Nagaraj Desai,M,Sub-Inspector,3,PSI,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,9701801879,1999-11-05,26,night_2200_0600,women_cell,true,false
OFF-0000107,KSP/BLR/000107,Rohit Udupi,M,Constable,1,PC,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,6548095357,2006-09-17,19,night_2200_0600,narcotics,false,false
OFF-0000108,KSP/BLR/000108,Ganesh Naik,M,Constable,1,PC,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,8748967680,2016-03-18,10,general_0900_1800,crime_branch,false,false
OFF-0000109,KSP/BLR/000109,Vinay Aras,M,Sub-Inspector,3,PSI,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,8162085159,2007-03-12,19,night_2200_0600,juvenile,true,false
OFF-0000110,KSP/BLR/000110,Mohan Udupi,M,Constable,1,PC,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,9753403325,2011-04-02,15,afternoon_1400_2200,traffic,false,false
OFF-0000111,KSP/BLR/000111,Madhu Pillai,F,Inspector,4,PI,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,7548942400,2022-03-22,4,morning_0600_1400,anti_corruption,true,false
OFF-0000112,KSP/BLR/000112,Akash Raju,M,Constable,1,PC,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,8806217782,2008-02-12,18,night_2200_0600,traffic,false,false
OFF-0000113,KSP/BLR/000113,Rohit Reddy,M,Constable,1,PC,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,8814556120,2012-10-15,13,general_0900_1800,anti_corruption,false,false
OFF-0000114,KSP/BLR/000114,Vinay Krishnamurthy,M,Constable,1,PC,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,7098762390,2007-01-03,19,morning_0600_1400,sb_intelligence,false,false
OFF-0000115,KSP/BLR/000115,Abhishek Sharma,M,IGP,8,IGP,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,9382590692,2011-05-21,15,morning_0600_1400,general,false,false
OFF-0000116,KSP/BLR/000116,Pooja Sharma,F,Constable,1,PC,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,6685984924,2000-07-12,26,morning_0600_1400,cyber_crime,false,false
OFF-0000117,KSP/BLR/000117,Rohit Rao,M,Head Constable,2,HC,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,8768747363,1998-11-20,27,night_2200_0600,cyber_crime,false,false
OFF-0000118,KSP/BLR/000118,Srikanth Desai,M,ADGP,9,ADGP,STN-KA-BLR-0009,KA-BLR,Bengaluru Urban,8938329601,2002-07-26,23,general_0900_1800,anti_corruption,false,false
OFF-0000119,KSP/BLR/000119,Seeta Raju,F,Sub-Inspector,3,PSI,STN-KA-BLR-0010,KA-BLR,Bengaluru Urban,8490646314,2006-10-09,19,general_0900_1800,juvenile,true,true
OFF-0000120,KSP/BLR/000120,Saritha Nambiar,F,ASI,2,APSI,STN-KA-BLR-0010,KA-BLR,Bengaluru Urban,6496779891,1998-08-30,27,night_2200_0600,narcotics,true,false
OFF-0000121,KSP/BLR/000121,Ramesh Swamy,M,Head Constable,2,HC,STN-KA-BLR-0010,KA-BLR,Bengaluru Urban,7362981703,2007-04-07,19,night_2200_0600,anti_corruption,false,false
OFF-0000122,KSP/BLR/000122,Sandeep Singh,M,Sub-Inspector,3,PSI,STN-KA-BLR-0010,KA-BLR,Bengaluru Urban,7500876161,2024-10-05,1,afternoon_1400_2200,juvenile,true,false
OFF-0000123,KSP/BLR/000123,Prakash Shastri,M,Constable,1,PC,STN-KA-BLR-0010,KA-BLR,Bengaluru Urban,7813146984,2025-05-31,1,general_0900_1800,anti_corruption,false,false
OFF-0000124,KSP/BLR/000124,Sandeep Naik,M,ASI,2,APSI,STN-KA-BLR-0010,KA-BLR,Bengaluru Urban,6597932314,2010-03-17,16,morning_0600_1400,narcotics,true,false
OFF-0000125,KSP/BLR/000125,Madhu Prabhu,F,Head Constable,2,HC,STN-KA-BLR-0010,KA-BLR,Bengaluru Urban,8875332377,2011-10-24,14,general_0900_1800,crime_branch,false,false
OFF-0000126,KSP/BLR/000126,Sangeetha Udupi,F,Constable,1,PC,STN-KA-BLR-0010,KA-BLR,Bengaluru Urban,8331027116,2009-08-27,16,general_0900_1800,anti_corruption,false,false
OFF-0000127,KSP/BLR/000127,Sujatha Nambiar,F,Head Constable,2,HC,STN-KA-BLR-0010,KA-BLR,Bengaluru Urban,6427271594,2001-11-30,24,morning_0600_1400,narcotics,false,false
OFF-0000128,KSP/BLR/000128,Shivakumar Desai,M,Head Constable,2,HC,STN-KA-BLR-0011,KA-BLR,Bengaluru Urban,6268068398,2011-08-27,14,afternoon_1400_2200,juvenile,false,false
OFF-0000129,KSP/BLR/000129,Vinay Nambiar,M,Head Constable,2,HC,STN-KA-BLR-0011,KA-BLR,Bengaluru Urban,8560414366,2009-01-20,17,night_2200_0600,general,false,false
OFF-0000130,KSP/BLR/000130,Vikram Verma,M,Head Constable,2,HC,STN-KA-BLR-0011,KA-BLR,Bengaluru Urban,7015165359,2024-05-01,2,night_2200_0600,sb_intelligence,false,false
OFF-0000131,KSP/BLR/000131,Suma Adiga,F,ASI,2,APSI,STN-KA-BLR-0011,KA-BLR,Bengaluru Urban,9021140281,2014-11-08,11,afternoon_1400_2200,cyber_crime,true,false
OFF-0000132,KSP/BLR/000132,Anita Sharma,F,DSP,5,DSP,STN-KA-BLR-0011,KA-BLR,Bengaluru Urban,7845996077,2021-02-24,5,morning_0600_1400,general,false,false
OFF-0000133,KSP/BLR/000133,Prakash Naik,M,ASI,2,APSI,STN-KA-BLR-0011,KA-BLR,Bengaluru Urban,8521699095,2003-12-13,22,night_2200_0600,traffic,true,false
