phone_id,owner_id,phone_number,provider,type,is_burner
PHN-00000049,CIT-00000066,9847295213,Jio,feature_phone,false
PHN-00000050,CIT-00000067,9527142876,BSNL,smartphone,false
PHN-00000051,CIT-00000068,8417432882,BSNL,feature_phone,false
PHN-00000052,CIT-00000069,9899113775,BSNL,smartphone,false
PHN-00000053,CIT-00000070,8062200784,Vi,smartphone,false
PHN-00000054,CIT-00000071,9903649003,Vi,feature_phone,false
PHN-00000055,CIT-00000072,8961095111,Jio,smartphone,false
PHN-00000056,CIT-00000073,6579454456,Airtel,smartphone,false
PHN-00000057,CIT-00000074,7237874697,Vi,smartphone,false
PHN-00000058,CIT-00000075,6479393945,BSNL,smartphone,false
PHN-00000059,CIT-00000076,9664839953,Airtel,smartphone,false
PHN-00000060,CIT-00000077,6716332396,Airtel,smartphone,false
PHN-00000061,CIT-00000078,9866605846,Vi,smartphone,false
PHN-00000062,CIT-00000079,8268930099,Vi,smartphone,false
PHN-00000063,CIT-00000080,9687543523,Vi,smartphone,false
PHN-00000064,CIT-00000081,7363034314,Vi,smartphone,false
PHN-00000065,CIT-00000082,7786998833,BSNL,smartphone,false
PHN-00000066,CIT-00000083,6422743198,Airtel,smartphone,false
PHN-00000067,CIT-00000084,6881972929,Vi,smartphone,false
PHN-00000068,CIT-00000085,8879666354,Jio,smartphone,false
PHN-00000069,CIT-00000086,6491811226,BSNL,smartphone,false
PHN-00000070,CIT-00000087,9366311584,BSNL,feature_phone,false
PHN-00000071,CIT-00000089,8077133813,Jio,smartphone,false
PHN-00000072,CIT-00000090,7537919252,Vi,smartphone,false
PHN-00000073,CIT-00000091,6036906133,Airtel,smartphone,false
PHN-00000074,CIT-00000092,8166772405,BSNL,feature_phone,false
PHN-00000075,CIT-00000094,9573091450,Jio,feature_phone,false
PHN-00000076,CIT-00000096,7879016447,Airtel,smartphone,false
PHN-00000077,CIT-00000098,8248880973,BSNL,smartphone,false
PHN-00000078,CIT-00000100,9958495852,Airtel,smartphone,false
PHN-00000079,CIT-00000102,7395353754,Jio,smartphone,false
PHN-00000080,CIT-00000103,7027422153,BSNL,feature_phone,false
PHN-00000081,CIT-00000104,9084982712,Vi,smartphone,false
PHN-00000082,CIT-00000105,6208787086,Jio,feature_phone,false
PHN-00000083,CIT-00000106,7517295591,Jio,smartphone,false
PHN-00000084,CIT-00000107,8344758442,Jio,smartphone,false
PHN-00000085,CIT-00000108,8280680426,BSNL,smartphone,false
PHN-00000086,CIT-00000109,8659040922,Vi,smartphone,false
PHN-00000087,CIT-00000110,6063576714,BSNL,smartphone,false
PHN-00000088,CIT-00000111,9630219006,BSNL,smartphone,false
PHN-00000089,CIT-00000112,9803249868,Vi,feature_phone,false
PHN-00000090,CIT-00000113,9838631802,Vi,smartphone,false
PHN-00000091,CIT-00000114,9036714962,Airtel,smartphone,false
PHN-00000092,CIT-00000116,9259256375,Jio,smartphone,false
PHN-00000093,CIT-00000118,6327777206,BSNL,feature_phone,false
PHN-00000094,CIT-00000120,9957702661,Jio,smartphone,false
PHN-00000095,CIT-00000121,8883653730,BSNL,smartphone,false
PHN-00000096,CIT-00000122,7889514551,BSNL,smartphone,false
PHN-00000097,CIT-00000123,7182059346,Jio,smartphone,false
PHN-00000098,CIT-00000124,6607610580,Jio,feature_phone,false
PHN-00000099,CIT-00000125,7133971581,BSNL,feature_phone,false
PHN-00000100,CIT-00000126,8974165640,BSNL,smartphone,false
PHN-00000101,CIT-00000127,6648517120,BSNL,smartphone,false
PHN-00000102,CIT-00000128,7005763430,BSNL,smartphone,false
PHN-00000103,CIT-00000129,8930688175,Vi,feature_phone,false
PHN-00000104,CIT-00000130,6505905923,Vi,smartphone,false
PHN-00000105,CIT-00000131,9211769394,Vi,feature_phone,false
PHN-00000106,CIT-00000132,9215318367,BSNL,smartphone,false
PHN-00000107,CIT-00000133,7997807581,Vi,smartphone,false
PHN-00000108,CIT-00000134,8901499432,Jio,smartphone,false
PHN-00000109,CIT-00000136,7702358316,Jio,feature_phone,false
PHN-00000110,CIT-00000137,6579418288,Vi,smartphone,false
PHN-00000111,CIT-00000138,6218364557,Vi,smartphone,false
PHN-00000112,CIT-00000139,7894444188,Jio,smartphone,false
PHN-00000113,CIT-00000140,7577622034,Airtel,smartphone,false
PHN-00000114,CIT-00000141,9115951061,Vi,smartphone,false
PHN-00000115,CIT-00000143,8773580326,Vi,smartphone,false
PHN-00000116,CIT-00000144,7622662707,BSNL,smartphone,false
PHN-00000117,CIT-00000146,9451506453,Vi,feature_phone,false
PHN-00000118,CIT-00000147,7387365883,BSNL,feature_phone,false
PHN-00000119,CIT-00000150,8435411461,Jio,smartphone,false
PHN-00000120,CIT-00000151,6909636716,BSNL,feature_phone,false
PHN-00000121,CIT-00000152,9912036572,Vi,feature_phone,false
PHN-00000122,CIT-00000153,6985950825,Airtel,smartphone,false
PHN-00000123,CIT-00000154,8479003059,Jio,feature_phone,false
PHN-00000124,CIT-00000155,8336971215,Jio,smartphone,false
PHN-00000125,CIT-00000156,7456745691,Airtel,feature_phone,false
PHN-00000126,CIT-00000157,7942296896,Jio,smartphone,false
PHN-00000127,CIT-00000158,9863783876,Jio,smartphone,false
PHN-00000128,CIT-00000159,8362363904,Jio,smartphone,false
PHN-00000129,CIT-00000160,7230022129,Jio,smartphone,false
PHN-00000130,CIT-00000161,6444049169,BSNL,smartphone,false
PHN-00000131,CIT-00000162,6011993483,Jio,smartphone,false
PHN-00000132,CIT-00000164,7996188928,Airtel,feature_phone,false
PHN-00000133,CIT-00000165,6607606269,Airtel,smartphone,false
PHN-00000134,CIT-00000166,8567313900,Airtel,smartphone,false
PHN-00000135,CIT-00000167,8450350317,Airtel,smartphone,false
PHN-00000136,CIT-00000169,8354686055,Vi,smartphone,false
PHN-00000137,CIT-00000170,6857994258,BSNL,smartphone,false
PHN-00000138,CIT-00000171,8595876831,Vi,smartphone,false
PHN-00000139,CIT-00000172,9329128104,Vi,smartphone,false
PHN-00000140,CIT-00000173,8192571008,Airtel,smartphone,false
PHN-00000141,CIT-00000174,6982741579,Airtel,feature_phone,false
PHN-00000142,CIT-00000175,8551060690,Jio,feature_phone,false
PHN-00000143,CIT-00000176,6318812523,Jio,feature_phone,false
PHN-00000144,CIT-00000178,8835341006,BSNL,smartphone,false
PHN-00000145,CIT-00000180,9718046531,Vi,smartphone,false
PHN-00000146,CIT-00000181,7591162233,Airtel,smartphone,false
PHN-00000147,CIT-00000182,9219078619,Airtel,smartphone,false
PHN-00000148,CIT-00000183,9912074929,Jio,smartphone,false
PHN-00000149,CIT-00000184,7514114393,Airtel,feature_phone,false
PHN-00000150,CIT-00000186,8330788031,Airtel,smartphone,false
PHN-00000151,CIT-00000187,9064433792,Jio,smartphone,false
PHN-00000152,CIT-00000188,6188727353,Airtel,smartphone,false
PHN-00000153,CIT-00000190,7636459237,Vi,smartphone,false
PHN-00000154,CIT-00000191,6367491255,Vi,smartphone,false
PHN-00000155,CIT-00000193,8841595742,Vi,feature_phone,false
PHN-00000156,CIT-00000194,8450198994,BSNL,feature_phone,false
PHN-00000157,CIT-00000195,7749647856,Vi,smartphone,false
PHN-00000158,CIT-00000196,6607110332,Vi,smartphone,false
PHN-00000159,CIT-00000197,8315951876,Jio,smartphone,false
PHN-00000160,CIT-00000198,8630156590,Airtel,smartphone,false
PHN-00000161,CIT-00000199,7486969161,Jio,smartphone,false
PHN-00000162,CIT-00000201,8459413163,Airtel,smartphone,false
PHN-00000163,CIT-00000202,6457601781,Airtel,smartphone,false
PHN-00000164,CIT-00000203,9201571462,Airtel,smartphone,false
PHN-00000165,CIT-00000204,7202856462,Airtel,smartphone,false
PHN-00000166,CIT-00000205,9178302169,BSNL,smartphone,false
PHN-00000167,CIT-00000207,9511036192,Vi,smartphone,false
PHN-00000168,CIT-00000208,7002897664,Vi,smartphone,false
PHN-00000169,CIT-00000209,7180258959,BSNL,smartphone,false
PHN-00000170,CIT-00000210,7007729764,Airtel,smartphone,false
PHN-00000171,CIT-00000211,8122530634,Vi,smartphone,false
PHN-00000172,CIT-00000212,8666426883,Airtel,smartphone,false
PHN-00000173,CIT-00000213,7078785167,Jio,smartphone,false
PHN-00000174,CIT-00000214,7994648116,Airtel,smartphone,false
PHN-00000175,CIT-00000215,9928415563,Airtel,feature_phone,false
PHN-00000176,CIT-00000216,9502556166,Jio,smartphone,false
PHN-00000177,CIT-00000217,7788701034,Jio,feature_phone,false
PHN-00000178,CIT-00000218,8829894649,Jio,feature_phone,false
PHN-00000179,CIT-00000219,8889221793,Airtel,smartphone,false
PHN-00000180,CIT-00000221,9953280633,Airtel,smartphone,false
PHN-00000181,CIT-00000222,8555124882,Jio,smartphone,false
PHN-00000182,CIT-00000224,9078149317,BSNL,smartphone,false
PHN-00000183,CIT-00000225,9070290730,BSNL,feature_phone,false
PHN-00000184,CIT-00000227,6128705720,Jio,smartphone,false
PHN-00000185,CIT-00000228,7904576037,BSNL,smartphone,false
PHN-00000186,CIT-00000229,7729813722,Jio,feature_phone,false
PHN-00000187,CIT-00000230,7843895161,Airtel,smartphone,false
PHN-00000188,CIT-00000231,8205427429,Airtel,feature_phone,false
PHN-00000189,CIT-00000233,8665395824,Jio,smartphone,false
PHN-00000190,CIT-00000234,9372176511,Airtel,smartphone,false
PHN-00000191,CIT-00000235,6141733338,Airtel,smartphone,false
PHN-00000192,CIT-00000236,9135003697,Vi,feature_phone,false
PHN-00000193,CIT-00000237,9736376801,Vi,smartphone,false
PHN-00000194,CIT-00000238,7241049541,Airtel,smartphone,false
PHN-00000195,CIT-00000240,9280810179,Airtel,smartphone,false
PHN-00000196,CIT-00000241,7172271909,Jio,smartphone,false
PHN-00000197,CIT-00000242,6277566414,Airtel,smartphone,false
PHN-00000198,CIT-00000243,8791775627,Vi,smartphone,false
PHN-00000199,CIT-00000245,7544677826,Airtel,smartphone,false
PHN-00000200,CIT-00000246,7325492806,BSNL,smartphone,false
PHN-00000201,CIT-00000247,8588488456,Vi,smartphone,false
PHN-00000202,CIT-00000249,7517502549,Vi,smartphone,false
PHN-00000203,CIT-00000250,6929552468,Jio,smartphone,false
PHN-00000204,CIT-00000252,8898095372,Airtel,smartphone,false
PHN-00000205,CIT-00000253,8284864537,Airtel,smartphone,false
PHN-00000206,CIT-00000255,8805616890,Jio,smartphone,false
PHN-00000207,CIT-00000256,6210136804,BSNL,smartphone,false
PHN-00000208,CIT-00000257,6446732884,Vi,smartphone,false
PHN-00000209,CIT-00000259,9978915646,BSNL,smartphone,false
PHN-00000210,CIT-00000260,8551717277,Jio,smartphone,false
PHN-00000211,CIT-00000261,8998258730,Airtel,smartphone,false
PHN-00000212,CIT-00000262,6169830638,Vi,smartphone,false
PHN-00000213,CIT-00000263,7805925914,Airtel,smartphone,false
PHN-00000214,CIT-00000264,9218003563,BSNL,feature_phone,false
PHN-00000215,CIT-00000265,8205408080,BSNL,feature_phone,false
PHN-00000216,CIT-00000266,7637530782,Jio,smartphone,false
PHN-00000217,CIT-00000271,7908372504,Airtel,feature_phone,false
PHN-00000218,CIT-00000272,8737127628,Airtel,smartphone,false
PHN-00000219,CIT-00000273,7473047550,Airtel,smartphone,false
PHN-00000220,CIT-00000274,6394378134,Airtel,feature_phone,false
PHN-00000221,CIT-00000275,7889596080,Jio,smartphone,false
PHN-00000222,CIT-00000276,7859521054,Vi,smartphone,false
PHN-00000223,CIT-00000277,8238177135,BSNL,smartphone,false
PHN-00000224,CIT-00000278,6965525451,Jio,smartphone,false
PHN-00000225,CIT-00000279,8285846714,Vi,smartphone,false
PHN-00000226,CIT-00000281,6674855872,Vi,smartphone,false
PHN-00000227,CIT-00000282,9580691437,BSNL,smartphone,false
PHN-00000228,CIT-00000283,8461277342,BSNL,smartphone,false
PHN-00000229,CIT-00000284,9257415052,Airtel,smartphone,false
PHN-00000230,CIT-00000286,7505062152,BSNL,smartphone,false
PHN-00000231,CIT-00000287,9467015711,BSNL,feature_phone,false
PHN-00000232,CIT-00000288,9722410001,Vi,smartphone,false
PHN-00000233,CIT-00000289,6929173796,Airtel,smartphone,false
PHN-00000234,CIT-00000290,7998739020,Airtel,smartphone,false
PHN-00000235,CIT-00000291,6142789938,Vi,smartphone,false
PHN-00000236,CIT-00000292,8971089668,Vi,smartphone,false
PHN-00000237,CIT-00000294,7710005290,Airtel,smartphone,false
PHN-00000238,CIT-00000296,6307185639,BSNL,feature_phone,false
PHN-00000239,CIT-00000297,6409123305,Vi,smartphone,false
PHN-00000240,CIT-00000298,8664099309,Airtel,smartphone,false
PHN-00000241,CIT-00000299,6786581401,Airtel,smartphone,false
PHN-00000242,CIT-00000301,8035066987,Vi,smartphone,false
PHN-00000243,CIT-00000302,6265150196,BSNL,smartphone,false
PHN-00000244,CIT-00000303,8236716553,BSNL,smartphone,false
PHN-00000245,CIT-00000304,7563275676,Airtel,smartphone,false
PHN-00000246,CIT-00000305,9353876581,Jio,smartphone,false
PHN-00000247,CIT-00000306,8216742377,BSNL,smartphone,false
PHN-00000248,CIT-00000307,6811634542,BSNL,smartphone,false
PHN-00000249,CIT-00000308,8223666513,BSNL,feature_phone,false
PHN-00000250,CIT-00000309,6139329098,BSNL,feature_phone,false
PHN-00000251,CIT-00000310,8333674646,Jio,smartphone,false
PHN-00000252,CIT-00000312,6420648558,Jio,smartphone,false
PHN-00000253,CIT-00000314,8146040508,Airtel,feature_phone,false
PHN-00000254,CIT-00000316,6535320100,Vi,smartphone,false
PHN-00000255,CIT-00000317,9808049159,Jio,smartphone,false
PHN-00000256,CIT-00000318,9240039239,BSNL,smartphone,false
PHN-00000257,CIT-00000319,8801517519,BSNL,smartphone,false
PHN-00000258,CIT-00000320,9931286832,BSNL,smartphone,false
PHN-00000259,CIT-00000321,9883106063,Vi,smartphone,false
PHN-00000260,CIT-00000322,8630958383,BSNL,smartphone,false
PHN-00000261,CIT-00000323,7674540752,Jio,smartphone,false
PHN-00000262,CIT-00000325,9637941041,Airtel,smartphone,false
PHN-00000263,CIT-00000326,8397434667,BSNL,feature_phone,false
PHN-00000264,CIT-00000327,8742098758,Airtel,smartphone,false
PHN-00000265,CIT-00000328,7103013471,Airtel,feature_phone,false
PHN-00000266,CIT-00000329,7727756400,Jio,feature_phone,false
PHN-00000267,CIT-00000331,7492079079,Vi,feature_phone,false
PHN-00000268,CIT-00000332,9219959861,BSNL,smartphone,false
PHN-00000269,CIT-00000333,8369996865,Jio,smartphone,false
PHN-00000270,CIT-00000334,8660854485,BSNL,smartphone,false
PHN-00000271,CIT-00000335,6712994943,Airtel,smartphone,false
PHN-00000272,CIT-00000336,6825861746,Vi,smartphone,false
PHN-00000273,CIT-00000337,9795721963,Vi,smartphone,false
PHN-00000274,CIT-00000338,9788530399,BSNL,feature_phone,false
PHN-00000275,CIT-00000340,9241511622,Airtel,feature_phone,false
PHN-00000276,CIT-00000343,8185969906,Airtel,smartphone,false
PHN-00000277,CIT-00000344,6991537171,Vi,smartphone,false
PHN-00000278,CIT-00000345,9774262226,Vi,smartphone,false
PHN-00000279,CIT-00000346,9849639421,Vi,smartphone,false
PHN-00000280,CIT-00000347,9168491146,Jio,smartphone,false
PHN-00000281,CIT-00000348,7862502240,Jio,smartphone,false
PHN-00000282,CIT-00000349,6226596579,Airtel,smartphone,false
PHN-00000283,CIT-00000350,7466847279,Airtel,smartphone,false
PHN-00000284,CIT-00000351,8138929842,Vi,feature_phone,false
PHN-00000285,CIT-00000352,7177491244,BSNL,feature_phone,false
PHN-00000286,CIT-00000353,9219721044,BSNL,smartphone,false
PHN-00000287,CIT-00000354,9179450179,Vi,smartphone,false
PHN-00000288,CIT-00000355,8351172512,Jio,smartphone,false
PHN-00000289,CIT-00000357,9432859607,Airtel,smartphone,false
PHN-00000290,CIT-00000358,9161231640,Airtel,feature_phone,false
PHN-00000291,CIT-00000359,9712390502,BSNL,smartphone,false
PHN-00000292,CIT-00000361,6922961797,Jio,smartphone,false
PHN-00000293,CIT-00000362,9159405161,Airtel,smartphone,false
PHN-00000294,CIT-00000363,8586901916,Jio,feature_phone,false
PHN-00000295,CIT-00000365,9879666733,Vi,smartphone,false
PHN-00000296,CIT-00000368,7911196059,Vi,feature_phone,false
PHN-00000297,CIT-00000369,6090606763,Airtel,smartphone,false
PHN-00000298,CIT-00000370,6612981903,Jio,smartphone,false
PHN-00000299,CIT-00000372,8353785705,BSNL,feature_phone,false
PHN-00000300,CIT-00000373,8825336559,BSNL,smartphone,false
PHN-00000301,CIT-00000374,6683127418,Jio,smartphone,false
PHN-00000302,CIT-00000375,8847479604,BSNL,smartphone,false
PHN-00000303,CIT-00000377,9215475798,Airtel,smartphone,false
PHN-00000304,CIT-00000379,8856785381,Jio,smartphone,false
PHN-00000305,CIT-00000380,6997376143,Vi,smartphone,false
PHN-00000306,CIT-00000381,6773285706,Airtel,smartphone,false
PHN-00000307,CIT-00000382,9188314235,Jio,feature_phone,false
PHN-00000308,CIT-00000383,8109550469,Jio,smartphone,false
PHN-00000309,CIT-00000384,9269893818,BSNL,smartphone,false
PHN-00000310,CIT-00000385,6692491160,Jio,smartphone,false
PHN-00000311,CIT-00000387,6737811128,Airtel,feature_phone,false
PHN-00000312,CIT-00000388,6222363471,BSNL,feature_phone,false
PHN-00000313,CIT-00000389,8467524698,Vi,smartphone,false
PHN-00000314,CIT-00000391,9261670478,BSNL,smartphone,false
PHN-00000315,CIT-00000392,8036395655,Jio,smartphone,false
PHN-00000316,CIT-00000393,6619086319,Vi,smartphone,false
PHN-00000317,CIT-00000394,6457566214,Airtel,smartphone,false
PHN-00000318,CIT-00000395,6260675637,Vi,smartphone,false
PHN-00000319,CIT-00000396,8938288840,Jio,smartphone,false
PHN-00000320,CIT-00000397,6867959444,Airtel,smartphone,false
PHN-00000321,CIT-00000398,8856928423,BSNL,smartphone,false
PHN-00000322,CIT-00000399,9690017104,Jio,smartphone,false
PHN-00000323,CIT-00000400,6052781060,Jio,feature_phone,false
PHN-00000324,CIT-00000402,6205953638,BSNL,feature_phone,false
PHN-00000325,CIT-00000403,7370352631,Jio,smartphone,false
PHN-00000326,CIT-00000404,9204399574,Vi,smartphone,false
PHN-00000327,CIT-00000405,6236594743,Vi,smartphone,false
PHN-00000328,CIT-00000406,7719519326,Jio,smartphone,false
PHN-00000329,CIT-00000407,8444697396,Airtel,smartphone,false
PHN-00000330,CIT-00000408,9311563716,Vi,smartphone,false
PHN-00000331,CIT-00000409,7116152113,Jio,feature_phone,false
PHN-00000332,CIT-00000411,7919922377,Airtel,smartphone,false
PHN-00000333,CIT-00000412,6776351000,Jio,feature_phone,false
PHN-00000334,CIT-00000415,6716732186,BSNL,smartphone,false
PHN-00000335,CIT-00000416,7302591784,BSNL,smartphone,false
PHN-00000336,CIT-00000418,9809072182,Airtel,smartphone,false
PHN-00000337,CIT-00000419,9467006488,Airtel,smartphone,false
PHN-00000338,CIT-00000420,9156557666,Vi,feature_phone,false
PHN-00000339,CIT-00000421,7942761138,BSNL,smartphone,false
PHN-00000340,CIT-00000422,8464474719,Jio,smartphone,false
PHN-00000341,CIT-00000423,6000463165,Vi,feature_phone,false
PHN-00000342,CIT-00000424,8550897639,Airtel,smartphone,false
PHN-00000343,CIT-00000426,8146306802,BSNL,smartphone,false
PHN-00000344,CIT-00000427,6452381304,Vi,smartphone,false
PHN-00000345,CIT-00000428,9460638970,Vi,feature_phone,false
PHN-00000346,CIT-00000429,9069689633,Airtel,feature_phone,false
PHN-00000347,CIT-00000430,9814408076,Vi,smartphone,false
PHN-00000348,CIT-00000431,8114834524,Vi,smartphone,false
PHN-00000349,CIT-00000432,7598852728,BSNL,smartphone,false
PHN-00000350,CIT-00000433,9127569700,Airtel,smartphone,false
PHN-00000351,CIT-00000435,6962793129,Airtel,feature_phone,false
PHN-00000352,CIT-00000436,8066701944,Vi,smartphone,false
PHN-00000353,CIT-00000437,9188640255,Jio,smartphone,false
PHN-00000354,CIT-00000438,8618131866,Airtel,smartphone,false
PHN-00000355,CIT-00000440,9583652959,Airtel,smartphone,false
PHN-00000356,CIT-00000441,8543002464,Airtel,smartphone,false
PHN-00000357,CIT-00000442,7518054016,BSNL,feature_phone,false
PHN-00000358,CIT-00000445,6615880695,Vi,feature_phone,false
PHN-00000359,CIT-00000446,7869637117,Airtel,smartphone,false
PHN-00000360,CIT-00000447,8696156725,Airtel,smartphone,false
PHN-00000361,CIT-00000448,6366428462,Vi,smartphone,false
PHN-00000362,CIT-00000449,9487054532,BSNL,feature_phone,false
PHN-00000363,CIT-00000451,9333935638,Jio,feature_phone,false
PHN-00000364,CIT-00000452,6789256413,Jio,smartphone,false
PHN-00000365,CIT-00000453,8699132222,Airtel,smartphone,false
PHN-00000366,CIT-00000454,6401438889,Jio,smartphone,false
PHN-00000367,CIT-00000455,9495454180,BSNL,smartphone,false
PHN-00000368,CIT-00000456,6510762380,Airtel,smartphone,false
PHN-00000369,CIT-00000457,9119016530,Vi,smartphone,false
PHN-00000370,CIT-00000458,6481544979,Vi,smartphone,false
PHN-00000371,CIT-00000459,8242894621,Jio,smartphone,false
PHN-00000372,CIT-00000460,8148032386,Airtel,smartphone,false
PHN-00000373,CIT-00000461,9078358780,BSNL,feature_phone,false
PHN-00000374,CIT-00000462,7530597700,BSNL,smartphone,false
PHN-00000375,CIT-00000463,6060446022,Jio,smartphone,false
PHN-00000376,CIT-00000464,8353681153,Jio,smartphone,false
PHN-00000377,CIT-00000465,9490735925,BSNL,feature_phone,false
PHN-00000378,CIT-00000466,7787500671,BSNL,smartphone,false
PHN-00000379,CIT-00000470,6988747073,Airtel,feature_phone,false
PHN-00000380,CIT-00000472,8262160293,BSNL,smartphone,false
PHN-00000381,CIT-00000473,7997724367,Airtel,smartphone,false
PHN-00000382,CIT-00000474,8753959102,Airtel,smartphone,false
PHN-00000383,CIT-00000475,8808235985,BSNL,smartphone,false
PHN-00000384,CIT-00000476,8992400144,Vi,smartphone,false
PHN-00000385,CIT-00000477,7430822406,Airtel,smartphone,false
PHN-00000386,CIT-00000479,6519241404,Airtel,feature_phone,false
PHN-00000387,CIT-00000481,7706273394,BSNL,feature_phone,false
PHN-00000388,CIT-00000482,7607798109,Airtel,feature_phone,false
PHN-00000389,CIT-00000484,8828350389,Jio,smartphone,false
PHN-00000390,CIT-00000485,7397065204,Vi,smartphone,false
PHN-00000391,CIT-00000486,6905413290,Jio,feature_phone,false
PHN-00000392,CIT-00000487,8035432927,Jio,smartphone,false
PHN-00000393,CIT-00000488,9146792060,Jio,feature_phone,false
PHN-00000394,CIT-00000489,7978644023,Airtel,smartphone,false
PHN-00000395,CIT-00000490,9744174560,Airtel,smartphone,false
PHN-00000396,CIT-00000491,7530306170,Airtel,smartphone,false
PHN-00000397,CIT-00000492,8398788730,Airtel,smartphone,false
PHN-00000398,CIT-00000493,6384717625,Airtel,smartphone,false
PHN-00000399,CIT-00000494,9236532965,BSNL,smartphone,false
PHN-00000400,CIT-00000495,7819855892,Vi,smartphone,false
PHN-00000401,CIT-00000496,7254311228,BSNL,smartphone,false
PHN-00000402,CIT-00000497,7636624404,Airtel,smartphone,false
PHN-00000403,CIT-00000498,6518719944,Jio,smartphone,false
PHN-00000404,CIT-00000499,9261438619,BSNL,smartphone,false
PHN-00000405,CIT-00000501,7650841137,Airtel,smartphone,false
PHN-00000406,CIT-00000502,7552453921,Jio,smartphone,false
PHN-00000407,CIT-00000503,8665556363,Jio,smartphone,false
PHN-00000408,CIT-00000507,8546642922,Vi,smartphone,false
PHN-00000409,CIT-00000508,9589375529,Vi,smartphone,false
PHN-00000410,CIT-00000509,9723409458,Airtel,smartphone,false
PHN-00000411,CIT-00000510,8101627311,Vi,smartphone,false
PHN-00000412,CIT-00000511,9784876379,Jio,smartphone,false
PHN-00000413,CIT-00000512,9460607628,BSNL,smartphone,false
PHN-00000414,CIT-00000513,8246439395,Vi,smartphone,false
PHN-00000415,CIT-00000514,6645951727,Vi,feature_phone,false
PHN-00000416,CIT-00000515,6169549018,BSNL,smartphone,false
PHN-00000417,CIT-00000516,9024387235,Airtel,smartphone,false
PHN-00000418,CIT-00000517,7494083804,BSNL,smartphone,false
PHN-00000419,CIT-00000518,6366204615,Airtel,smartphone,false
PHN-00000420,CIT-00000519,8773769965,Jio,smartphone,false
PHN-00000421,CIT-00000520,9520212619,BSNL,smartphone,false
PHN-00000422,CIT-00000521,9240670405,Airtel,smartphone,false
PHN-00000423,CIT-00000522,8007057795,BSNL,smartphone,false
PHN-00000424,CIT-00000523,8519513388,Jio,feature_phone,false
PHN-00000425,CIT-00000524,6300742870,BSNL,smartphone,false
