accused_id,fir_id,criminal_id,name_en,name_kn,age,gender,address,is_known,is_arrested,role
ACC-FIR-BLR-2021-00009-000,FIR-BLR-2021-00009,CRM-0000129,Basavaraj Shetty,ನವೀನ್ ಶಾಸ್ತ್ರಿ,32,M,,true,true,principal
ACC-FIR-DVG-2021-00005-000,FIR-DVG-2021-00005,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,true,principal
ACC-FIR-RBG-2021-00008-000,FIR-RBG-2021-00008,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-RBG-2021-00009-000,FIR-RBG-2021-00009,,Lakshmi Krishnamurthy,ಅಜ್ಞಾತ,,F,,false,false,principal
ACC-FIR-RBG-2021-00010-000,FIR-RBG-2021-00010,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,true,principal
ACC-FIR-BLG-2021-00004-000,FIR-BLG-2021-00004,,Gaurav Tantri,ಅಜ್ಞಾತ,,M,,false,false,principal
ACC-FIR-RBG-2021-00011-000,FIR-RBG-2021-00011,,Vidya Tantri,ಅಜ್ಞಾತ,,F,,false,false,principal
ACC-FIR-RBG-2021-00012-000,FIR-RBG-2021-00012,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLR-2021-00010-000,FIR-BLR-2021-00010,CRM-0000239,Ramesh Reddy,ಪ್ರಕಾಶ್ ಭಟ್,45,M,,false,false,principal
ACC-FIR-BLR-2021-00011-000,FIR-BLR-2021-00011,CRM-0000032,Rohit Joshi,ಗೌರವ್ ಲಿಂಗಾಯತ್,41,M,,false,false,principal
ACC-FIR-MGL-2021-00004-000,FIR-MGL-2021-00004,,Sujatha Vokkaliga,ಅಜ್ಞಾತ,,F,,false,false,principal
ACC-FIR-BLR-2021-00012-000,FIR-BLR-2021-00012,CRM-0000001,Bharathi Nambiar,ರೇಖಾ ಅಡಿಗ,40,F,,true,false,principal
ACC-FIR-KLP-2021-00004-000,FIR-KLP-2021-00004,,Akash Murthy,ಅಜ್ಞಾತ,,M,,false,false,principal
ACC-FIR-RBG-2021-00013-000,FIR-RBG-2021-00013,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLR-2021-00013-000,FIR-BLR-2021-00013,,Prashanth Lingayat,ಅಜ್ಞಾತ,,M,,false,false,principal
ACC-FIR-BLR-2021-00014-000,FIR-BLR-2021-00014,CRM-0000135,Yogesh Kamath,ಸುರೇಶ್ ಅಡಿಗ,35,M,,true,true,principal
ACC-FIR-RBG-2021-00014-000,FIR-RBG-2021-00014,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-RBG-2021-00015-000,FIR-RBG-2021-00015,CRM-0000080,Geetha Kamath,ಅನಿತಾ ಜೋಶಿ,73,F,,false,false,principal
ACC-FIR-DVG-2021-00006-000,FIR-DVG-2021-00006,CRM-0000139,Manjunath Tantri,ಪ್ರಶಾಂತ್ ರೆಡ್ಡಿ,44,M,,true,false,principal
ACC-FIR-RBG-2021-00016-000,FIR-RBG-2021-00016,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLR-2021-00015-000,FIR-BLR-2021-00015,CRM-0000215,Naveen Prabhu,ವಿಕ್ರಮ್ ಕಾಮತ್,18,M,,true,true,principal
ACC-FIR-UDR-2021-00002-000,FIR-UDR-2021-00002,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,true,false,principal
ACC-FIR-RBG-2021-00017-000,FIR-RBG-2021-00017,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,true,principal
ACC-FIR-BLR2-2021-00006-000,FIR-BLR2-2021-00006,CRM-0000227,Vikram Verma,ತೇಜಸ್ ಪ್ರಭು,50,M,,false,false,principal
ACC-FIR-BLR-2021-00016-000,FIR-BLR-2021-00016,CRM-0000232,Abhishek Raju,ಮಹೇಶ್ ತಂತ್ರಿ,19,M,,false,false,principal
ACC-FIR-RBG-2021-00018-000,FIR-RBG-2021-00018,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-KLP-2021-00005-000,FIR-KLP-2021-00005,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,true,false,principal
ACC-FIR-VKT-2021-00001-000,FIR-VKT-2021-00001,CRM-0000042,Ganesh Udupi,ನಾಗರಾಜ್ ರಾವ್,56,M,,false,false,principal
ACC-FIR-RBG-2021-00019-000,FIR-RBG-2021-00019,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,true,principal
ACC-FIR-KLP-2021-00006-000,FIR-KLP-2021-00006,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-MYS-2021-00001-000,FIR-MYS-2021-00001,,Jyothi Vokkaliga,ಅಜ್ಞಾತ,,F,,false,false,principal
ACC-FIR-RBG-2021-00020-000,FIR-RBG-2021-00020,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-KLP-2021-00007-000,FIR-KLP-2021-00007,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-BLR-2021-00017-000,FIR-BLR-2021-00017,CRM-0000007,Rekha Pillai,ನಿತ್ಯಾ ಅಡಿಗ,61,F,,true,false,principal
ACC-FIR-RBG-2021-00021-000,FIR-RBG-2021-00021,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-KLP-2021-00008-000,FIR-KLP-2021-00008,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-BSD-2021-00001-000,FIR-BSD-2021-00001,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,true,false,principal
ACC-FIR-RBG-2021-00022-000,FIR-RBG-2021-00022,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-BSD-2021-00002-000,FIR-BSD-2021-00002,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,false,false,principal
ACC-FIR-HBL-2021-00005-000,FIR-HBL-2021-00005,,Mohan Raju,ಅಜ್ಞಾತ,,M,,false,false,principal
ACC-FIR-RBG-2021-00023-000,FIR-RBG-2021-00023,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-KLP-2021-00009-000,FIR-KLP-2021-00009,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-BSD-2021-00003-000,FIR-BSD-2021-00003,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,true,false,principal
ACC-FIR-RBG-2021-00024-000,FIR-RBG-2021-00024,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-KLP-2021-00010-000,FIR-KLP-2021-00010,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-BSD-2021-00004-000,FIR-BSD-2021-00004,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,true,false,principal
ACC-FIR-RBG-2021-00025-000,FIR-RBG-2021-00025,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-KLP-2021-00011-000,FIR-KLP-2021-00011,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BSD-2021-00005-000,FIR-BSD-2021-00005,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,true,false,principal
ACC-FIR-RBG-2021-00026-000,FIR-RBG-2021-00026,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-RCR-2021-00001-000,FIR-RCR-2021-00001,CRM-0000110,Mahesh Rao,ಅರ್ಜುನ್ ಪಾಟೀಲ್,66,M,,true,true,principal
ACC-FIR-MGL-2021-00005-000,FIR-MGL-2021-00005,CRM-0000028,Anil Kamath,ಯೋಗೇಶ್ ಹೆಗಡೆ,28,M,,false,false,principal
ACC-FIR-KLP-2021-00012-000,FIR-KLP-2021-00012,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,true,principal
ACC-FIR-BSD-2021-00006-000,FIR-BSD-2021-00006,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,true,true,principal
ACC-FIR-KLP-2021-00013-000,FIR-KLP-2021-00013,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BSD-2021-00007-000,FIR-BSD-2021-00007,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,false,true,principal
ACC-FIR-BSD-2021-00008-000,FIR-BSD-2021-00008,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,true,false,principal
ACC-FIR-BLR-2021-00018-000,FIR-BLR-2021-00018,CRM-0000140,Kiran Bhat,ಸತೀಶ್ ಗೌಡ,25,M,,true,false,principal
ACC-FIR-KLP-2021-00014-000,FIR-KLP-2021-00014,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-BLR-2021-00019-000,FIR-BLR-2021-00019,,Radha Swamy,ಅಜ್ಞಾತ,,F,,false,false,principal
ACC-FIR-KLP-2021-00015-000,FIR-KLP-2021-00015,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-VJP-2021-00001-000,FIR-VJP-2021-00001,CRM-0000239,Ramesh Reddy,ಪ್ರಕಾಶ್ ಭಟ್,45,M,,false,false,principal
ACC-FIR-KLP-2021-00016-000,FIR-KLP-2021-00016,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,true,principal
ACC-FIR-BLRR-2021-00001-000,FIR-BLRR-2021-00001,CRM-0000000,Bharathi Thakur,ಅನಿತಾ ಸ್ವಾಮಿ,25,F,,false,false,principal
ACC-FIR-KLP-2021-00017-000,FIR-KLP-2021-00017,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,true,principal
ACC-FIR-BLRR-2021-00002-000,FIR-BLRR-2021-00002,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,false,true,principal
ACC-FIR-KLP-2021-00018-000,FIR-KLP-2021-00018,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-BLRR-2021-00003-000,FIR-BLRR-2021-00003,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,false,principal
ACC-FIR-KLP-2021-00019-000,FIR-KLP-2021-00019,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLRR-2021-00004-000,FIR-BLRR-2021-00004,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,true,principal
ACC-FIR-KLP-2021-00020-000,FIR-KLP-2021-00020,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLRR-2021-00005-000,FIR-BLRR-2021-00005,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,false,principal
ACC-FIR-KLP-2021-00021-000,FIR-KLP-2021-00021,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-BLRR-2021-00006-000,FIR-BLRR-2021-00006,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,false,false,principal
ACC-FIR-UDR-2021-00003-000,FIR-UDR-2021-00003,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLR-2021-00020-000,FIR-BLR-2021-00020,,Kiran Kamath,ಅಜ್ಞಾತ,,M,,false,false,principal
ACC-FIR-BLR-2021-00021-000,FIR-BLR-2021-00021,CRM-0000214,Gaurav Aras,ಸಂದೀಪ್ ಸ್ವಾಮಿ,39,M,,false,false,principal
ACC-FIR-BLR2-2021-00007-000,FIR-BLR2-2021-00007,CRM-0000027,Naveen Adiga,ದೀಪಕ್ ರೆಡ್ಡಿ,55,M,,true,false,principal
ACC-FIR-KLP-2021-00022-000,FIR-KLP-2021-00022,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,true,principal
ACC-FIR-BLRR-2021-00007-000,FIR-BLRR-2021-00007,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,false,true,principal
ACC-FIR-UDR-2021-00004-000,FIR-UDR-2021-00004,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,true,principal
ACC-FIR-KLP-2021-00023-000,FIR-KLP-2021-00023,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-BLRR-2021-00008-000,FIR-BLRR-2021-00008,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,false,false,principal
ACC-FIR-UDR-2021-00005-000,FIR-UDR-2021-00005,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLRR-2021-00009-000,FIR-BLRR-2021-00009,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,false,true,principal
ACC-FIR-UDR-2021-00006-000,FIR-UDR-2021-00006,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLR-2021-00022-000,FIR-BLR-2021-00022,CRM-0000006,Sangeetha Murthy,ಲಕ್ಷ್ಮಿ ವೊಕ್ಕಲಿಗ,51,F,,true,false,principal
ACC-FIR-BLRR-2021-00010-000,FIR-BLRR-2021-00010,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,false,principal
ACC-FIR-UDR-2021-00007-000,FIR-UDR-2021-00007,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLR-2021-00023-000,FIR-BLR-2021-00023,CRM-0000006,Sangeetha Murthy,ಲಕ್ಷ್ಮಿ ವೊಕ್ಕಲಿಗ,51,F,,false,true,principal
ACC-FIR-BLRR-2021-00011-000,FIR-BLRR-2021-00011,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,false,principal
ACC-FIR-UDR-2021-00008-000,FIR-UDR-2021-00008,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLR-2021-00024-000,FIR-BLR-2021-00024,CRM-0000006,Sangeetha Murthy,ಲಕ್ಷ್ಮಿ ವೊಕ್ಕಲಿಗ,51,F,,false,true,principal
ACC-FIR-BLRR-2021-00012-000,FIR-BLRR-2021-00012,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,false,false,principal
ACC-FIR-UDR-2021-00009-000,FIR-UDR-2021-00009,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLRR-2021-00013-000,FIR-BLRR-2021-00013,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,false,principal
ACC-FIR-UDR-2021-00010-000,FIR-UDR-2021-00010,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-BLRR-2021-00014-000,FIR-BLRR-2021-00014,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,false,principal
ACC-FIR-UDR-2021-00011-000,FIR-UDR-2021-00011,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,false,principal
ACC-FIR-BLRR-2021-00015-000,FIR-BLRR-2021-00015,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,false,principal
ACC-FIR-BLR-2021-00025-000,FIR-BLR-2021-00025,CRM-0000006,Sangeetha Murthy,ಲಕ್ಷ್ಮಿ ವೊಕ್ಕಲಿಗ,51,F,,true,false,principal
ACC-FIR-BLRR-2021-00016-000,FIR-BLRR-2021-00016,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,true,principal
ACC-FIR-UDR-2021-00012-000,FIR-UDR-2021-00012,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLR-2021-00026-000,FIR-BLR-2021-00026,CRM-0000006,Sangeetha Murthy,ಲಕ್ಷ್ಮಿ ವೊಕ್ಕಲಿಗ,51,F,,false,false,principal
ACC-FIR-BLRR-2021-00017-000,FIR-BLRR-2021-00017,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,false,principal
ACC-FIR-BLR-2021-00027-000,FIR-BLR-2021-00027,CRM-0000006,Sangeetha Murthy,ಲಕ್ಷ್ಮಿ ವೊಕ್ಕಲಿಗ,51,F,,true,false,principal
ACC-FIR-BLRR-2021-00018-000,FIR-BLRR-2021-00018,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,true,principal
ACC-FIR-BLR-2021-00028-000,FIR-BLR-2021-00028,CRM-0000006,Sangeetha Murthy,ಲಕ್ಷ್ಮಿ ವೊಕ್ಕಲಿಗ,51,F,,false,false,principal
ACC-FIR-BLRR-2021-00019-000,FIR-BLRR-2021-00019,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,false,principal
ACC-FIR-UDR-2021-00013-000,FIR-UDR-2021-00013,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,false,true,principal
ACC-FIR-BLR-2021-00029-000,FIR-BLR-2021-00029,CRM-0000006,Sangeetha Murthy,ಲಕ್ಷ್ಮಿ ವೊಕ್ಕಲಿಗ,51,F,,true,false,principal
ACC-FIR-BLRR-2021-00020-000,FIR-BLRR-2021-00020,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,false,principal
