victim_id,fir_id,name_en,gender,age,phone,address,injury_type,property_lost,loss_amount_inr,citizen_id
VIC-FIR-RBG-2021-00002-001,FIR-RBG-2021-00002,Vidya Shetty,F,75,9858669169,"No. 57, Cross, Karnataka",none,gold_jewellery,299.81,
VIC-FIR-RBG-2021-00002-002,FIR-RBG-2021-00002,Arjun Prabhu,M,62,9904022843,"No. 146, Main Road, Karnataka",none,gold_jewellery,149.905,
VIC-FIR-BLR-2021-00001-000,FIR-BLR-2021-00001,Ganesh Sharma,M,25,8021028202,"No. 67, Main Road, Karnataka",none,vehicle,3625432.38,
VIC-FIR-BLG-2021-00001-000,FIR-BLG-2021-00001,Jyothi Naik,F,58,9642912098,"No. 168, Cross, Karnataka",none,mobile,40.18,
VIC-FIR-BLG-2021-00001-001,FIR-BLG-2021-00001,Jyothi Reddy,F,27,9297896676,"No. 95, Layout, Karnataka",none,gold_jewellery,40.18,
VIC-FIR-BLR-2021-00002-000,FIR-BLR-2021-00002,Srikanth Swamy,M,58,7069927050,"No. 74, Layout, Karnataka",none,cash,92230.99,
VIC-FIR-BLR-2021-00002-001,FIR-BLR-2021-00002,Swathi Prabhu,F,73,8407480563,"No. 91, Main Road, Karnataka",none,vehicle,92230.99,
VIC-FIR-BLR-2021-00002-002,FIR-BLR-2021-00002,Rajesh Kamath,M,41,8968030497,"No. 161, Cross, Karnataka",none,mobile,46115.495,
VIC-FIR-HBL-2021-00002-000,FIR-HBL-2021-00002,Basavaraj Sharma,M,47,7868030754,"No. 80, Cross, Karnataka",none,vehicle,6152.73,
VIC-FIR-KLP-2021-00002-000,FIR-KLP-2021-00002,Manjunath Prabhu,M,43,8203478733,"No. 197, Main Road, Karnataka",none,none,36571.72,
VIC-FIR-MGL-2021-00001-000,FIR-MGL-2021-00001,Rajesh Lingayat,M,28,6014210224,"No. 70, Layout, Karnataka",minor,gold_jewellery,0.0,
VIC-FIR-CHB-2021-00001-000,FIR-CHB-2021-00001,Kavitha Naik,F,34,6655059876,"No. 10, Cross, Karnataka",none,gold_jewellery,76164.31,
VIC-FIR-CHB-2021-00001-001,FIR-CHB-2021-00001,Shantha Shetty,F,66,8260559377,"No. 112, Layout, Karnataka",none,gold_jewellery,76164.31,
VIC-FIR-CHB-2021-00001-002,FIR-CHB-2021-00001,Meera Reddy,F,27,6561604236,"No. 81, Main Road, Karnataka",none,vehicle,38082.155,
VIC-FIR-BLR2-2021-00002-000,FIR-BLR2-2021-00002,Nirmala Raju,F,28,7376404514,"No. 92, Main Road, Karnataka",minor,vehicle,4025.51,
VIC-FIR-UDR-2021-00001-000,FIR-UDR-2021-00001,Satish Gowda,M,48,7656256768,"No. 159, Cross, Karnataka",none,cash,25590.22,
VIC-FIR-UDR-2021-00001-001,FIR-UDR-2021-00001,Madhu Reddy,F,60,9175373345,"No. 36, Layout, Karnataka",none,gold_jewellery,25590.22,
VIC-FIR-UDR-2021-00001-002,FIR-UDR-2021-00001,Kavitha Joshi,F,21,9711783564,"No. 80, Cross, Karnataka",none,vehicle,12795.11,
VIC-FIR-BLR-2021-00003-000,FIR-BLR-2021-00003,Arjun Ayyar,M,72,6766352309,"No. 7, Cross, Karnataka",none,gold_jewellery,7379.71,
VIC-FIR-BLR2-2021-00003-000,FIR-BLR2-2021-00003,Rajesh Raju,M,48,7609957826,"No. 53, Layout, Karnataka",none,vehicle,4942.73,
VIC-FIR-BLR-2021-00004-000,FIR-BLR-2021-00004,Saritha Ayyar,F,64,6548761629,"No. 51, Cross, Karnataka",none,cash,66801.61,
VIC-FIR-BLR-2021-00004-001,FIR-BLR-2021-00004,Harsh Udupi,M,45,6343825320,"No. 4, Main Road, Karnataka",none,vehicle,66801.61,
VIC-FIR-BLR-2021-00004-002,FIR-BLR-2021-00004,Arjun Aras,M,23,6819130463,"No. 39, Cross, Karnataka",none,none,33400.805,
VIC-FIR-DVG-2021-00001-000,FIR-DVG-2021-00001,Arjun Gowda,M,42,9998981161,"No. 5, Cross, Karnataka",none,none,159784.04,
VIC-FIR-DVG-2021-00001-001,FIR-DVG-2021-00001,Lakshmi Prabhu,F,21,7871111496,"No. 48, Layout, Karnataka",none,cash,159784.04,
VIC-FIR-BLR-2021-00005-000,FIR-BLR-2021-00005,Mohan Krishnamurthy,M,37,8762782714,"No. 151, Layout, Karnataka",none,mobile,3469599.54,
VIC-FIR-BLR-2021-00005-001,FIR-BLR-2021-00005,Geetha Naik,F,46,7268548121,"No. 65, Main Road, Karnataka",none,cash,3469599.54,
VIC-FIR-CHB-2021-00002-000,FIR-CHB-2021-00002,Pooja Joshi,F,48,7468914879,"No. 35, Main Road, Karnataka",minor,cash,156494.9,
VIC-FIR-CHB-2021-00002-001,FIR-CHB-2021-00002,Harsh Reddy,M,60,7356091124,"No. 105, Cross, Karnataka",grievous,vehicle,156494.9,
VIC-FIR-CHB-2021-00002-002,FIR-CHB-2021-00002,Amala Kamath,F,72,8203525201,"No. 56, Main Road, Karnataka",minor,vehicle,78247.45,
VIC-FIR-CHB-2021-00002-003,FIR-CHB-2021-00002,Ganesh Aras,M,50,9182729979,"No. 95, Layout, Karnataka",grievous,gold_jewellery,52164.96666666667,
VIC-FIR-CHB-2021-00002-004,FIR-CHB-2021-00002,Basavaraj Hegde,M,60,9969679262,"No. 41, Cross, Karnataka",grievous,gold_jewellery,39123.725,
VIC-FIR-KLP-2021-00003-000,FIR-KLP-2021-00003,Bharathi Singh,F,37,7589091644,"No. 64, Main Road, Karnataka",none,mobile,4471.29,
VIC-FIR-KLP-2021-00003-001,FIR-KLP-2021-00003,Shruthi Kumar,F,38,8268310609,"No. 51, Main Road, Karnataka",none,vehicle,4471.29,
VIC-FIR-BLR-2021-00006-000,FIR-BLR-2021-00006,Akash Swamy,M,50,6996179367,"No. 200, Cross, Karnataka",none,none,6709.05,
VIC-FIR-BLR-2021-00006-001,FIR-BLR-2021-00006,Raghavendra Aras,M,33,7821962036,"No. 196, Cross, Karnataka",none,gold_jewellery,6709.05,
VIC-FIR-BLR-2021-00006-002,FIR-BLR-2021-00006,Sangeetha Nambiar,F,21,7165108456,"No. 142, Cross, Karnataka",none,cash,3354.525,
VIC-FIR-RBG-2021-00003-000,FIR-RBG-2021-00003,Akash Reddy,M,53,9308819720,"No. 54, Cross, Karnataka",none,mobile,13441.49,
VIC-FIR-RBG-2021-00003-001,FIR-RBG-2021-00003,Radha Desai,F,30,6659693053,"No. 82, Cross, Karnataka",none,vehicle,13441.49,
VIC-FIR-DVG-2021-00002-000,FIR-DVG-2021-00002,Prakash Lingayat,M,65,9382150263,"No. 150, Cross, Karnataka",none,mobile,282267.07,
VIC-FIR-DVG-2021-00002-001,FIR-DVG-2021-00002,Satish Sharma,M,58,6798587926,"No. 161, Main Road, Karnataka",none,none,282267.07,
VIC-FIR-BLG-2021-00002-000,FIR-BLG-2021-00002,Anita Swamy,F,40,9974693656,"No. 87, Layout, Karnataka",none,cash,19007938.15,
VIC-FIR-BLG-2021-00002-001,FIR-BLG-2021-00002,Madhu Kamath,F,73,9368543243,"No. 79, Layout, Karnataka",none,mobile,19007938.15,
VIC-FIR-BLG-2021-00002-002,FIR-BLG-2021-00002,Naveen Patil,M,64,9213317305,"No. 148, Cross, Karnataka",none,vehicle,9503969.075,
VIC-FIR-MGL-2021-00002-000,FIR-MGL-2021-00002,Prashanth Singh,M,38,8165101607,"No. 80, Layout, Karnataka",none,gold_jewellery,8185.69,
VIC-FIR-MGL-2021-00003-000,FIR-MGL-2021-00003,Prakash Singh,M,49,7841488634,"No. 152, Cross, Karnataka",none,gold_jewellery,45297.1,
VIC-FIR-HBL-2021-00003-000,FIR-HBL-2021-00003,Vikram Gowda,M,27,6619456642,"No. 26, Main Road, Karnataka",none,none,88371.18,
VIC-FIR-BLR-2021-00007-000,FIR-BLR-2021-00007,Seeta Ayyar,F,23,9911087077,"No. 195, Main Road, Karnataka",none,mobile,30409.59,
VIC-FIR-BLR-2021-00007-001,FIR-BLR-2021-00007,Rohit Shastri,M,53,9346488379,"No. 105, Main Road, Karnataka",none,cash,30409.59,
VIC-FIR-BLR-2021-00007-002,FIR-BLR-2021-00007,Deepa Gowda,F,47,9234669051,"No. 61, Cross, Karnataka",none,gold_jewellery,15204.795,
VIC-FIR-RBG-2021-00004-000,FIR-RBG-2021-00004,Rohit Udupi,M,43,9141349086,"No. 11, Main Road, Karnataka",none,vehicle,180298.42,
VIC-FIR-RBG-2021-00004-001,FIR-RBG-2021-00004,Sangeetha Raju,F,29,9000400432,"No. 16, Cross, Karnataka",none,cash,180298.42,
VIC-FIR-HBL-2021-00004-000,FIR-HBL-2021-00004,Nitya Kamath,F,29,7497839639,"No. 15, Layout, Karnataka",none,cash,3289021.66,
VIC-FIR-HBL-2021-00004-001,FIR-HBL-2021-00004,Shantha Kamath,F,61,8209736753,"No. 63, Layout, Karnataka",none,gold_jewellery,3289021.66,
VIC-FIR-HBL-2021-00004-002,FIR-HBL-2021-00004,Prashanth Adiga,M,30,7323890162,"No. 113, Layout, Karnataka",none,vehicle,1644510.83,
VIC-FIR-BLG-2021-00003-000,FIR-BLG-2021-00003,Vinay Reddy,M,50,9197158197,"No. 88, Cross, Karnataka",none,vehicle,79777.84,
VIC-FIR-BLG-2021-00003-001,FIR-BLG-2021-00003,Tejas Raju,M,52,9932603457,"No. 71, Cross, Karnataka",none,none,79777.84,
VIC-FIR-DVG-2021-00003-000,FIR-DVG-2021-00003,Amala Hegde,F,64,8081306484,"No. 143, Layout, Karnataka",none,cash,204514.6,
VIC-FIR-RBG-2021-00005-000,FIR-RBG-2021-00005,Basavaraj Sharma,M,73,6514872820,"No. 172, Layout, Karnataka",none,mobile,448856.33,
VIC-FIR-RBG-2021-00005-001,FIR-RBG-2021-00005,Bharathi Verma,F,40,8856871296,"No. 140, Main Road, Karnataka",none,gold_jewellery,448856.33,
VIC-FIR-BLR-2021-00008-000,FIR-BLR-2021-00008,Sandeep Lingayat,M,73,6222999219,"No. 161, Layout, Karnataka",none,vehicle,46059.17,
VIC-FIR-DVG-2021-00004-000,FIR-DVG-2021-00004,Nagaraj Singh,M,42,6331246586,"No. 73, Cross, Karnataka",none,none,142785.51,
VIC-FIR-RBG-2021-00006-000,FIR-RBG-2021-00006,Ramesh Ayyar,M,20,6845988705,"No. 33, Layout, Karnataka",none,cash,212129.12,
VIC-FIR-RBG-2021-00006-001,FIR-RBG-2021-00006,Umesh Patil,M,49,8228450708,"No. 102, Main Road, Karnataka",none,gold_jewellery,212129.12,
VIC-FIR-RBG-2021-00006-002,FIR-RBG-2021-00006,Shivakumar Thakur,M,66,6147956521,"No. 50, Cross, Karnataka",none,vehicle,106064.56,
VIC-FIR-BLR2-2021-00004-000,FIR-BLR2-2021-00004,Rekha Aras,F,65,9518838914,"No. 95, Cross, Karnataka",none,none,401501.2,
VIC-FIR-BLR2-2021-00004-001,FIR-BLR2-2021-00004,Nitya Shastri,F,49,8511110257,"No. 32, Cross, Karnataka",none,none,401501.2,
VIC-FIR-BLR2-2021-00004-002,FIR-BLR2-2021-00004,Umesh Naik,M,49,8872731680,"No. 38, Cross, Karnataka",none,mobile,200750.6,
VIC-FIR-RBG-2021-00007-000,FIR-RBG-2021-00007,Anil Raju,M,36,6085316310,"No. 178, Cross, Karnataka",none,none,16284.51,
VIC-FIR-RBG-2021-00007-001,FIR-RBG-2021-00007,Suresh Verma,M,35,7343475579,"No. 73, Cross, Karnataka",none,cash,16284.51,
VIC-FIR-RBG-2021-00007-002,FIR-RBG-2021-00007,Shivakumar Ayyar,M,37,6764655837,"No. 51, Main Road, Karnataka",none,mobile,8142.255,
VIC-FIR-BLR2-2021-00005-000,FIR-BLR2-2021-00005,Kavitha Swamy,F,30,8454681614,"No. 96, Main Road, Karnataka",none,mobile,3620.55,
VIC-FIR-BLR2-2021-00005-001,FIR-BLR2-2021-00005,Pooja Kamath,F,44,6616678528,"No. 51, Main Road, Karnataka",none,vehicle,3620.55,
VIC-FIR-BLR-2021-00009-000,FIR-BLR-2021-00009,Sujatha Sharma,F,50,7927974667,"No. 6, Layout, Karnataka",none,none,60063.97,
VIC-FIR-BLR-2021-00009-001,FIR-BLR-2021-00009,Suresh Aras,M,56,9333537416,"No. 75, Layout, Karnataka",none,mobile,60063.97,
VIC-FIR-BLR-2021-00009-002,FIR-BLR-2021-00009,Sujatha Adiga,F,41,7071366027,"No. 177, Main Road, Karnataka",none,gold_jewellery,30031.985,
VIC-FIR-BLR-2021-00009-003,FIR-BLR-2021-00009,Suma Nambiar,F,33,8814112857,"No. 125, Main Road, Karnataka",none,vehicle,20021.323333333334,
VIC-FIR-DVG-2021-00005-000,FIR-DVG-2021-00005,Anita Murthy,F,52,9382312552,"No. 99, Main Road, Karnataka",none,vehicle,140958.66,
VIC-FIR-RBG-2021-00008-000,FIR-RBG-2021-00008,Radha Joshi,F,69,8015741090,"No. 10, Main Road, Karnataka",none,none,423080.78,
VIC-FIR-RBG-2021-00008-001,FIR-RBG-2021-00008,Prakash Kumar,M,45,8378596809,"No. 16, Layout, Karnataka",none,gold_jewellery,423080.78,
VIC-FIR-RBG-2021-00008-002,FIR-RBG-2021-00008,Vidya Nayak,F,64,9869079629,"No. 92, Cross, Karnataka",none,gold_jewellery,211540.39,
VIC-FIR-RBG-2021-00009-000,FIR-RBG-2021-00009,Meera Prabhu,F,70,7893567677,"No. 198, Cross, Karnataka",none,none,40.5,
VIC-FIR-RBG-2021-00009-001,FIR-RBG-2021-00009,Satish Patil,M,22,7935063263,"No. 81, Main Road, Karnataka",none,gold_jewellery,40.5,
VIC-FIR-RBG-2021-00010-000,FIR-RBG-2021-00010,Madhu Patil,F,51,9019616305,"No. 57, Layout, Karnataka",none,gold_jewellery,74034.92,
VIC-FIR-RBG-2021-00010-001,FIR-RBG-2021-00010,Seeta Raju,F,67,9291534034,"No. 23, Main Road, Karnataka",none,mobile,74034.92,
VIC-FIR-RBG-2021-00010-002,FIR-RBG-2021-00010,Nitya Reddy,F,22,6186404096,"No. 81, Layout, Karnataka",none,none,37017.46,
VIC-FIR-BLG-2021-00004-000,FIR-BLG-2021-00004,Anil Ayyar,M,45,8588609255,"No. 16, Main Road, Karnataka",minor,none,4510.12,
VIC-FIR-BLG-2021-00004-001,FIR-BLG-2021-00004,Nitya Shetty,F,55,9881263364,"No. 184, Layout, Karnataka",minor,gold_jewellery,4510.12,
VIC-FIR-RBG-2021-00011-000,FIR-RBG-2021-00011,Ramesh Adiga,M,75,7577275416,"No. 154, Main Road, Karnataka",none,gold_jewellery,1605.9,
VIC-FIR-RBG-2021-00011-001,FIR-RBG-2021-00011,Yogesh Bhat,M,73,6782011613,"No. 176, Main Road, Karnataka",none,cash,1605.9,
VIC-FIR-RBG-2021-00011-002,FIR-RBG-2021-00011,Sangeetha Reddy,F,63,8507101723,"No. 99, Layout, Karnataka",none,vehicle,802.95,
VIC-FIR-RBG-2021-00012-000,FIR-RBG-2021-00012,Madhu Tantri,F,32,9638716308,"No. 54, Layout, Karnataka",none,vehicle,393097.88,
VIC-FIR-RBG-2021-00012-001,FIR-RBG-2021-00012,Arjun Murthy,M,58,7662002207,"No. 63, Layout, Karnataka",none,gold_jewellery,393097.88,
VIC-FIR-RBG-2021-00012-002,FIR-RBG-2021-00012,Deepak Bhat,M,38,6908894603,"No. 95, Layout, Karnataka",none,none,196548.94,
VIC-FIR-BLR-2021-00010-000,FIR-BLR-2021-00010,Meera Tantri,F,58,8233492586,"No. 186, Layout, Karnataka",none,mobile,431872.11,
VIC-FIR-BLR-2021-00011-000,FIR-BLR-2021-00011,Vidya Sharma,F,18,6414266851,"No. 90, Cross, Karnataka",none,vehicle,236499.52,
VIC-FIR-MGL-2021-00004-000,FIR-MGL-2021-00004,Sangeetha Vokkaliga,F,29,9903587703,"No. 10, Cross, Karnataka",none,mobile,26943.76,
VIC-FIR-BLR-2021-00012-000,FIR-BLR-2021-00012,Madhu Nambiar,F,47,7035072557,"No. 58, Cross, Karnataka",minor,vehicle,0.0,
VIC-FIR-BLR-2021-00012-001,FIR-BLR-2021-00012,Ajay Prabhu,M,60,7652623179,"No. 157, Main Road, Karnataka",grievous,vehicle,0.0,
VIC-FIR-KLP-2021-00004-000,FIR-KLP-2021-00004,Prashanth Naik,M,29,7739478801,"No. 56, Cross, Karnataka",none,vehicle,80715.31,
VIC-FIR-KLP-2021-00004-001,FIR-KLP-2021-00004,Abhishek Ayyar,M,46,9743815865,"No. 168, Layout, Karnataka",none,vehicle,80715.31,
VIC-FIR-KLP-2021-00004-002,FIR-KLP-2021-00004,Rajesh Nayak,M,63,9440309292,"No. 165, Cross, Karnataka",none,vehicle,40357.655,
VIC-FIR-RBG-2021-00013-000,FIR-RBG-2021-00013,Tejas Prabhu,M,56,9012025639,"No. 21, Main Road, Karnataka",none,gold_jewellery,311732.02,
VIC-FIR-RBG-2021-00013-001,FIR-RBG-2021-00013,Sangeetha Hegde,F,28,6427778900,"No. 159, Main Road, Karnataka",none,none,311732.02,
VIC-FIR-RBG-2021-00013-002,FIR-RBG-2021-00013,Raghavendra Desai,M,63,9775720232,"No. 146, Main Road, Karnataka",none,cash,155866.01,
VIC-FIR-BLR-2021-00013-000,FIR-BLR-2021-00013,Kavitha Ayyar,F,67,8774272967,"No. 126, Cross, Karnataka",none,cash,58876.57,
VIC-FIR-BLR-2021-00013-001,FIR-BLR-2021-00013,Prakash Tantri,M,33,9763360423,"No. 35, Main Road, Karnataka",none,vehicle,58876.57,
VIC-FIR-BLR-2021-00013-002,FIR-BLR-2021-00013,Prakash Patil,M,51,8304995964,"No. 82, Cross, Karnataka",none,gold_jewellery,29438.285,
VIC-FIR-BLR-2021-00014-000,FIR-BLR-2021-00014,Naveen Hegde,M,53,7449678849,"No. 155, Main Road, Karnataka",none,vehicle,50744.19,
VIC-FIR-RBG-2021-00014-000,FIR-RBG-2021-00014,Gaurav Tantri,M,46,7734774976,"No. 155, Cross, Karnataka",none,none,12031.48,
VIC-FIR-RBG-2021-00014-001,FIR-RBG-2021-00014,Shivakumar Tantri,M,19,7954976833,"No. 158, Layout, Karnataka",none,vehicle,12031.48,
VIC-FIR-RBG-2021-00014-002,FIR-RBG-2021-00014,Nitya Vokkaliga,F,44,6623526202,"No. 56, Layout, Karnataka",none,cash,6015.74,
VIC-FIR-RBG-2021-00015-000,FIR-RBG-2021-00015,Rohit Aras,M,38,9998451758,"No. 34, Main Road, Karnataka",none,none,59702.61,
VIC-FIR-RBG-2021-00015-001,FIR-RBG-2021-00015,Prashanth Tantri,M,69,7975445421,"No. 101, Main Road, Karnataka",none,none,59702.61,
VIC-FIR-DVG-2021-00006-000,FIR-DVG-2021-00006,Suma Vokkaliga,F,61,8692014239,"No. 118, Main Road, Karnataka",fatal,vehicle,0.0,
VIC-FIR-DVG-2021-00006-001,FIR-DVG-2021-00006,Ganesh Murthy,M,74,7024013171,"No. 31, Main Road, Karnataka",grievous,mobile,0.0,
VIC-FIR-DVG-2021-00006-002,FIR-DVG-2021-00006,Nitya Naik,F,53,6975761598,"No. 61, Layout, Karnataka",fatal,vehicle,0.0,
VIC-FIR-DVG-2021-00006-003,FIR-DVG-2021-00006,Sujatha Naik,F,41,6230203842,"No. 58, Layout, Karnataka",minor,mobile,0.0,
VIC-FIR-RBG-2021-00016-000,FIR-RBG-2021-00016,Mahesh Gowda,M,38,9281657850,"No. 78, Layout, Karnataka",none,vehicle,276669.78,
VIC-FIR-RBG-2021-00016-001,FIR-RBG-2021-00016,Saritha Raju,F,22,9158009563,"No. 42, Cross, Karnataka",none,none,276669.78,
VIC-FIR-RBG-2021-00016-002,FIR-RBG-2021-00016,Saritha Rao,F,52,9338663343,"No. 93, Cross, Karnataka",none,gold_jewellery,138334.89,
VIC-FIR-BLR-2021-00015-000,FIR-BLR-2021-00015,Sneha Bhat,F,71,8644845823,"No. 190, Layout, Karnataka",none,vehicle,68767.41,
VIC-FIR-BLR-2021-00015-001,FIR-BLR-2021-00015,Kiran Raju,M,21,7706821719,"No. 22, Main Road, Karnataka",none,mobile,68767.41,
VIC-FIR-BLR-2021-00015-002,FIR-BLR-2021-00015,Gaurav Verma,M,41,7190976515,"No. 118, Cross, Karnataka",none,none,34383.705,
VIC-FIR-BLR-2021-00015-003,FIR-BLR-2021-00015,Suma Thakur,F,33,9965098448,"No. 174, Layout, Karnataka",none,none,22922.47,
VIC-FIR-UDR-2021-00002-000,FIR-UDR-2021-00002,Shivakumar Verma,M,69,9568683580,"No. 87, Main Road, Karnataka",minor,vehicle,9807.97,
VIC-FIR-RBG-2021-00017-000,FIR-RBG-2021-00017,Saritha Prabhu,F,66,9620602406,"No. 3, Main Road, Karnataka",none,cash,57037.33,
VIC-FIR-BLR2-2021-00006-000,FIR-BLR2-2021-00006,Ajay Prabhu,M,23,9030992314,"No. 78, Layout, Karnataka",none,gold_jewellery,69660.46,
VIC-FIR-BLR2-2021-00006-001,FIR-BLR2-2021-00006,Akash Raju,M,75,9176290354,"No. 49, Cross, Karnataka",none,mobile,69660.46,
VIC-FIR-BLR2-2021-00006-002,FIR-BLR2-2021-00006,Manjunath Joshi,M,39,9764871025,"No. 7, Layout, Karnataka",none,vehicle,34830.23,
VIC-FIR-BLR-2021-00016-000,FIR-BLR-2021-00016,Vidya Verma,F,54,8513964935,"No. 55, Layout, Karnataka",none,cash,1261013.4,
VIC-FIR-RBG-2021-00018-000,FIR-RBG-2021-00018,Vidya Sharma,F,56,9694787441,"No. 145, Main Road, Karnataka",none,gold_jewellery,461134.13,
VIC-FIR-RBG-2021-00018-001,FIR-RBG-2021-00018,Swathi Udupi,F,48,7303914891,"No. 166, Cross, Karnataka",none,vehicle,461134.13,
VIC-FIR-RBG-2021-00018-002,FIR-RBG-2021-00018,Abhishek Gowda,M,21,6740310797,"No. 111, Cross, Karnataka",none,none,230567.065,
VIC-FIR-KLP-2021-00005-000,FIR-KLP-2021-00005,Sneha Kumar,F,44,9623217398,"No. 106, Main Road, Karnataka",none,vehicle,598892.36,
VIC-FIR-KLP-2021-00005-001,FIR-KLP-2021-00005,Tejas Desai,M,34,6594646402,"No. 66, Layout, Karnataka",none,gold_jewellery,598892.36,
VIC-FIR-KLP-2021-00005-002,FIR-KLP-2021-00005,Prakash Adiga,M,53,9025239530,"No. 193, Main Road, Karnataka",none,mobile,299446.18,
VIC-FIR-VKT-2021-00001-000,FIR-VKT-2021-00001,Umesh Reddy,M,63,8755757939,"No. 138, Layout, Karnataka",none,gold_jewellery,42889.27,
VIC-FIR-RBG-2021-00019-000,FIR-RBG-2021-00019,Suresh Reddy,M,31,6197263064,"No. 76, Layout, Karnataka",none,gold_jewellery,318498.68,
VIC-FIR-RBG-2021-00019-001,FIR-RBG-2021-00019,Sneha Hegde,F,29,7056173934,"No. 96, Cross, Karnataka",none,vehicle,318498.68,
VIC-FIR-RBG-2021-00019-002,FIR-RBG-2021-00019,Vikram Shastri,M,46,7570127481,"No. 170, Main Road, Karnataka",none,gold_jewellery,159249.34,
VIC-FIR-KLP-2021-00006-000,FIR-KLP-2021-00006,Ramesh Ayyar,M,47,7274178223,"No. 8, Layout, Karnataka",none,none,228866.51,
VIC-FIR-KLP-2021-00006-001,FIR-KLP-2021-00006,Sneha Lingayat,F,41,8112354692,"No. 30, Layout, Karnataka",none,mobile,228866.51,
VIC-FIR-MYS-2021-00001-000,FIR-MYS-2021-00001,Deepak Vokkaliga,M,61,6539710995,"No. 197, Main Road, Karnataka",none,none,160.23,
VIC-FIR-MYS-2021-00001-001,FIR-MYS-2021-00001,Nirmala Joshi,F,73,6600651731,"No. 16, Layout, Karnataka",none,mobile,160.23,
VIC-FIR-RBG-2021-00020-000,FIR-RBG-2021-00020,Geetha Naik,F,34,7823617646,"No. 117, Main Road, Karnataka",none,vehicle,205571.24,
VIC-FIR-RBG-2021-00020-001,FIR-RBG-2021-00020,Ajay Sharma,M,48,7708084364,"No. 134, Layout, Karnataka",none,mobile,205571.24,
VIC-FIR-KLP-2021-00007-000,FIR-KLP-2021-00007,Raghavendra Patil,M,26,8499724357,"No. 191, Cross, Karnataka",none,vehicle,356822.49,
VIC-FIR-BLR-2021-00017-000,FIR-BLR-2021-00017,Sangeetha Sharma,F,22,7607622480,"No. 13, Layout, Karnataka",none,gold_jewellery,54660.17,
VIC-FIR-BLR-2021-00017-001,FIR-BLR-2021-00017,Shantha Gowda,F,62,8510545226,"No. 37, Cross, Karnataka",none,vehicle,54660.17,
VIC-FIR-BLR-2021-00017-002,FIR-BLR-2021-00017,Arjun Nambiar,M,21,8369876829,"No. 161, Layout, Karnataka",none,none,27330.085,
VIC-FIR-RBG-2021-00021-000,FIR-RBG-2021-00021,Priya Sharma,F,61,6232788927,"No. 1, Main Road, Karnataka",none,mobile,399811.01,
VIC-FIR-RBG-2021-00021-001,FIR-RBG-2021-00021,Geetha Hegde,F,27,8762760507,"No. 88, Main Road, Karnataka",none,gold_jewellery,399811.01,
VIC-FIR-RBG-2021-00021-002,FIR-RBG-2021-00021,Umesh Joshi,M,55,7353025385,"No. 37, Cross, Karnataka",none,gold_jewellery,199905.505,
VIC-FIR-KLP-2021-00008-000,FIR-KLP-2021-00008,Yogesh Aras,M,26,9442389037,"No. 185, Layout, Karnataka",none,cash,226446.17,
VIC-FIR-BSD-2021-00001-000,FIR-BSD-2021-00001,Kiran Nayak,M,22,7005657390,"No. 18, Layout, Karnataka",none,cash,1331899.26,
VIC-FIR-RBG-2021-00022-000,FIR-RBG-2021-00022,Sujatha Kumar,F,67,9197828655,"No. 114, Cross, Karnataka",none,cash,461399.9,
VIC-FIR-RBG-2021-00022-001,FIR-RBG-2021-00022,Satish Vokkaliga,M,30,8162497010,"No. 172, Layout, Karnataka",none,none,461399.9,
