citizen_id,name_en,name_kn,first_name_en,last_name_en,gender,dob,age,aadhaar,dl_number,phone_primary,phone_secondary,occupation,socioeconomic_class,religion,caste,education,district_id,district_name,taluk,station_id,home_lat,home_lng,home_address,bank_account,upi_id,is_migrant
CIT-00000010,Nirmala Ayyar,ಸುಜಾತಾ ವೊಕ್ಕಲಿಗ,Nirmala,Ayyar,F,1965-09-06,60,853000227509,KA1720237194486,7668668080,,Private Employee,middle,Other,Nayaka,PUC,KA-BLR,Bengaluru Urban,Bengaluru North,STN-KA-BLR-0009,12.956429,77.621607,"No. 111, Layout, Bengaluru North, Bengaluru Urban - 578919",604709280337,,false
CIT-00000011,Radha Tantri,ಸ್ವಾತಿ ಉಡುಪ,Radha,Tantri,F,1982-02-22,44,395981618098,KA0120203916908,7933698324,,Doctor,lower,Other,OBC,Professional,KA-KLP,Kalaburagi,Chittapur,STN-KA-KLP-0011,17.118197,76.987456,"No. 248, 1st Stage, Chittapur, Kalaburagi - 576973",98804093362,radhatan@okhdfcbank,false
CIT-00000012,Seeta Adiga,ಸ್ನೇಹಾ ಶಾಸ್ತ್ರಿ,Seeta,Adiga,F,1990-03-09,36,805752966471,KA1920118134214,7297451165,6608624951,Auto Driver,middle,Jain,Brahmin,Graduate,KA-BLR,Bengaluru Urban,Yelahanka,STN-KA-BLR-0039,12.992224,77.733355,"No. 222, Colony, Yelahanka, Bengaluru Urban - 593330",1813207239191846,seetaadi@okaxis,false
CIT-00000013,Jyothi Gowda,ಅಮಲಾ ಕಾಮತ್,Jyothi,Gowda,F,1977-07-15,49,343704342491,,6223644995,,Engineer,BPL,Sikh,Others,Illiterate,KA-MYS,Mysuru,Krishnarajanagar,STN-KA-MYS-0026,12.119122,76.776105,"No. 415, Nagar, Krishnarajanagar, Mysuru - 591429",26317774422212,,false
CIT-00000014,Umesh Hegde,ದೀಪಕ್ ಅರಸ್,Umesh,Hegde,M,1982-03-29,44,653513563431,KA1720081409292,8838508332,,Government Employee,upper,Sikh,OBC,Illiterate,KA-RBG,Dharwad,Dharwad,STN-KA-RBG-0001,15.534765,75.180015,"No. 249, Layout, Dharwad, Dharwad - 595685",7191633547154338,,false
CIT-00000015,Kavitha Lingayat,ಅಮಲಾ ರಾವ್,Kavitha,Lingayat,F,1962-02-09,64,736513386136,,8571869198,6625499314,Student,middle,Hindu,Brahmin,Graduate,KA-MGL,Dakshina Kannada,Puttur,STN-KA-MGL-0016,12.758741,75.297435,"No. 196, Layout, Puttur, Dakshina Kannada - 565126",46161605433707,,false
CIT-00000016,Nagaraj Nayak,ಸಂದೀಪ್ ಲಿಂಗಾಯತ್,Nagaraj,Nayak,M,1958-03-09,68,847401925531,KA4120196260020,9296720418,9293191678,Contractor,upper_middle,Sikh,SC,Diploma,KA-RBG,Dharwad,Hubballi,STN-KA-RBG-0013,15.392343,75.031902,"No. 245, 1st Stage, Hubballi, Dharwad - 578438",55046161438403,,false
CIT-00000017,Pooja Patil,ರಾಧಾ ಕಾಮತ್,Pooja,Patil,F,1979-11-29,46,878343585991,KA4220113492573,7855288231,,Mechanic,upper_middle,Jain,Others,High School,KA-BLR,Bengaluru Urban,Bengaluru South,STN-KA-BLR-0018,12.866635,77.566489,"No. 397, Layout, Bengaluru South, Bengaluru Urban - 586823",,,false
CIT-00000018,Anil Verma,ಗೌರವ್ ಹೆಗಡೆ,Anil,Verma,M,1973-10-13,52,269895829486,KA3620137195859,9165359553,,Auto Driver,lower_middle,Christian,Vokkaliga,Illiterate,KA-BLR,Bengaluru Urban,Bengaluru West,STN-KA-BLR-0031,13.225279,77.580461,"No. 460, Colony, Bengaluru West, Bengaluru Urban - 567779",099728554179,9165359553@gpay,false
CIT-00000019,Tejas Kamath,ರಾಘವೇಂದ್ರ ಗೌಡ,Tejas,Kamath,M,1962-03-08,64,966307799751,,8052770354,,Vendor,lower,Muslim,SC,High School,KA-KLP,Kalaburagi,Chittapur,STN-KA-KLP-0011,17.113608,77.034265,"No. 33, Layout, Chittapur, Kalaburagi - 563268",0906519407234615,,false
CIT-00000020,Deepak Shetty,ಸುರೇಶ್ ನಾಯ್ಕ್,Deepak,Shetty,M,1959-01-20,67,957456844263,,6474729905,8523783904,Homemaker,upper,Other,Brahmin,Graduate,KA-KPT,Koppal,Yelburga,STN-KA-KPT-0009,15.498622,76.302229,"No. 126, Nagar, Yelburga, Koppal - 596575",,,false
CIT-00000021,Deepak Ayyar,ಬಸವರಾಜ್ ಕುಮಾರ್,Deepak,Ayyar,M,1961-05-20,65,418216063923,KA4220192862784,9064490359,7417733430,Unemployed,lower,Other,Others,Graduate,KA-BLR,Bengaluru Urban,Bengaluru South,STN-KA-BLR-0014,13.005709,77.772074,"No. 296, Nagar, Bengaluru South, Bengaluru Urban - 591434",86781108023,,false
CIT-00000022,Ganesh Sharma,ಅರ್ಜುನ್ ಮೂರ್ತಿ,Ganesh,Sharma,M,1987-04-15,39,824023849203,,7547286399,,Security Guard,lower,Buddhist,Lingayat,PUC,KA-HBL,Hubballi-Dharwad,Kalghatagi,STN-KA-HBL-0014,15.319364,75.175554,"No. 246, Cross Street, Kalghatagi, Hubballi-Dharwad - 594156",75914509090,,false
CIT-00000023,Suresh Thakur,ರೋಹಿತ್ ಜೋಶಿ,Suresh,Thakur,M,1991-10-18,34,585855201015,KA1420243873429,8348024966,,Security Guard,upper_middle,Hindu,OBC,Graduate,KA-KLP,Kalaburagi,Afzalpur,STN-KA-KLP-0008,17.128317,77.045863,"No. 370, Nagar, Afzalpur, Kalaburagi - 589626",4448479207405187,8348024966@upi,false
CIT-00000024,Shruthi Gowda,ಸರಿತಾ ಶೆಟ್ಟಿ,Shruthi,Gowda,F,1992-10-24,33,955126370079,KA0920246730538,6372810297,,Vendor,upper,Christian,Bovi,High School,KA-CHT,Chamarajanagara,Hanur,STN-KA-CHT-0006,11.71054,77.069834,"No. 51, Cross Street, Hanur, Chamarajanagara - 574030",33022517666899,6372810297@upi,false
CIT-00000025,Akash Raju,ಅರ್ಜುನ್ ನಾಯ್ಕ್,Akash,Raju,M,2005-10-24,20,685864766955,,8909944147,8376378256,Mechanic,BPL,Jain,Kuruba,Post Graduate,KA-TKR,Tumakuru,Tumakuru,STN-KA-TKR-0002,13.496129,76.705144,"No. 3, 1st Stage, Tumakuru, Tumakuru - 567707",,,false
CIT-00000026,Vinay Krishnamurthy,ಸಂದೀಪ್ ಉಡುಪ,Vinay,Krishnamurthy,M,1954-01-10,72,708046606382,KA4220249380541,8687042646,,Advocate,lower_middle,Hindu,Others,High School,KA-RBG,Dharwad,Dharwad,STN-KA-RBG-0001,15.561817,75.158333,"No. 152, Main Road, Dharwad, Dharwad - 587363",,,false
CIT-00000027,Shantha Prabhu,ಶಾಂತಾ ನಾಯ್ಕ್,Shantha,Prabhu,F,2001-09-08,24,949715129545,KA2620085926534,6294462763,,Tailor,upper,Jain,Others,Graduate,KA-BLR,Bengaluru Urban,Bengaluru North,STN-KA-BLR-0004,13.200773,77.660652,"No. 331, Nagar, Bengaluru North, Bengaluru Urban - 582265",938533584999916,6294462763@upi,false
CIT-00000028,Ramesh Naik,ವಿನಯ್ ವೊಕ್ಕಲಿಗ,Ramesh,Naik,M,1951-09-04,74,250459619740,KA0720222615625,6114963360,,Engineer,lower,Buddhist,Others,Post Graduate,KA-BLR,Bengaluru Urban,Bengaluru South,STN-KA-BLR-0015,13.080236,77.599124,"No. 347, Colony, Bengaluru South, Bengaluru Urban - 579294",59758344594,6114963360@upi,false
CIT-00000029,Deepa Nayak,ಸುಜಾತಾ ತಂತ್ರಿ,Deepa,Nayak,F,1971-10-23,54,551284836955,KA0720132891551,8151909375,9707960616,Daily Wage Labourer,upper,Jain,Nayaka,High School,KA-MYS,Mysuru,Hunsur,STN-KA-MYS-0011,12.449214,76.614368,"No. 497, Cross Street, Hunsur, Mysuru - 591744",,,false
CIT-00000030,Prakash Swamy,ಹರ್ಷ ಉಡುಪ,Prakash,Swamy,M,1988-12-15,37,409459691573,,7761002351,,Auto Driver,upper,Other,Others,Primary,KA-BLR2,Ballari,Sandur,STN-KA-BLR2-0017,14.967078,76.532599,"No. 255, Main Road, Sandur, Ballari - 567405",4943856337598491,7761002351@phonepe,false
CIT-00000031,Saritha Thakur,ಸ್ನೇಹಾ ಕಾಮತ್,Saritha,Thakur,F,1982-04-27,44,478796338790,,6432417071,,Daily Wage Labourer,lower_middle,Muslim,Others,Graduate,KA-BLR,Bengaluru Urban,Bengaluru East,STN-KA-BLR-0026,12.975397,77.734888,"No. 181, Layout, Bengaluru East, Bengaluru Urban - 567301",132208220448435,sarithat@okaxis,false
CIT-00000032,Priya Shastri,ಪ್ರಿಯಾ ಲಿಂಗಾಯತ್,Priya,Shastri,F,1985-02-10,41,558136822015,KA1720124740724,6183137743,8030579251,Shop Keeper,lower,Christian,SC,Professional,KA-RBG,Dharwad,Navalgund,STN-KA-RBG-0024,15.531588,74.852562,"No. 85, Main Road, Navalgund, Dharwad - 593695",979685462116,,false
CIT-00000033,Srikanth Prabhu,ಬಸವರಾಜ್ ಪ್ರಭು,Srikanth,Prabhu,M,1992-06-06,34,292918489945,KA0620236473120,7501134496,,Vendor,lower_middle,Buddhist,SC,Diploma,KA-CTV,Chitradurga,Chitradurga,STN-KA-CTV-0001,14.793013,76.26073,"No. 56, Layout, Chitradurga, Chitradurga - 583640",9497254720474,,false
CIT-00000034,Sandeep Kamath,ಬಸವರಾಜ್ ದೇಸಾಯಿ,Sandeep,Kamath,M,1984-03-03,42,289304317842,KA2520176335186,6452528886,,Mechanic,lower_middle,Other,OBC,High School,KA-RMN,Ramanagara,Magadi,STN-KA-RMN-0016,12.805528,77.603689,"No. 68, Nagar, Magadi, Ramanagara - 588920",39136997548,6452528886@upi,false
CIT-00000035,Vidya Shetty,ಜ್ಯೋತಿ ನಂಬಿಯಾರ್,Vidya,Shetty,F,1993-04-14,33,941975370063,,6247223720,,Unemployed,upper_middle,Other,OBC,Post Graduate,KA-BLR,Bengaluru Urban,Mahadevapura,STN-KA-BLR-0053,13.000609,77.448093,"No. 97, Nagar, Mahadevapura, Bengaluru Urban - 590149",399887733521,,false
CIT-00000036,Anita Tantri,ಶೃತಿ ಸ್ವಾಮಿ,Anita,Tantri,F,1978-05-24,48,628178342064,,8899818119,,Government Employee,lower_middle,Other,General,Illiterate,KA-RBG,Dharwad,Hubballi,STN-KA-RBG-0009,15.355723,75.143906,"No. 139, Main Road, Hubballi, Dharwad - 574136",395534334971,,false
CIT-00000037,Bharathi Nayak,ಅನಿತಾ ಜೋಶಿ,Bharathi,Nayak,F,2001-07-15,25,302419827244,KA4220238242292,7087244783,6712125798,Daily Wage Labourer,BPL,Christian,Vokkaliga,Diploma,KA-BLR2,Ballari,Hagaribommanahalli,STN-KA-BLR2-0012,14.924321,76.701024,"No. 184, Main Road, Hagaribommanahalli, Ballari - 566985",9520769915283119,7087244783@phonepe,false
CIT-00000038,Rekha Swamy,ರೇಖಾ ಕುಮಾರ್,Rekha,Swamy,F,2001-01-14,25,671845816302,,7575100036,9857439738,Auto Driver,BPL,Muslim,Brahmin,High School,KA-RBG,Dharwad,Kalghatagi,STN-KA-RBG-0021,15.313186,74.815797,"No. 267, Main Road, Kalghatagi, Dharwad - 573472",29182363725,,false
CIT-00000039,Rohit Swamy,ರಾಮೇಶ್ ಅರಸ್,Rohit,Swamy,M,1985-02-05,41,831691455903,,7292546547,,Mechanic,lower_middle,Muslim,OBC,Diploma,KA-BLR,Bengaluru Urban,Rajarajeshwari Nagar,STN-KA-BLR-0050,12.990537,77.686082,"No. 330, Layout, Rajarajeshwari Nagar, Bengaluru Urban - 560777",53542372466762,7292546547@gpay,false
CIT-00000040,Sangeetha Krishnamurthy,ದೀಪಾ ಕಾಮತ್,Sangeetha,Krishnamurthy,F,1973-04-05,53,931160156539,KA0220115866241,9806437196,,Engineer,lower,Christian,Bovi,Graduate,KA-UDR,Udupi,Udupi,STN-KA-UDR-0005,13.293055,74.695039,"No. 213, Colony, Udupi, Udupi - 561753",521154240150437,,false
CIT-00000041,Bharathi Sharma,ಸರಿತಾ ದೇಸಾಯಿ,Bharathi,Sharma,F,1982-10-11,43,568275684978,KA3820066087512,9997425429,,Shop Keeper,upper_middle,Muslim,Others,High School,KA-BLR2,Ballari,Sandur,STN-KA-BLR2-0018,15.466234,76.586927,"No. 454, Colony, Sandur, Ballari - 577140",0786725308158,bharathi@ybl,false
CIT-00000042,Gaurav Murthy,ವಿನಯ್ ಅರಸ್,Gaurav,Murthy,M,1981-05-21,45,905320936130,KA5720206886527,6295963518,,Business Person,lower,Sikh,Bovi,Diploma,KA-RMN,Ramanagara,Ramanagara,STN-KA-RMN-0002,12.944963,77.351981,"No. 272, Main Road, Ramanagara, Ramanagara - 585402",44641972941,,false
CIT-00000043,Mohan Ayyar,ವಿನಯ್ ಕುಮಾರ್,Mohan,Ayyar,M,1989-04-05,37,573169275927,,6846790877,,Auto Driver,upper_middle,Hindu,Brahmin,Primary,KA-BLR,Bengaluru Urban,Bengaluru North,STN-KA-BLR-0006,13.071843,77.537161,"No. 68, 1st Stage, Bengaluru North, Bengaluru Urban - 586098",6010069774009,,false
CIT-00000044,Ganesh Reddy,ಉಮೇಶ್ ಶೆಟ್ಟಿ,Ganesh,Reddy,M,1966-09-22,59,267698710149,KA1320132877401,7221268390,8101181693,Shop Keeper,middle,Jain,OBC,Primary,KA-BLR,Bengaluru Urban,Bengaluru North,STN-KA-BLR-0000,12.844887,77.520822,"No. 480, 1st Stage, Bengaluru North, Bengaluru Urban - 593218",1163282251964,,false
CIT-00000045,Suresh Adiga,ರಾಘವೇಂದ್ರ ದೇಸಾಯಿ,Suresh,Adiga,M,1984-07-03,42,257595024242,,6242182548,,Shop Keeper,upper_middle,Jain,Kuruba,Post Graduate,KA-BLR,Bengaluru Urban,Bengaluru South,STN-KA-BLR-0013,12.867412,77.680836,"No. 106, Colony, Bengaluru South, Bengaluru Urban - 568536",33523175487713,6242182548@upi,true
CIT-00000046,Basavaraj Rao,ಅಭಿಷೇಕ್ ನಾಯ್ಕ್,Basavaraj,Rao,M,1965-10-08,60,866762960296,,7900496309,,Retired,middle,Hindu,Lingayat,PUC,KA-VKT,Vijayanagara,Hagaribommanahalli,STN-KA-VKT-0006,15.183911,76.035335,"No. 237, Nagar, Hagaribommanahalli, Vijayanagara - 567735",4991047164954584,,false
CIT-00000047,Ravi Shastri,ದೀಪಕ್ ಲಿಂಗಾಯತ್,Ravi,Shastri,M,1969-11-24,56,221436659453,,7766548427,8946454030,Driver,upper,Muslim,General,Graduate,KA-BLR,Bengaluru Urban,Mahadevapura,STN-KA-BLR-0053,13.002461,77.419059,"No. 111, Cross Street, Mahadevapura, Bengaluru Urban - 576307",,,false
CIT-00000048,Sneha Desai,ಶಾಂತಾ ಸ್ವಾಮಿ,Sneha,Desai,F,1964-07-20,62,213376191577,,8754920398,,Electrician,lower_middle,Hindu,Nayaka,Primary,KA-MGL,Dakshina Kannada,Belthangady,STN-KA-MGL-0013,12.820408,75.419011,"No. 38, Main Road, Belthangady, Dakshina Kannada - 583474",14111581623,8754920398@upi,false
CIT-00000049,Rekha Krishnamurthy,ಭಾರತಿ ಶೆಟ್ಟಿ,Rekha,Krishnamurthy,F,1978-06-07,48,643002773206,,7151098100,,Shop Keeper,BPL,Christian,General,Primary,KA-MGL,Dakshina Kannada,Mangaluru,STN-KA-MGL-0002,12.527208,75.518219,"No. 214, Nagar, Mangaluru, Dakshina Kannada - 574832",6942763808263,,false
CIT-00000050,Arjun Thakur,ಅನಿಲ್ ರೆಡ್ಡಿ,Arjun,Thakur,M,1986-10-04,39,581674289540,KA2520119492828,9429306461,,Vendor,lower_middle,Jain,Lingayat,High School,KA-UDR,Udupi,Kundapura,STN-KA-UDR-0012,13.428836,74.937085,"No. 243, 1st Stage, Kundapura, Udupi - 576130",,,false
CIT-00000051,Suma Rao,ಸ್ನೇಹಾ ಅಡಿಗ,Suma,Rao,F,1984-03-02,42,699611778545,KA0120052891886,7245540421,,Security Guard,upper_middle,Jain,Brahmin,High School,KA-CHB,Chikkaballapura,Gauribidanur,STN-KA-CHB-0009,13.789015,77.745212,"No. 333, Main Road, Gauribidanur, Chikkaballapura - 582701",,,false
CIT-00000052,Nagaraj Vokkaliga,ದೀಪಕ್ ಉಡುಪ,Nagaraj,Vokkaliga,M,1981-03-10,45,837731252458,,6025539525,,Shop Keeper,BPL,Jain,Lingayat,Primary,KA-RBG,Dharwad,Kalghatagi,STN-KA-RBG-0021,15.363267,74.807297,"No. 17, Main Road, Kalghatagi, Dharwad - 574475",,,false
CIT-00000053,Pooja Ayyar,ಮಧು ಭಟ್,Pooja,Ayyar,F,1998-10-20,27,987171359358,,6515694438,,Security Guard,lower,Buddhist,Brahmin,Professional,KA-BLG,Belagavi,Belagavi,STN-KA-BLG-0007,16.314212,75.027458,"No. 43, Cross Street, Belagavi, Belagavi - 560012",9105482562739643,,false
CIT-00000054,Radha Thakur,ಸಂಗೀತಾ ವೊಕ್ಕಲಿಗ,Radha,Thakur,F,1981-11-23,44,531115685402,KA0320185792153,7097506699,6285685944,Daily Wage Labourer,middle,Sikh,General,Professional,KA-KLP,Kalaburagi,Kalaburagi,STN-KA-KLP-0003,17.578802,77.39287,"No. 219, 1st Stage, Kalaburagi, Kalaburagi - 586147",21806036323518,7097506699@upi,false
CIT-00000055,Ravi Adiga,ಬಸವರಾಜ್ ದೇಸಾಯಿ,Ravi,Adiga,M,1983-12-04,42,563057578660,,8577741465,6831633253,Contractor,lower_middle,Christian,General,High School,KA-BLR,Bengaluru Urban,Bengaluru South,STN-KA-BLR-0015,13.079896,77.620214,"No. 486, Main Road, Bengaluru South, Bengaluru Urban - 587581",02507666069508,,false
CIT-00000056,Yogesh Hegde,ಮಂಜುನಾಥ್ ಅಡಿಗ,Yogesh,Hegde,M,1988-04-01,38,201820871638,KA1320171840271,8396848359,,Shop Keeper,upper_middle,Hindu,Kuruba,Graduate,KA-MGL,Dakshina Kannada,Belthangady,STN-KA-MGL-0011,12.833902,74.839879,"No. 66, Main Road, Belthangady, Dakshina Kannada - 587087",193927191899381,,false
CIT-00000057,Sandeep Reddy,ಯೋಗೇಶ್ ಲಿಂಗಾಯತ್,Sandeep,Reddy,M,1972-11-16,53,528166517731,,7262491528,,Mechanic,BPL,Hindu,Bovi,High School,KA-HBL,Hubballi-Dharwad,Kalghatagi,STN-KA-HBL-0014,15.33227,75.173907,"No. 316, Cross Street, Kalghatagi, Hubballi-Dharwad - 592234",197493135276,,false
CIT-00000058,Arjun Swamy,ಪ್ರಕಾಶ್ ಹೆಗಡೆ,Arjun,Swamy,M,1958-01-24,68,957446544821,KA2520237976268,8483628134,6350334607,Unemployed,middle,Christian,SC,Post Graduate,KA-MYS,Mysuru,Hunsur,STN-KA-MYS-0011,12.430286,76.602644,"No. 34, 1st Stage, Hunsur, Mysuru - 564344",739821255887740,,false
CIT-00000059,Srikanth Pillai,ಅನಿಲ್ ದೇಸಾಯಿ,Srikanth,Pillai,M,1985-03-31,41,966562067039,KA2220193270643,6253834106,,Teacher,upper,Christian,SC,PUC,KA-MYS,Mysuru,Hunsur,STN-KA-MYS-0011,12.462125,76.646162,"No. 267, Cross Street, Hunsur, Mysuru - 563602",367774410843,6253834106@upi,false
CIT-00000060,Shantha Joshi,ಸುಮ಼ಾ ವೊಕ್ಕಲಿಗ,Shantha,Joshi,F,1993-10-10,32,384788797888,,6310666465,,Mechanic,middle,Sikh,Nayaka,Professional,KA-MYS,Mysuru,Heggadadevankote,STN-KA-MYS-0015,11.883213,76.886544,"No. 257, Nagar, Heggadadevankote, Mysuru - 592217",,,false
CIT-00000061,Ajay Udupi,ಉಮೇಶ್ ಭಟ್,Ajay,Udupi,M,2005-07-14,21,868689984200,,7395108327,,Daily Wage Labourer,lower_middle,Muslim,Vokkaliga,Primary,KA-BLR,Bengaluru Urban,Bengaluru South,STN-KA-BLR-0016,12.807622,77.520627,"No. 481, 1st Stage, Bengaluru South, Bengaluru Urban - 563962",,,false
CIT-00000062,Deepa Singh,ನಿರ್ಮಲಾ ಭಟ್,Deepa,Singh,F,1978-01-01,48,810849297045,,8294957603,,Shop Keeper,lower_middle,Sikh,General,PUC,KA-BLR,Bengaluru Urban,Bengaluru South,STN-KA-BLR-0018,12.823741,77.579912,"No. 207, Main Road, Bengaluru South, Bengaluru Urban - 578398",868761297676,8294957603@paytm,false
CIT-00000063,Rohit Gowda,ರಮೇಶ್ ನಾಯ್ಕ್,Rohit,Gowda,M,2007-01-06,19,573313424147,KA2320134075670,6400241703,,Student,upper_middle,Other,OBC,Primary,KA-BSD,Bagalkote,Bagalkote,STN-KA-BSD-0000,16.436348,75.486198,"No. 18, Main Road, Bagalkote, Bagalkote - 592441",89762177942,,false
CIT-00000064,Gaurav Kumar,ಪ್ರಶಾಂತ್ ಕೃಷ್ಣಮೂರ್ತಿ,Gaurav,Kumar,M,1967-07-23,59,396627145706,,7404961965,,Doctor,BPL,Sikh,Kuruba,Illiterate,KA-UDR,Udupi,Udupi,STN-KA-UDR-0000,13.379696,74.90001,"No. 100, Nagar, Udupi, Udupi - 565661",8686237857717,7404961965@upi,false
CIT-00000065,Bharathi Sharma,ರೇಖಾ ಸ್ವಾಮಿ,Bharathi,Sharma,F,1997-02-13,29,698749320392,,8300398780,9465949186,Government Employee,lower_middle,Sikh,Brahmin,Diploma,KA-BLR,Bengaluru Urban,Bengaluru North,STN-KA-BLR-0000,12.810648,77.502947,"No. 198, 1st Stage, Bengaluru North, Bengaluru Urban - 574048",686870375578,bharathi@okhdfcbank,true
CIT-00000066,Seeta Desai,ಸರಿತಾ ಗೌಡ,Seeta,Desai,F,1996-01-01,30,931492662247,KA2020157205358,6226643509,,Business Person,upper_middle,Buddhist,Brahmin,Professional,KA-BLR,Bengaluru Urban,Rajarajeshwari Nagar,STN-KA-BLR-0044,13.089906,77.582251,"No. 58, Nagar, Rajarajeshwari Nagar, Bengaluru Urban - 590135",60382807100245,6226643509@phonepe,false
CIT-00000067,Jyothi Ayyar,ಸ್ನೇಹಾ ಜೋಶಿ,Jyothi,Ayyar,F,1966-03-14,60,550799378735,KA2220103383215,9883868982,8817386816,Electrician,middle,Muslim,OBC,Post Graduate,KA-KLP,Kalaburagi,Sedam,STN-KA-KLP-0020,17.245115,77.135786,"No. 466, Colony, Sedam, Kalaburagi - 582994",199806849603,,true
CIT-00000068,Nagaraj Patil,ಅಜಯ್ ಅರಸ್,Nagaraj,Patil,M,1975-04-16,51,668993305374,KA2220238345865,9739718190,,Student,upper_middle,Hindu,Nayaka,Post Graduate,KA-BDR,Bidar,Bidar,STN-KA-BDR-0001,17.863027,77.427931,"No. 200, 1st Stage, Bidar, Bidar - 567122",62426103324,,false
CIT-00000069,Deepak Kamath,ರಾಘವೇಂದ್ರ ಶೆಟ್ಟಿ,Deepak,Kamath,M,1975-08-23,50,207284385800,KA2820216415715,8763985726,,Driver,lower,Jain,Vokkaliga,Post Graduate,KA-UDR,Udupi,Kundapura,STN-KA-UDR-0015,13.643682,75.005237,"No. 192, 1st Stage, Kundapura, Udupi - 574790",998669245051490,deepakka@oksbi,false
CIT-00000070,Yogesh Singh,ಗೌರವ್ ಅರಸ್,Yogesh,Singh,M,1998-10-09,27,714538690168,KA1920221649295,9153300270,7750769769,Unemployed,lower,Other,OBC,Diploma,KA-BLR,Bengaluru Urban,Bengaluru East,STN-KA-BLR-0021,12.911352,77.748908,"No. 178, Colony, Bengaluru East, Bengaluru Urban - 574355",20750006991,,false
