log_id,fir_id,event_type,timestamp,officer_id,description,latitude,longitude,location
ILOG-00000046,FIR-VKT-2021-00002,OFFICER_ASSIGNED,2021-01-04T13:00:00,,Officer None assigned as IO (Current Load: 0 cases),,,
ILOG-00000040,FIR-BDR-2021-00001,FIR_FILED,2021-01-04T14:00:00,,FIR KA/BDR/2021/00001 registered at STN-KA-BDR-0005,,,
ILOG-00000049,FIR-VKT-2021-00002,EVIDENCE_COLLECTED,2021-01-04T14:00:00,OFF-0003234,Evidence EVI-00000029 collected: Stolen two-wheeler recovered,,,
ILOG-00000036,FIR-CHB-2021-00001,FIR_FILED,2021-01-04T15:00:00,,FIR KA/CHB/2021/00001 registered at STN-KA-CHB-0015,,,
ILOG-00000012,FIR-MYS-2021-00002,EVIDENCE_COLLECTED,2021-01-04T17:00:00,OFF-0000678,Evidence EVI-00000014 collected: Palm print lifted from window sill,,,
ILOG-00000037,FIR-CHB-2021-00001,OFFICER_ASSIGNED,2021-01-05T03:00:00,,Officer None assigned as IO (Current Load: 0 cases),,,
ILOG-00000058,FIR-BLR-2021-00003,FIR_FILED,2021-01-05T09:00:00,OFF-0000283,FIR KA/BLR/2021/00003 registered at STN-KA-BLR-0030,,,
ILOG-00000002,FIR-VKT-2021-00001,EVIDENCE_COLLECTED,2021-01-05T10:00:00,OFF-0003278,Evidence EVI-00000002 collected: Palm print lifted from window sill,,,
ILOG-00000053,FIR-RBG-2021-00001,FIR_FILED,2021-01-05T10:00:00,OFF-0003745,FIR KA/RBG/2021/00001 registered at STN-KA-RBG-0021,,,
ILOG-00000008,FIR-MYS-2021-00001,EVIDENCE_COLLECTED,2021-01-05T11:00:00,OFF-0000765,Evidence EVI-00000006 collected: Broken window glass collected from scene,,,
ILOG-00000041,FIR-BDR-2021-00001,OFFICER_ASSIGNED,2021-01-05T13:00:00,,Officer None assigned as IO (Current Load: 0 cases),,,
ILOG-00000061,FIR-BLR2-2021-00001,FIR_FILED,2021-01-05T13:00:00,OFF-0003426,FIR KA/BLR2/2021/00001 registered at STN-KA-BLR2-0006,,,
ILOG-00000029,FIR-BLG-2021-00002,EVIDENCE_COLLECTED,2021-01-05T15:00:00,OFF-0001293,Evidence EVI-00000019 collected: Market CCTV footage retrieved,,,
ILOG-00000047,FIR-VKT-2021-00002,EVIDENCE_COLLECTED,2021-01-05T16:00:00,OFF-0003234,Evidence EVI-00000027 collected: Palm print lifted from window sill,,,
ILOG-00000054,FIR-RBG-2021-00001,OFFICER_ASSIGNED,2021-01-05T19:00:00,OFF-0003747,Officer OFF-0003747 assigned as IO (Current Load: 0 cases),,,
ILOG-00000062,FIR-BLR2-2021-00001,OFFICER_ASSIGNED,2021-01-05T20:00:00,OFF-0003426,Officer OFF-0003426 assigned as IO (Current Load: 0 cases),,,
ILOG-00000059,FIR-BLR-2021-00003,OFFICER_ASSIGNED,2021-01-06T00:00:00,OFF-0000271,Officer OFF-0000271 assigned as IO (Current Load: 0 cases),,,
ILOG-00000066,FIR-BLG-2021-00003,FIR_FILED,2021-01-06T10:00:00,OFF-0001395,FIR KA/BLG/2021/00003 registered at STN-KA-BLG-0021,,,
ILOG-00000030,FIR-BLG-2021-00002,EVIDENCE_COLLECTED,2021-01-06T11:00:00,OFF-0001293,Evidence EVI-00000020 collected: Chemical analysis of seized narcotic,,,
ILOG-00000067,FIR-BLG-2021-00003,OFFICER_ASSIGNED,2021-01-06T11:00:00,OFF-0001396,Officer OFF-0001396 assigned as IO (Current Load: 0 cases),,,
ILOG-00000072,FIR-CKM-2021-00001,FIR_FILED,2021-01-06T11:00:00,,FIR KA/CKM/2021/00001 registered at STN-KA-CKM-0004,,,
ILOG-00000021,FIR-BLR-2021-00002,EVIDENCE_COLLECTED,2021-01-06T12:00:00,OFF-0000192,Evidence EVI-00000009 collected: Traffic camera footage of escape route,,,
ILOG-00000065,FIR-BLR2-2021-00001,EVIDENCE_COLLECTED,2021-01-06T12:00:00,OFF-0003430,Evidence EVI-00000038 collected: Stolen two-wheeler recovered,,,
ILOG-00000048,FIR-VKT-2021-00002,EVIDENCE_COLLECTED,2021-01-06T13:00:00,OFF-0003233,Evidence EVI-00000028 collected: CCTV footage from nearby bank ATM showing accused,,,
ILOG-00000071,FIR-BLG-2021-00003,EVIDENCE_COLLECTED,2021-01-07T09:00:00,OFF-0001401,Evidence EVI-00000035 collected: Country-made weapon seized,,,
ILOG-00000073,FIR-CKM-2021-00001,OFFICER_ASSIGNED,2021-01-07T09:00:00,OFF-0002377,Officer OFF-0002377 assigned as IO (Current Load: 0 cases),,,
ILOG-00000026,FIR-BLG-2021-00002,EVIDENCE_COLLECTED,2021-01-07T10:00:00,OFF-0001293,Evidence EVI-00000016 collected: Country-made weapon seized,,,
ILOG-00000028,FIR-BLG-2021-00002,EVIDENCE_COLLECTED,2021-01-07T11:00:00,OFF-0001288,Evidence EVI-00000018 collected: Statement of shop keeper recorded,,,
ILOG-00000038,FIR-CHB-2021-00001,EVIDENCE_COLLECTED,2021-01-07T12:00:00,OFF-0002940,Evidence EVI-00000022 collected: CCTV footage from nearby bank ATM showing accused,,,
ILOG-00000015,FIR-BLR-2021-00001,EVIDENCE_COLLECTED,2021-01-07T14:00:00,OFF-0000284,Evidence EVI-00000000 collected: Statement of auto driver who saw accused,,,
ILOG-00000086,FIR-KLP-2021-00001,FIR_FILED,2021-01-07T14:00:00,OFF-0001515,FIR KA/KLP/2021/00001 registered at STN-KA-KLP-0009,,,
ILOG-00000078,FIR-RBG-2021-00002,FIR_FILED,2021-01-07T16:00:00,OFF-0003745,FIR KA/RBG/2021/00002 registered at STN-KA-RBG-0021,,,
ILOG-00000093,FIR-KLP-2021-00002,FIR_FILED,2021-01-07T16:00:00,OFF-0001455,FIR KA/KLP/2021/00002 registered at STN-KA-KLP-0001,,,
ILOG-00000097,FIR-KLP-2021-00002,EVIDENCE_COLLECTED,2021-01-07T16:00:00,OFF-0001458,Evidence EVI-00000052 collected: Country-made weapon seized,,,
ILOG-00000090,FIR-KLP-2021-00001,EVIDENCE_COLLECTED,2021-01-07T17:00:00,OFF-0001514,Evidence EVI-00000049 collected: Fingerprints lifted from crime scene matched with accused,,,
ILOG-00000079,FIR-RBG-2021-00002,OFFICER_ASSIGNED,2021-01-08T04:00:00,OFF-0003745,Officer OFF-0003745 assigned as IO (Current Load: 0 cases),,,
ILOG-00000094,FIR-KLP-2021-00002,OFFICER_ASSIGNED,2021-01-08T06:00:00,OFF-0001455,Officer OFF-0001455 assigned as IO (Current Load: 0 cases),,,
ILOG-00000087,FIR-KLP-2021-00001,OFFICER_ASSIGNED,2021-01-08T08:00:00,OFF-0001520,Officer OFF-0001520 assigned as IO (Current Load: 0 cases),,,
ILOG-00000074,FIR-CKM-2021-00001,EVIDENCE_COLLECTED,2021-01-08T09:00:00,OFF-0002378,Evidence EVI-00000044 collected: Seized iron rod used as weapon,,,
ILOG-00000035,FIR-HBL-2021-00001,EVIDENCE_COLLECTED,2021-01-08T11:00:00,OFF-0001144,Evidence EVI-00000021 collected: GPS tracker data from accused vehicle,,,
ILOG-00000080,FIR-RBG-2021-00002,EVIDENCE_COLLECTED,2021-01-08T11:00:00,OFF-0003755,Evidence EVI-00000041 collected: CCTV footage from nearby bank ATM showing accused,,,
ILOG-00000063,FIR-BLR2-2021-00001,EVIDENCE_COLLECTED,2021-01-08T12:00:00,OFF-0003432,Evidence EVI-00000036 collected: CCTV footage from nearby bank ATM showing accused,,,
ILOG-00000095,FIR-KLP-2021-00002,EVIDENCE_COLLECTED,2021-01-08T12:00:00,OFF-0001455,Evidence EVI-00000050 collected: Hair sample collected from crime scene,,,
ILOG-00000108,FIR-BLR-2021-00005,FIR_FILED,2021-01-08T12:00:00,,FIR KA/BLR/2021/00005 registered at STN-KA-BLR-0025,,,
ILOG-00000113,FIR-BLR-2021-00007,FIR_FILED,2021-01-08T12:00:00,OFF-0000052,FIR KA/BLR/2021/00007 registered at STN-KA-BLR-0005,,,
ILOG-00000005,FIR-VKT-2021-00001,EVIDENCE_COLLECTED,2021-01-08T13:00:00,OFF-0003276,Evidence EVI-00000005 collected: Stolen two-wheeler recovered,,,
ILOG-00000069,FIR-BLG-2021-00003,EVIDENCE_COLLECTED,2021-01-08T13:00:00,OFF-0001398,Evidence EVI-00000033 collected: Hotel CCTV showing accused check-in,,,
ILOG-00000081,FIR-RBG-2021-00002,EVIDENCE_COLLECTED,2021-01-08T13:00:00,OFF-0003751,Evidence EVI-00000042 collected: Toll plaza records with vehicle photograph,,,
ILOG-00000096,FIR-KLP-2021-00002,EVIDENCE_COLLECTED,2021-01-08T13:00:00,OFF-0001458,Evidence EVI-00000051 collected: Statement of shop keeper recorded,,,
ILOG-00000070,FIR-BLG-2021-00003,EVIDENCE_COLLECTED,2021-01-08T14:00:00,OFF-0001389,Evidence EVI-00000034 collected: DNA analysis report,,,
ILOG-00000099,FIR-BLG-2021-00001,FIR_FILED,2021-01-08T14:00:00,OFF-0001444,FIR KA/BLG/2021/00001 registered at STN-KA-BLG-0029,,,
ILOG-00000102,FIR-BLR-2021-00004,FIR_FILED,2021-01-08T15:00:00,OFF-0000444,FIR KA/BLR/2021/00004 registered at STN-KA-BLR-0047,,,
ILOG-00000112,FIR-BLR-2021-00005,EVIDENCE_COLLECTED,2021-01-08T16:00:00,OFF-0000242,Evidence EVI-00000039 collected: Country-made weapon seized,,,
ILOG-00000088,FIR-KLP-2021-00001,EVIDENCE_COLLECTED,2021-01-08T17:00:00,OFF-0001514,Evidence EVI-00000047 collected: Voluntary statement of witness given,,,
ILOG-00000103,FIR-BLR-2021-00004,OFFICER_ASSIGNED,2021-01-08T18:00:00,OFF-0000449,Officer OFF-0000449 assigned as IO (Current Load: 0 cases),,,
ILOG-00000100,FIR-BLG-2021-00001,OFFICER_ASSIGNED,2021-01-09T01:00:00,OFF-0001444,Officer OFF-0001444 assigned as IO (Current Load: 0 cases),,,
ILOG-00000109,FIR-BLR-2021-00005,OFFICER_ASSIGNED,2021-01-09T06:00:00,OFF-0000241,Officer OFF-0000241 assigned as IO (Current Load: 0 cases),,,
ILOG-00000114,FIR-BLR-2021-00007,OFFICER_ASSIGNED,2021-01-09T08:00:00,OFF-0000064,Officer OFF-0000064 assigned as IO (Current Load: 0 cases),,,
ILOG-00000057,FIR-RBG-2021-00001,EVIDENCE_COLLECTED,2021-01-09T14:00:00,OFF-0003750,Evidence EVI-00000012 collected: Palm print lifted from window sill,,,
ILOG-00000110,FIR-BLR-2021-00005,EVIDENCE_COLLECTED,2021-01-09T16:00:00,OFF-0000240,Evidence EVI-00000045 collected: Hotel CCTV showing accused check-in,,,
ILOG-00000044,FIR-BDR-2021-00001,EVIDENCE_COLLECTED,2021-01-09T17:00:00,OFF-0002065,Evidence EVI-00000026 collected: Neighbour's statement recorded,,,
ILOG-00000089,FIR-KLP-2021-00001,EVIDENCE_COLLECTED,2021-01-09T17:00:00,OFF-0001529,Evidence EVI-00000048 collected: Market CCTV footage retrieved,,,
ILOG-00000019,FIR-BLR-2021-00002,EVIDENCE_COLLECTED,2021-01-10T09:00:00,OFF-0000183,Evidence EVI-00000007 collected: FASTag records showing vehicle movement,,,
ILOG-00000043,FIR-BDR-2021-00001,EVIDENCE_COLLECTED,2021-01-10T11:00:00,OFF-0002064,Evidence EVI-00000025 collected: Toll plaza records with vehicle photograph,,,
ILOG-00000050,FIR-VKT-2021-00002,EVIDENCE_COLLECTED,2021-01-10T11:00:00,OFF-0003236,Evidence EVI-00000030 collected: Statement of auto driver who saw accused,,,
ILOG-00000104,FIR-BLR-2021-00004,EVIDENCE_COLLECTED,2021-01-10T11:00:00,OFF-0000449,Evidence EVI-00000039 collected: Recovered stolen gold jewellery,,,
ILOG-00000116,FIR-BLR-2021-00008,FIR_FILED,2021-01-10T13:00:00,OFF-0000252,FIR KA/BLR/2021/00008 registered at STN-KA-BLR-0027,,,
ILOG-00000039,FIR-CHB-2021-00001,EVIDENCE_COLLECTED,2021-01-10T14:00:00,OFF-0002939,Evidence EVI-00000023 collected: Voluntary statement of witness given,,,
ILOG-00000027,FIR-BLG-2021-00002,EVIDENCE_COLLECTED,2021-01-10T15:00:00,OFF-0001293,Evidence EVI-00000017 collected: Latent fingerprints developed using powder technique,,,
ILOG-00000056,FIR-RBG-2021-00001,EVIDENCE_COLLECTED,2021-01-10T15:00:00,OFF-0003747,Evidence EVI-00000011 collected: Shop CCTV footage showing accused vehicle,,,
ILOG-00000123,FIR-DVG-2021-00001,FIR_FILED,2021-01-10T15:00:00,,FIR KA/DVG/2021/00001 registered at STN-KA-DVG-0001,,,
ILOG-00000016,FIR-BLR-2021-00001,EVIDENCE_COLLECTED,2021-01-10T17:00:00,OFF-0000278,Evidence EVI-00000001 collected: Fingerprints lifted from crime scene matched with accused,,,
ILOG-00000117,FIR-BLR-2021-00008,OFFICER_ASSIGNED,2021-01-10T18:00:00,OFF-0000252,Officer OFF-0000252 assigned as IO (Current Load: 0 cases),,,
ILOG-00000120,FIR-BLR2-2021-00002,FIR_FILED,2021-01-10T18:00:00,,FIR KA/BLR2/2021/00002 registered at STN-KA-BLR2-0023,,,
ILOG-00000121,FIR-BLR2-2021-00002,OFFICER_ASSIGNED,2021-01-10T23:00:00,,Officer None assigned as IO (Current Load: 0 cases),,,
ILOG-00000051,FIR-VKT-2021-00002,SUSPECT_IDENTIFIED,2021-01-11T00:00:00,,Suspect Naveen Raju identified through investigation,,,
ILOG-00000134,FIR-RBG-2021-00003,FIR_FILED,2021-01-11T09:00:00,OFF-0003622,FIR KA/RBG/2021/00003 registered at STN-KA-RBG-0005,,,
ILOG-00000143,FIR-KLP-2021-00003,FIR_FILED,2021-01-11T10:00:00,,FIR KA/KLP/2021/00003 registered at STN-KA-KLP-0023,,,
ILOG-00000124,FIR-DVG-2021-00001,OFFICER_ASSIGNED,2021-01-11T11:00:00,,Officer None assigned as IO (Current Load: 0 cases),,,
ILOG-00000042,FIR-BDR-2021-00001,EVIDENCE_COLLECTED,2021-01-11T12:00:00,OFF-0002063,Evidence EVI-00000024 collected: CCTV footage from nearby bank ATM showing accused,,,
ILOG-00000138,FIR-RBG-2021-00004,FIR_FILED,2021-01-11T12:00:00,OFF-0003596,FIR KA/RBG/2021/00004 registered at STN-KA-RBG-0000,,,
ILOG-00000064,FIR-BLR2-2021-00001,EVIDENCE_COLLECTED,2021-01-11T15:00:00,OFF-0003437,Evidence EVI-00000037 collected: Statement of shop keeper recorded,,,
ILOG-00000068,FIR-BLG-2021-00003,EVIDENCE_COLLECTED,2021-01-11T15:00:00,OFF-0001400,Evidence EVI-00000032 collected: Voluntary statement of witness given,,,
ILOG-00000101,FIR-BLG-2021-00001,EVIDENCE_COLLECTED,2021-01-11T15:00:00,OFF-0001447,Evidence EVI-00000015 collected: Latent fingerprints developed using powder technique,,,
ILOG-00000128,FIR-BLR-2021-00009,FIR_FILED,2021-01-11T18:00:00,OFF-0000529,FIR KA/BLR/2021/00009 registered at STN-KA-BLR-0055,,,
ILOG-00000135,FIR-RBG-2021-00003,OFFICER_ASSIGNED,2021-01-11T22:00:00,OFF-0003628,Officer OFF-0003628 assigned as IO (Current Load: 0 cases),,,
ILOG-00000106,FIR-BLR-2021-00004,SUSPECT_IDENTIFIED,2021-01-12T00:00:00,OFF-0000449,Suspect Suma Lingayat identified through investigation,,,
ILOG-00000144,FIR-KLP-2021-00003,OFFICER_ASSIGNED,2021-01-12T01:00:00,OFF-0001633,Officer OFF-0001633 assigned as IO (Current Load: 0 cases),,,
ILOG-00000158,FIR-RBG-2021-00005,FIR_FILED,2021-01-12T08:00:00,,FIR KA/RBG/2021/00005 registered at STN-KA-RBG-0020,,,
ILOG-00000060,FIR-BLR-2021-00003,EVIDENCE_COLLECTED,2021-01-12T09:00:00,OFF-0000283,Evidence EVI-00000031 collected: Hotel CCTV showing accused check-in,,,
ILOG-00000149,FIR-BLR-2021-00010,FIR_FILED,2021-01-12T09:00:00,OFF-0000124,FIR KA/BLR/2021/00010 registered at STN-KA-BLR-0012,,,
ILOG-00000122,FIR-BLR2-2021-00002,EVIDENCE_COLLECTED,2021-01-12T10:00:00,OFF-0003527,Evidence EVI-00000058 collected: Ballistic report on firearm,,,
ILOG-00000139,FIR-RBG-2021-00004,OFFICER_ASSIGNED,2021-01-12T10:00:00,OFF-0003602,Officer OFF-0003602 assigned as IO (Current Load: 0 cases),,,
ILOG-00000163,FIR-BLR-2021-00012,FIR_FILED,2021-01-12T10:00:00,OFF-0000434,FIR KA/BLR/2021/00012 registered at STN-KA-BLR-0046,,,
ILOG-00000153,FIR-BLR-2021-00011,FIR_FILED,2021-01-12T15:00:00,OFF-0000069,FIR KA/BLR/2021/00011 registered at STN-KA-BLR-0007,,,
ILOG-00000165,FIR-BLR-2021-00012,EVIDENCE_COLLECTED,2021-01-12T15:00:00,OFF-0000437,Evidence EVI-00000072 collected: CCTV footage from nearby bank ATM showing accused,,,
ILOG-00000167,FIR-BLR-2021-00012,EVIDENCE_COLLECTED,2021-01-12T15:00:00,OFF-0000437,Evidence EVI-00000074 collected: Stolen two-wheeler recovered,,,
ILOG-00000055,FIR-RBG-2021-00001,EVIDENCE_COLLECTED,2021-01-12T16:00:00,OFF-0003754,Evidence EVI-00000010 collected: Statement of shop keeper recorded,,,
ILOG-00000154,FIR-BLR-2021-00011,OFFICER_ASSIGNED,2021-01-12T16:00:00,OFF-0000073,Officer OFF-0000073 assigned as IO (Current Load: 0 cases),,,
ILOG-00000168,FIR-KLP-2021-00004,FIR_FILED,2021-01-12T16:00:00,OFF-0001652,FIR KA/KLP/2021/00004 registered at STN-KA-KLP-0025,,,
ILOG-00000172,FIR-KLP-2021-00004,EVIDENCE_COLLECTED,2021-01-12T16:00:00,OFF-0001663,Evidence EVI-00000077 collected: Traffic camera footage of escape route,,,
ILOG-00000129,FIR-BLR-2021-00009,OFFICER_ASSIGNED,2021-01-12T17:00:00,OFF-0000529,Officer OFF-0000529 assigned as IO (Current Load: 0 cases),,,
ILOG-00000052,FIR-VKT-2021-00002,ARREST,2021-01-12T19:00:00,OFF-0003236,"Accused Naveen Raju arrested at Near Market, Vijayanagara",,,
ILOG-00000159,FIR-RBG-2021-00005,OFFICER_ASSIGNED,2021-01-13T05:00:00,OFF-0003742,Officer OFF-0003742 assigned as IO (Current Load: 0 cases),,,
ILOG-00000164,FIR-BLR-2021-00012,OFFICER_ASSIGNED,2021-01-13T05:00:00,OFF-0000434,Officer OFF-0000434 assigned as IO (Current Load: 0 cases),,,
ILOG-00000150,FIR-BLR-2021-00010,OFFICER_ASSIGNED,2021-01-13T06:00:00,OFF-0000133,Officer OFF-0000133 assigned as IO (Current Load: 0 cases),,,
ILOG-00000169,FIR-KLP-2021-00004,OFFICER_ASSIGNED,2021-01-13T09:00:00,OFF-0001656,Officer OFF-0001656 assigned as IO (Current Load: 0 cases),,,
ILOG-00000187,FIR-BLR-2021-00014,FIR_FILED,2021-01-13T09:00:00,OFF-0000194,FIR KA/BLR/2021/00014 registered at STN-KA-BLR-0020,,,
ILOG-00000111,FIR-BLR-2021-00005,EVIDENCE_COLLECTED,2021-01-13T10:00:00,OFF-0000243,Evidence EVI-00000046 collected: Voluntary statement of witness given,,,
ILOG-00000115,FIR-BLR-2021-00007,EVIDENCE_COLLECTED,2021-01-13T14:00:00,OFF-0000051,Evidence EVI-00000055 collected: Call records linking accused to other suspects,,,
ILOG-00000147,FIR-KLP-2021-00003,EVIDENCE_COLLECTED,2021-01-13T14:00:00,OFF-0001638,Evidence EVI-00000069 collected: Traffic camera footage of escape route,,,
ILOG-00000179,FIR-MYS-2021-00003,FIR_FILED,2021-01-13T15:00:00,OFF-0000797,FIR KA/MYS/2021/00003 registered at STN-KA-MYS-0025,,,
ILOG-00000082,FIR-RBG-2021-00002,EVIDENCE_COLLECTED,2021-01-13T17:00:00,OFF-0003749,Evidence EVI-00000043 collected: Statement of auto driver who saw accused,,,
ILOG-00000136,FIR-RBG-2021-00003,EVIDENCE_COLLECTED,2021-01-13T17:00:00,OFF-0003636,Evidence EVI-00000059 collected: Statement of shop keeper recorded,,,
ILOG-00000145,FIR-KLP-2021-00003,EVIDENCE_COLLECTED,2021-01-13T17:00:00,OFF-0001633,Evidence EVI-00000067 collected: Statement of eye witness recorded under Sec 161 CrPC,,,
ILOG-00000173,FIR-BLR-2021-00006,FIR_FILED,2021-01-13T18:00:00,OFF-0000409,FIR KA/BLR/2021/00006 registered at STN-KA-BLR-0043,,,
ILOG-00000188,FIR-BLR-2021-00014,OFFICER_ASSIGNED,2021-01-13T21:00:00,OFF-0000200,Officer OFF-0000200 assigned as IO (Current Load: 0 cases),,,
ILOG-00000180,FIR-MYS-2021-00003,OFFICER_ASSIGNED,2021-01-14T00:00:00,OFF-0000797,Officer OFF-0000797 assigned as IO (Current Load: 0 cases),,,
ILOG-00000142,FIR-RBG-2021-00004,EVIDENCE_COLLECTED,2021-01-14T09:00:00,OFF-0003596,Evidence EVI-00000066 collected: Statement of auto driver who saw accused,,,
ILOG-00000118,FIR-BLR-2021-00008,EVIDENCE_COLLECTED,2021-01-14T10:00:00,OFF-0000254,Evidence EVI-00000056 collected: Recovered stolen gold jewellery,,,
ILOG-00000119,FIR-BLR-2021-00008,EVIDENCE_COLLECTED,2021-01-14T10:00:00,OFF-0000254,Evidence EVI-00000046 collected: Statement of shop keeper recorded,,,
ILOG-00000193,FIR-BLR-2021-00013,FIR_FILED,2021-01-14T13:00:00,,FIR KA/BLR/2021/00013 registered at STN-KA-BLR-0045,,,
ILOG-00000204,FIR-KLP-2021-00005,EVIDENCE_COLLECTED,2021-01-14T14:00:00,OFF-0001540,Evidence EVI-00000083 collected: Traffic camera footage of escape route,,,
ILOG-00000195,FIR-BLR-2021-00013,EVIDENCE_COLLECTED,2021-01-14T15:00:00,OFF-0000433,Evidence EVI-00000078 collected: Recovered stolen gold jewellery,,,
ILOG-00000198,FIR-BLR-2021-00015,FIR_FILED,2021-01-14T16:00:00,OFF-0000502,FIR KA/BLR/2021/00015 registered at STN-KA-BLR-0052,,,
ILOG-00000098,FIR-KLP-2021-00002,EVIDENCE_COLLECTED,2021-01-14T17:00:00,OFF-0001457,Evidence EVI-00000053 collected: Chemical analysis of seized narcotic,,,
ILOG-00000105,FIR-BLR-2021-00004,EVIDENCE_COLLECTED,2021-01-14T17:00:00,OFF-0000449,Evidence EVI-00000040 collected: Statement of shop keeper recorded,,,
ILOG-00000148,FIR-KLP-2021-00003,EVIDENCE_COLLECTED,2021-01-14T17:00:00,OFF-0001633,Evidence EVI-00000070 collected: Country-made weapon seized,,,
ILOG-00000174,FIR-BLR-2021-00006,OFFICER_ASSIGNED,2021-01-14T17:00:00,OFF-0000409,Officer OFF-0000409 assigned as IO (Current Load: 0 cases),,,
ILOG-00000175,FIR-BLR-2021-00006,EVIDENCE_COLLECTED,2021-01-14T17:00:00,OFF-0000410,Evidence EVI-00000046 collected: Statement of shop keeper recorded,,,
ILOG-00000202,FIR-KLP-2021-00005,FIR_FILED,2021-01-14T18:00:00,OFF-0001537,FIR KA/KLP/2021/00005 registered at STN-KA-KLP-0011,,,
ILOG-00000194,FIR-BLR-2021-00013,OFFICER_ASSIGNED,2021-01-14T23:00:00,,Officer None assigned as IO (Current Load: 0 cases),,,
ILOG-00000161,FIR-RBG-2021-00005,SUSPECT_IDENTIFIED,2021-01-15T00:00:00,OFF-0003742,Suspect Gaurav Joshi identified through investigation,,,
ILOG-00000203,FIR-KLP-2021-00005,OFFICER_ASSIGNED,2021-01-15T03:00:00,OFF-0001537,Officer OFF-0001537 assigned as IO (Current Load: 0 cases),,,
ILOG-00000210,FIR-MGL-2021-00001,FIR_FILED,2021-01-15T11:00:00,OFF-0000935,FIR KA/MGL/2021/00001 registered at STN-KA-MGL-0014,,,
ILOG-00000213,FIR-RBG-2021-00006,FIR_FILED,2021-01-15T11:00:00,,FIR KA/RBG/2021/00006 registered at STN-KA-RBG-0002,,,
ILOG-00000199,FIR-BLR-2021-00015,OFFICER_ASSIGNED,2021-01-15T14:00:00,OFF-0000502,Officer OFF-0000502 assigned as IO (Current Load: 0 cases),,,
ILOG-00000214,FIR-RBG-2021-00006,OFFICER_ASSIGNED,2021-01-15T14:00:00,OFF-0003610,Officer OFF-0003610 assigned as IO (Current Load: 0 cases),,,
