fir_id,event_id,fir_number,station_id,district_id,district_name,occurred_date,reported_date,crime_type,crime_category,ipc_sections,severity,status,description_en,description_kn,latitude,longitude,complainant_name,complainant_phone,complainant_address,estimated_loss_inr,num_accused,num_victims,num_witnesses,is_gang_crime,season,accomplice_criminal_ids,vehicle_ids,phone_ids,campaign_id,nearest_poi_id,investigating_officer_id,sho_officer_id,gang_id,festival_context,primary_criminal_id
FIR-CHB-2021-00001,EVT-00000000-20210105,KA/CHB/2021/00001,STN-KA-CHB-0009,KA-CHB,Chikkaballapura,2021-01-05,2021-01-05,CHAIN,property,392|324|34,3,Charge Sheet Filed,"The complainant was traveling when 2 persons on motorcycle snatched gold chain worth Rs. 76,164.","ದೂರುದಾರರು ಸಂಚಾರ ಮಾಡುತ್ತಿದ್ದಾಗ 2 ವ್ಯಕ್ತಿಗಳು ಮೋಟಾರ್ ಸೈಕಲ್ ಮೇಲೆ ಬಂದು ರೂ. 76,164 ಮೌಲ್ಯದ ಚಿನ್ನದ ಸರ ಎಳೆದುಕೊಂಡು ಓಡಿದ್ದಾರೆ.",13.695954,77.668479,Amala Swamy,6982076246,Karnataka - 594321,76164.31,1,3,0,false,winter,,,,,POI-002812,,,,,
FIR-BLR2-2021-00002,EVT-00000001-20210105,KA/BLR2/2021/00002,STN-KA-BLR2-0025,KA-BLR2,Ballari,2021-01-05,2021-01-07,ASSAULT,violent,324,3,Final Report,Complainant was attacked by 1 persons. Injuries sustained. Admitted to hospital.,ಆರೋಪಿಯು none ಬಳಸಿ ದೂರುದಾರರ ಮೇಲೆ market area ಬಳಿ ಹಲ್ಲೆ ಮಾಡಿದ್ದಾನೆ.,15.229711,77.020182,Anjali Gowda,6082366115,Karnataka - 588467,4025.51,1,1,1,false,winter,,,PHN-00003571,,POI-003664,OFF-0003551,,,,CRM-0000193
FIR-UDR-2021-00001,EVT-00000002-20210105,KA/UDR/2021/00001,STN-KA-UDR-0004,KA-UDR,Udupi,2021-01-05,2021-01-05,THEFT,property,379,2,Transferred,Unknown person(s) committed theft of two-wheeler from street. Complainant noticed the theft at 21:00 hours.,"ದೂರುದಾರರು ವರದಿ ಮಾಡಿದ ಪ್ರಕಾರ ಆರೋಪಿಯು the complainant's house ದಿಂದ ರೂ. 25,590 ಮೌಲ್ಯದ mobile phone ಕದ್ದಿದ್ದಾನೆ.",13.075667830198768,75.0088532489438,Shruthi Aras,8297287372,Karnataka - 581568,25590.22,2,3,0,true,winter,CRM-0000074,,PHN-00004091,,POI-002358,OFF-0002473,,GANG-0000,,CRM-0000101
FIR-BLR-2021-00003,EVT-00000000-20210106,KA/BLR/2021/00003,STN-KA-BLR-0044,KA-BLR,Bengaluru Urban,2021-01-06,2021-01-09,THEFT,property,379|324|34,2,Final Report,"The complainant reported that the accused stole mobile phone valued at Rs. 7,379 from the complainant's house on the above date.",,12.887462,77.615575,Sujatha Murthy,7465663279,Karnataka - 567526,7379.71,1,1,2,false,winter,,,,,POI-000227,OFF-0000415,OFF-0000413,,,
FIR-BLR2-2021-00003,EVT-00000001-20210106,KA/BLR2/2021/00003,STN-KA-BLR2-0028,KA-BLR2,Ballari,2021-01-06,2021-01-07,DRUNK_DRV,traffic,185MV,2,Closed (Undetected),Unknown person(s) committed theft of cash from bus stand. Complainant noticed the theft at 20:00 hours.,ಅಜ್ಞಾತ ವ್ಯಕ್ತಿ(ಗಳು) shop ದಿಂದ mobile phone ಕದ್ದಿದ್ದಾರೆ. 22:00 hours ಗಂಟೆಗೆ ಕಳ್ಳತನ ಗೊತ್ತಾಯಿತು.,14.828812,76.647768,Suresh Joshi,7889384533,Karnataka - 563161,4942.73,1,1,1,false,winter,,,PHN-00003561,,POI-003688,OFF-0003577,OFF-0003573,,,CRM-0000062
FIR-BLR-2021-00004,EVT-00000002-20210106,KA/BLR/2021/00004,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,2021-01-06,2021-01-07,CHAIN,property,392|324|34,3,Final Report,Accused snatched gold chain weighing 24 grams from complainant near bus stand.,"ದೂರುದಾರರು ಸಂಚಾರ ಮಾಡುತ್ತಿದ್ದಾಗ 5 ವ್ಯಕ್ತಿಗಳು ಮೋಟಾರ್ ಸೈಕಲ್ ಮೇಲೆ ಬಂದು ರೂ. 66,801 ಮೌಲ್ಯದ ಚಿನ್ನದ ಸರ ಎಳೆದುಕೊಂಡು ಓಡಿದ್ದಾರೆ.",12.928358,77.726869,Priya Krishnamurthy,6292966015,Karnataka - 579251,66801.61,1,3,0,false,winter,,,PHN-00003150,,POI-000081,OFF-0000026,OFF-0000026,,,CRM-0000012
FIR-DVG-2021-00001,EVT-00000000-20210107,KA/DVG/2021/00001,STN-KA-DVG-0014,KA-DVG,Davanagere,2021-01-07,2021-01-09,CHAIN,property,392,3,Final Report,"The complainant was traveling when 3 persons on motorcycle snatched gold chain worth Rs. 159,784.","ದೂರುದಾರರು ಸಂಚಾರ ಮಾಡುತ್ತಿದ್ದಾಗ 3 ವ್ಯಕ್ತಿಗಳು ಮೋಟಾರ್ ಸೈಕಲ್ ಮೇಲೆ ಬಂದು ರೂ. 159,784 ಮೌಲ್ಯದ ಚಿನ್ನದ ಸರ ಎಳೆದುಕೊಂಡು ಓಡಿದ್ದಾರೆ.",14.341067,75.87889,Sujatha Reddy,8344271629,Karnataka - 562644,159784.04,1,2,1,true,winter,,VEH-00000978,PHN-00002448,,POI-001470,OFF-0001763,OFF-0001763,GANG-0001,,CRM-0000235
FIR-BLR-2021-00005,EVT-00000001-20210107,KA/BLR/2021/00005,STN-KA-BLR-0003,KA-BLR,Bengaluru Urban,2021-01-07,2021-01-07,CYBER,cyber,66C_IT,3,Charge Sheet Filed,"UPI fraud reported. Complainant transferred Rs. 3,469,599 to fraudulent account.","ದೂರುದಾರರಿಗೆ ವಂಚಕ ಕರೆ ಬಂದು OTP ಪಡೆದು ರೂ. 3,469,599 ವಂಚಿಸಲಾಗಿದೆ.",12.94197,77.749119,Anil Verma,8552488971,Karnataka - 595650,3469599.54,1,2,0,false,winter,,,,,POI-000018,OFF-0000034,OFF-0000026,,,CRM-0000182
FIR-CHB-2021-00002,EVT-00000002-20210107,KA/CHB/2021/00002,STN-KA-CHB-0009,KA-CHB,Chikkaballapura,2021-01-07,2021-01-12,ROBBERY,property,392|324|34,4,Charge Sheet Filed,"Complainant robbed of gold jewellery worth Rs. 156,494 by 1 unknown persons.",,13.702308,77.681728,Anjali Nayak,6232008188,Karnataka - 580862,156494.9,1,5,2,false,winter,,,,,POI-002816,,,,,
FIR-KLP-2021-00003,EVT-00000000-20210108,KA/KLP/2021/00003,STN-KA-KLP-0021,KA-KLP,Kalaburagi,2021-01-08,2021-01-08,DRUNK_DRV,traffic,185MV,2,Under Investigation,Unknown person(s) committed theft of cash from street. Complainant noticed the theft at 21:00 hours.,"ದೂರುದಾರರು ವರದಿ ಮಾಡಿದ ಪ್ರಕಾರ ಆರೋಪಿಯು shop ದಿಂದ ರೂ. 4,471 ಮೌಲ್ಯದ gold jewellery ಕದ್ದಿದ್ದಾನೆ.",17.304255,76.960606,Madhu Raju,8683788802,Karnataka - 570692,4471.29,1,2,2,false,winter,,,,,POI-001337,OFF-0001618,OFF-0001606,,,
FIR-BLR-2021-00006,EVT-00000001-20210108,KA/BLR/2021/00006,STN-KA-BLR-0042,KA-BLR,Bengaluru Urban,2021-01-08,2021-01-08,PICK,property,379,1,Under Investigation,Unknown person(s) committed theft of gold jewellery from market area. Complainant noticed the theft at 20:00 hours.,,13.14941,77.411445,Nirmala Shetty,7033193510,Karnataka - 578871,6709.05,1,3,0,false,winter,,,PHN-00000258,,POI-000202,OFF-0000404,OFF-0000404,,,CRM-0000209
FIR-RBG-2021-00003,EVT-00000002-20210108,KA/RBG/2021/00003,STN-KA-RBG-0013,KA-RBG,Dharwad,2021-01-08,2021-01-09,THEFT,property,379,2,Under Investigation,"Gold cash stolen from house while complainant was away. Total loss estimated at Rs. 13,441.",,15.300212,74.896396,Jyothi Lingayat,6411233948,Karnataka - 561098,13441.49,1,2,1,false,winter,,,,,POI-003696,OFF-0003685,OFF-0003683,,,CRM-0000069
FIR-DVG-2021-00002,EVT-00000000-20210109,KA/DVG/2021/00002,STN-KA-DVG-0010,KA-DVG,Davanagere,2021-01-09,2021-01-10,CHAIN,property,392|324|34,3,Charge Sheet Filed,"The complainant was traveling when 1 persons on motorcycle snatched gold chain worth Rs. 282,267.",,14.309368,75.88469,Pooja Aras,9697545260,Karnataka - 594899,282267.07,1,2,1,true,winter,,VEH-00000978,PHN-00002448,,POI-001461,OFF-0001744,OFF-0001748,GANG-0001,,CRM-0000235
FIR-BLG-2021-00002,EVT-00000001-20210109,KA/BLG/2021/00002,STN-KA-BLG-0013,KA-BLG,Belagavi,2021-01-09,2021-01-10,NARCOTICS,narcotics,NDPS_20,4,Closed (Undetected),Accused apprehended with 14g of ganja near the complainant's house. Contraband seized.,ಅಜ್ಞಾತ ವ್ಯಕ್ತಿ(ಗಳು) bus stand ದಿಂದ laptop ಕದ್ದಿದ್ದಾರೆ. 20:00 hours ಗಂಟೆಗೆ ಕಳ್ಳತನ ಗೊತ್ತಾಯಿತು.,16.380951,74.98921,Radha Verma,8839003352,Karnataka - 577718,19007938.15,1,3,1,true,winter,,,PHN-00003146,,POI-001109,OFF-0001337,OFF-0001332,GANG-0003,,CRM-0000143
FIR-MGL-2021-00002,EVT-00000002-20210109,KA/MGL/2021/00002,STN-KA-MGL-0023,KA-MGL,Dakshina Kannada,2021-01-09,2021-01-09,THEFT,property,379,2,Under Investigation,"Gold mobile phone stolen from house while complainant was away. Total loss estimated at Rs. 8,185.",ಅಜ್ಞಾತ ವ್ಯಕ್ತಿ(ಗಳು) shop ದಿಂದ cash ಕದ್ದಿದ್ದಾರೆ. 21:00 hours ಗಂಟೆಗೆ ಕಳ್ಳತನ ಗೊತ್ತಾಯಿತು.,12.882873,75.462613,Madhu Naik,9090746893,Karnataka - 564304,8185.69,1,1,2,false,winter,,VEH-00001145,PHN-00002865,,POI-000784,OFF-0001016,,,,CRM-0000099
FIR-MGL-2021-00003,EVT-00000000-20210110,KA/MGL/2021/00003,STN-KA-MGL-0003,KA-MGL,Dakshina Kannada,2021-01-10,2021-01-11,THEFT,property,379|324|34,2,Under Investigation,Unknown person(s) committed theft of cash from market area. Complainant noticed the theft at 23:00 hours.,,12.626024,74.870005,Meera Patil,6404023549,Karnataka - 565338,45297.1,1,1,1,false,winter,,,,,POI-000677,OFF-0000854,OFF-0000850,,,
FIR-HBL-2021-00003,EVT-00000001-20210110,KA/HBL/2021/00003,STN-KA-HBL-0010,KA-HBL,Hubballi-Dharwad,2021-01-10,2021-01-10,CHAIN,property,392,3,Under Investigation,Accused snatched gold chain weighing 8 grams from complainant near the complainant's house.,"ದೂರುದಾರರು ಸಂಚಾರ ಮಾಡುತ್ತಿದ್ದಾಗ 1 ವ್ಯಕ್ತಿಗಳು ಮೋಟಾರ್ ಸೈಕಲ್ ಮೇಲೆ ಬಂದು ರೂ. 88,371 ಮೌಲ್ಯದ ಚಿನ್ನದ ಸರ ಎಳೆದುಕೊಂಡು ಓಡಿದ್ದಾರೆ.",15.129974,74.925772,Suresh Adiga,9394323445,Karnataka - 576060,88371.18,1,1,2,false,winter,,,PHN-00001816,,POI-000909,,,,,CRM-0000019
FIR-BLR-2021-00007,EVT-00000002-20210110,KA/BLR/2021/00007,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,2021-01-10,2021-01-10,THEFT,property,379,2,Under Investigation,"The complainant reported that the accused stole gold jewellery valued at Rs. 30,409 from the complainant's house on the above date.",,13.123072,77.455366,Prashanth Naik,6088955611,Karnataka - 594799,30409.59,1,3,1,false,winter,,,,,POI-000203,OFF-0000010,OFF-0000011,,,
FIR-RBG-2021-00004,EVT-00000000-20210111,KA/RBG/2021/00004,STN-KA-RBG-0029,KA-RBG,Dharwad,2021-01-11,2021-01-11,BURGLARY,property,457,3,Final Report,"The accused broke into the complainant's house by rear entry and stole laptop worth Rs. 180,298.","ಆರೋಪಿಯು rear entry ಮೂಲಕ ದೂರುದಾರರ ಮನೆಗೆ ನುಗ್ಗಿ ರೂ. 180,298 ಮೌಲ್ಯದ mobile phone ಕದ್ದಿದ್ದಾನೆ.",15.297456,74.951338,Meera Nayak,7755899884,Karnataka - 561771,180298.42,1,2,2,true,winter,,VEH-00000240,PHN-00000603,,POI-003694,OFF-0003799,OFF-0003798,GANG-0004,,CRM-0000213
FIR-HBL-2021-00004,EVT-00000001-20210111,KA/HBL/2021/00004,STN-KA-HBL-0007,KA-HBL,Hubballi-Dharwad,2021-01-11,2021-01-11,FRAUD,fraud,420,3,Closed (Undetected),"Complainant cheated of Rs. 3,289,021 by accused who posed as government scheme.","ದೂರುದಾರರು ವರದಿ ಮಾಡಿದ ಪ್ರಕಾರ ಆರೋಪಿಯು the complainant's house ದಿಂದ ರೂ. 3,289,021 ಮೌಲ್ಯದ gold jewellery ಕದ್ದಿದ್ದಾನೆ.",15.299682936901446,75.07867901129501,Akash Vokkaliga,7623427490,Karnataka - 590879,3289021.66,1,3,2,true,winter,,VEH-00000433,PHN-00001110,,POI-000926,OFF-0001113,OFF-0001110,GANG-0002,,CRM-0000046
FIR-BLG-2021-00003,EVT-00000002-20210111,KA/BLG/2021/00003,STN-KA-BLG-0029,KA-BLG,Belagavi,2021-01-11,2021-01-11,CHAIN,property,392,3,Under Investigation,Chain snatching incident reported near bus stand. Two persons on motorcycle snatched chain and fled.,"ದೂರುದಾರರು ಸಂಚಾರ ಮಾಡುತ್ತಿದ್ದಾಗ 2 ವ್ಯಕ್ತಿಗಳು ಮೋಟಾರ್ ಸೈಕಲ್ ಮೇಲೆ ಬಂದು ರೂ. 79,777 ಮೌಲ್ಯದ ಚಿನ್ನದ ಸರ ಎಳೆದುಕೊಂಡು ಓಡಿದ್ದಾರೆ.",15.790384,74.489937,Rajesh Nayak,6502296244,Karnataka - 569934,79777.84,2,2,2,true,winter,CRM-0000213,,,,POI-001204,OFF-0001446,OFF-0001439,GANG-0004,,CRM-0000093
FIR-DVG-2021-00003,EVT-00000000-20210112,KA/DVG/2021/00003,STN-KA-DVG-0001,KA-DVG,Davanagere,2021-01-12,2021-01-12,CHAIN,property,392,3,Under Investigation,"The complainant was traveling when 3 persons on motorcycle snatched gold chain worth Rs. 204,514.","ದೂರುದಾರರು ಸಂಚಾರ ಮಾಡುತ್ತಿದ್ದಾಗ 3 ವ್ಯಕ್ತಿಗಳು ಮೋಟಾರ್ ಸೈಕಲ್ ಮೇಲೆ ಬಂದು ರೂ. 204,514 ಮೌಲ್ಯದ ಚಿನ್ನದ ಸರ ಎಳೆದುಕೊಂಡು ಓಡಿದ್ದಾರೆ.",14.576874,76.145248,Ajay Prabhu,9891640464,Karnataka - 589866,204514.6,1,1,1,true,winter,,VEH-00000978,PHN-00002448,,POI-001413,OFF-0001703,OFF-0001703,GANG-0001,,CRM-0000235
FIR-RBG-2021-00005,EVT-00000001-20210112,KA/RBG/2021/00005,STN-KA-RBG-0020,KA-RBG,Dharwad,2021-01-12,2021-01-17,BURGLARY,property,457,3,Final Report,Unknown persons broke front door and committed theft of gold jewellery. Case registered u/s 457 IPC.,ಮನೆಯ ಬಾಗಿಲು front door ಮೂಲಕ ತೆರೆದು gold jewellery ಕದ್ದಿದ್ದಾರೆ. ಪ್ರಕರಣ ನೋಂದಾಯಿಸಲಾಗಿದೆ.,15.528795,74.985349,Sandeep Pillai,8319382301,Karnataka - 582541,448856.33,1,2,0,true,winter,,VEH-00000240,PHN-00000603,,POI-003864,OFF-0003740,OFF-0003740,GANG-0004,,CRM-0000213
FIR-BLR-2021-00008,EVT-00000002-20210112,KA/BLR/2021/00008,STN-KA-BLR-0049,KA-BLR,Bengaluru Urban,2021-01-12,2021-01-14,THEFT,property,379,2,Charge Sheet Filed,Unknown person(s) committed theft of mobile phone from the complainant's house. Complainant noticed the theft at 21:00 hours.,,12.954503,77.733171,Priya Nambiar,8266167521,Karnataka - 563849,46059.17,1,1,0,false,winter,,,PHN-00003025,,POI-000324,OFF-0000475,OFF-0000475,,,CRM-0000229
FIR-DVG-2021-00004,EVT-00000000-20210113,KA/DVG/2021/00004,STN-KA-DVG-0011,KA-DVG,Davanagere,2021-01-13,2021-01-13,CHAIN,property,392|324|34,3,Final Report,Chain snatching incident reported near street. Two persons on public bus snatched chain and fled.,,14.319952,75.775121,Sangeetha Kamath,6838588421,Karnataka - 581176,142785.51,1,1,1,true,winter,,VEH-00000978,PHN-00002448,,POI-001471,,,GANG-0001,,CRM-0000235
FIR-RBG-2021-00006,EVT-00000001-20210113,KA/RBG/2021/00006,STN-KA-RBG-0000,KA-RBG,Dharwad,2021-01-13,2021-01-13,BURGLARY,property,457,3,Closed (Undetected),"The accused broke into the complainant's house by window entry and stole two-wheeler worth Rs. 212,129.",,15.295558539189656,74.90226034197542,Ganesh Krishnamurthy,8916741871,Karnataka - 586313,212129.12,1,3,0,true,winter,,VEH-00000240,PHN-00000603,,POI-003696,OFF-0003600,OFF-0003597,GANG-0004,,CRM-0000213
FIR-BLR2-2021-00004,EVT-00000002-20210113,KA/BLR2/2021/00004,STN-KA-BLR2-0028,KA-BLR2,Ballari,2021-01-13,2021-01-13,ARSON,property,436,4,Under Investigation,Unknown person(s) committed theft of gold jewellery from street. Complainant noticed the theft at 22:00 hours.,"ದೂರುದಾರರು ವರದಿ ಮಾಡಿದ ಪ್ರಕಾರ ಆರೋಪಿಯು street ದಿಂದ ರೂ. 401,501 ಮೌಲ್ಯದ cash ಕದ್ದಿದ್ದಾನೆ.",14.81862,76.597632,Geetha Bhat,9075656742,Karnataka - 588178,401501.2,1,3,1,false,winter,,,PHN-00001429,,POI-003683,OFF-0003573,OFF-0003573,,,CRM-0000072
FIR-RBG-2021-00007,EVT-00000000-20210114,KA/RBG/2021/00007,STN-KA-RBG-0006,KA-RBG,Dharwad,2021-01-14,2021-01-14,BURGLARY,property,457,3,Charge Sheet Filed,Unknown persons broke window entry and committed theft of laptop. Case registered u/s 457 IPC.,"ಆರೋಪಿಯು window entry ಮೂಲಕ ದೂರುದಾರರ ಮನೆಗೆ ನುಗ್ಗಿ ರೂ. 16,284 ಮೌಲ್ಯದ two-wheeler ಕದ್ದಿದ್ದಾನೆ.",15.39475528080893,75.11655223633267,Ganesh Raju,6780326106,Karnataka - 587763,16284.51,1,3,2,true,winter,,VEH-00000240,PHN-00000603,,POI-003741,OFF-0003643,OFF-0003640,GANG-0004,,CRM-0000213
FIR-BLR2-2021-00005,EVT-00000001-20210114,KA/BLR2/2021/00005,STN-KA-BLR2-0006,KA-BLR2,Ballari,2021-01-14,2021-01-15,DRUNK_DRV,traffic,185MV,2,Closed (Undetected),"Gold cash stolen from house while complainant was away. Total loss estimated at Rs. 3,620.",,15.277009,76.77839,Akash Lingayat,9797152055,Karnataka - 564003,3620.55,5,2,1,true,winter,CRM-0000213|CRM-0000093|CRM-0000079|CRM-0000022,,PHN-00003180,,POI-003540,OFF-0003425,OFF-0003429,GANG-0004,,CRM-0000103
FIR-BLR-2021-00009,EVT-00000002-20210114,KA/BLR/2021/00009,STN-KA-BLR-0056,KA-BLR,Bengaluru Urban,2021-01-14,2021-01-15,HIT_RUN,traffic,304A,4,Final Report,"The complainant reported that the accused stole two-wheeler valued at Rs. 60,063 from bus stand on the above date.","ದೂರುದಾರರು ವರದಿ ಮಾಡಿದ ಪ್ರಕಾರ ಆರೋಪಿಯು bus stand ದಿಂದ ರೂ. 60,063 ಮೌಲ್ಯದ two-wheeler ಕದ್ದಿದ್ದಾನೆ.",12.941095,77.423522,Deepak Nambiar,6274602541,Karnataka - 563004,60063.97,1,4,2,false,winter,,,PHN-00003619,,POI-000330,OFF-0000543,,,,CRM-0000129
